period	v1ipm	v1abs
2001	0.7453129703892317	13
2002	0.18957408863441727	4
2003	0.6807657798103931	13
2004	1.2261412079391418	28
2005	0.7927012896948002	21
2006	0.41228540029557864	11
2007	0.2894542592181154	7
2008	0.4043570605473749	10
2009	0.4168442044028146	11
2010	0.878774905762376	24
2011	1.0390635262323484	31
2012	0.8403656101931233	23
2013	0.5696871733793539	18
2014	1.1701145261293595	20
2015	0.24849363160520924	5
2016	0.3556345222254684	8
2017	0.1361620917111599	3
2018	0.10157954155527624	2
2019	0.26082503444585814	5
2020	4.955879983454441	84
2021	1.7030419609354972	27
2022	0.0	0
