period	v1ipm	v1abs
2003	0	0
2004	0.09650161384473913	1
2005	0.34802303773300575	7
2006	0.13510239236614355	7
2007	0.10938123340101803	9
2008	0.11652394891086697	10
2009	0.18762689832556753	18
2010	0.07850695781652366	6
2011	0.12560135968495914	12
2012	0.1376442043025002	14
2013	0.13781796988755454	12
2014	0.06951538392825178	4
2015	0.0836749759357742	3
2016	0.1669117543229894	5
2017	0.22566877182317768	7
2018	0.16669681656422258	5
2019	0.07874028768079065	2
2020	0.12162967712226455	3
2021	0.12200434099578884	3
2022	0.1463832933332852	3
