period	v1ipm	v1abs
2000	1075.2116491648958	6694
2001	1124.9263027529512	6638
2002	1592.9724923757046	18429
2003	1427.6617593083733	18313
2004	1291.063499003262	61874
2005	1408.7334230463641	113994
2006	1319.432781746391	159470
2007	1304.9435648635229	224111
2008	1226.273337483475	296880
2009	1235.8303358257692	368237
2010	1182.0911023331573	424803
2011	1159.1636646217041	431179
2012	1089.2805444103105	391638
2013	1002.0145311040312	324685
2014	1010.4447684690886	281779
2015	981.834665370348	236770
2016	922.1060932603375	205516
2017	963.2160713492912	180507
2018	984.2937903429308	186847
2019	976.8569699782081	182512
2020	993.6602123378503	219400
2021	1035.951708838767	221151
