author	yob	ntokens
inga76	1977	31049.0
Sally	1974	28274.0
Smulan1973	1974	18841.0
noorah	1988	13530.0
JAG är BÄST	1973	433883.0
Camarogirl	1971	36614.0
Jennie med ie	1976	212235.0
Österbotten	1979	2223.0
Emeli	1954	79893.0
Linnis	1987	4354.0
Mara	1974	22248.0
Gothica	1975	20372.0
Vitsippa75	1976	4622.0
P A K	1973	19495.0
Linakinn	1978	7110.0
Fröken Vit i Madickenhuset	1972	7296.0
2 små prinsessor	1987	33763.0
HoppetKärleken	1975	6612.0
UmeåElin	1982	24963.0
Helle68	1969	20460.0
Katja77	1977	3764.0
Paprikan	1980	7319.0
Jola	1977	12758.0
Grönögat	1989	79872.0
Crollan	1968	3493.0
Solkattan	1976	35796.0
Vildrosen	1971	6574.0
Humblebee	1968	6874.0
optimist	1969	70.0
Lilli77	1978	51392.0
NorrVimpel	1973	48167.0
Strawberry Mum	1984	14371.0
ava adore	1983	679.0
Magic	1976	174.0
Ninnii	1986	58.0
idiblon	1982	360426.0
Sockiplast	1980	40600.0
Kina79	1980	71529.0
Nagoyam W	1984	17363.0
Linha	1972	45672.0
MammaBecca	1982	25415.0
Ninnie	1980	6303.0
Örnie	1963	80788.0
Tjillevippen	1981	74507.0
modestyclara	1979	342956.0
werner	1976	2088.0
Anatha	1979	135227.0
bigmomma	1978	48224.0
Japan87	1988	6042.0
EowynAurora	1984	22965.0
luull	1978	1397.0
SingForLife	1973	9369.0
asa1971	1972	1384.0
J Anttila	1980	36308.0
Mopsan	1987	318699.0
Dilong	1963	131020.0
lokisse	1961	300380.0
Mejasmorsa	1983	12513.0
Alisa	1981	82483.0
Jennaz	1980	5287.0
FruEdberg	1978	9157.0
5barnsmamman	1979	66406.0
augustibruden	1972	18458.0
Babyface	1986	3669.0
silent	1987	3001.0
Astarte	1980	124565.0
fjonkan	1989	56663.0
Challe N	1978	27158.0
oktoberbebis09	1986	10911.0
sallybuse	1960	39802.0
Maya85	1985	4049.0
Multignutten	1980	34578.0
Fjärilen72	1988	54072.0
mHalmstadsmamma	1971	3763.0
Pebble	1982	2815.0
Tigermom	1978	5231.0
BounceT	1980	48388.0
eekramaren	1980	27886.0
BTD	1976	16917.0
annajo	1978	25557.0
Diwa	1974	55824.0
Kajsala	1961	29029.0
Sannis83	1984	23039.0
Chilisen	1969	20754.0
Myssnuff	1978	22000.0
Monicag	1979	1195.0
ooemilyoo	1986	44748.0
janniahlholm	1991	121914.0
MIC	1985	39950.0
TheCoopers	1976	73353.0
Lajkie	1987	97020.0
wiizz	1988	31829.0
Llimen	1987	16156.0
solstickan41	1967	28311.0
Lillfjompa	1988	40920.0
nonayti	1983	31516.0
MeandHim	1983	4920.0
Joje	1975	163974.0
slapback	1982	18017.0
camave	1979	17652.0
Hedi	1966	133774.0
Curious	1986	3331.0
Lolion	1984	28233.0
luzorsus	1978	66677.0
bono	1973	44.0
Eleni	1986	54520.0
nattisss	1987	6868.0
FridaochSamuel	1991	29642.0
JoRi	1988	34843.0
Tant Groda	1983	73208.0
Pinje	1972	51529.0
Wednesday85	1986	34648.0
Maline	1973	25006.0
honeybun	1984	35711.0
Annsofie83	1984	13074.0
lillaknytet	1982	21508.0
Rude Billy	1987	30517.0
JosefinsMamma	1975	18034.0
tjejmamma79	1980	16606.0
Busfröet	1981	18862.0
Scilia	1980	24548.0
Majuni	1974	49240.0
Mymla X	1976	24438.0
swala	1980	20065.0
Equal	1979	1458.0
Chaplin	1976	15264.0
Fjällräven	1984	32475.0
hannis	1979	21909.0
annroll	1983	12020.0
Cina72	1973	484.0
Rimfolina	1980	45882.0
Mika86	1987	7199.0
Minisen	1976	17542.0
Ennna	1980	12293.0
Nilla83	1984	4885.0
MalinI	1979	21439.0
gravid	1986	4798.0
marlene83	1984	4794.0
Katrin76	1977	5018.0
Midwinter	1984	19744.0
Maac	1984	30001.0
Iorlover	1969	21346.0
evita	1971	20791.0
mononoke hime	1975	27741.0
tessise	1981	13054.0
Panope	1980	2786.0
Lavish	1986	291662.0
Engelvinge	1978	15697.0
Kyanita	1974	62133.0
EmmaOh	1980	55669.0
Empan81	1982	31493.0
Gyllan	1985	21921.0
regnbågspappan	1989	83838.0
Susstuss	1984	21660.0
FreeForAll	1984	102883.0
vänlig	1973	2476.0
CeeJay	1973	183385.0
pluvdo	1987	41582.0
Fru Brastad	1977	18472.0
Nattis	1971	4189.0
mariahammarberg	1981	44557.0
junimagi	1982	19074.0
StilaM	1976	70914.0
Ablan	1986	129478.0
Chilianna	1981	76.0
bripoint	1968	7907.0
aprilfamilj	1987	23074.0
Bohman	1986	84014.0
Klunsen111	1976	25405.0
CuteElliz	1988	35637.0
Olivia3mars	1979	8005.0
Thesso	1991	42023.0
Fantastic 4	1978	38414.0
Lemonad	1983	9833.0
Jeanette81	1982	7035.0
moans	1972	26031.0
pisces74	1975	2972.0
Liv73	1974	6887.0
Beckah82	1983	207369.0
Rae	1975	59788.0
TinaLi	1984	66566.0
elinville	1981	54869.0
pco	1987	2649.0
SaraSara	1976	84109.0
mandolin76	1975	16591.0
saltflingan	1990	273762.0
Catasita81	1982	12978.0
