username	startage	endage
chillie	-2	0
CB72	0	0
misssecret	1	1
syss	5	5
NizzY	6	11
Palsternacka	9	9
memlan	10	12
Löööv	10	10
MalleNalle	11	16
Nimsan	11	11
Poodle	11	11
malin10	11	11
AnnaLind	11	11
Hemligtjej24	11	11
babysoon	11	11
capybara	12	12
majsan26	12	12
Eddan	12	15
Joy	12	13
Meli	12	17
Bumpy	12	12
Chewie	13	15
Selmas	13	15
fiffilotta	13	13
Firenze	14	14
Lizzyzz	14	14
rödarosor	14	14
Atrix	14	14
Medde	14	14
Unique	14	14
Candra	15	16
Cocco	15	15
Hilma	15	19
Suri	15	17
gustafssons	15	16
trollungar	15	18
noClue	15	15
lillkorven	15	15
coffee	15	15
jeanettte	15	15
Fru E	16	23
1991	16	17
smultronkyss	16	16
Michas	16	19
ElinOlsson	16	16
smörblomman	16	18
llinaa	16	16
CTS	16	16
Angiie	16	16
caca	16	16
Sallisen	16	16
Heliotrop	17	21
Summermom11	17	20
JackAnneli	17	17
Vinterstorm	17	17
Anna A	17	17
Carolines	17	17
Vanillas	17	17
Lexis	18	18
Sabbi	18	18
Amandass	18	18
Sanna K	18	19
icy	18	18
Sossie	18	18
Aiwendil	18	23
Hihi2	18	18
Billa	18	18
Alux	18	18
babyfever	18	18
AnnaKanna	19	20
Coockie	19	20
DaVinci	19	19
Blåbärssaft	19	19
Bevabus	19	19
maddis88	19	21
Marylo	19	21
Pirog	19	19
pratglada tjejen	19	20
alvanova	19	19
Lieea	19	19
Miss A	19	19
izzabella	19	19
GULDHJÄRTA	20	20
Saandraa	20	21
thessires	20	20
MissUniversum	20	20
Ellieott	20	24
MammaTillNeoh	20	20
I Love You Three	20	20
flygrl	20	20
janniahlholm	20	20
FridaochSamuel	20	20
ankii	20	20
Chessy	20	20
SolochMåne	20	20
TessK	20	20
linda87	20	20
MariaN	20	20
äppelmos	20	20
TypeONegative	20	20
AngelicaS	20	20
Thesso	20	20
Kaaka	20	20
Mamman88	20	20
Pusselbiten86	20	20
cariny	20	20
LillaLady	21	21
An0nym0us	21	21
Tainted	21	26
Hannah med H	21	21
ElinC	21	21
Angelinas mamma	21	22
Rude Billy	21	25
Ida1990	21	21
Tokfrjant	21	23
Dää	21	21
Lellehs	21	21
jagärjagvemärdu	21	23
Emma Elisabeth	21	22
Em00	21	21
Pyretsmamma	21	21
Sandja	21	21
CuteElliz	21	23
saltflingan	21	21
mkp	21	21
Madde30	21	21
hallåå	21	21
view	22	22
castillo	22	22
Grönögat	22	22
cid	22	23
Bellizzzzz	22	24
Lilla Morran	22	30
Sommarkatten	22	22
Emmissara	22	22
copycat	22	22
Loris	22	22
SandraS	22	26
Eldsjäl	22	22
erika86	22	22
Makkinje	22	23
JoRi	22	23
fjonkan	22	22
ccecy	22	22
TessaLisa	22	25
crazy hannah	22	23
felicityporter	22	22
fluu	22	22
Caroliine	22	22
korvmedbröd	22	22
A flikka	22	22
jolo	22	23
Novaliesmamma	22	22
livet leker	22	22
regnbågspappan	22	22
juana	22	22
EMR	22	22
mammasgullar	22	24
Julius	22	22
elliot	22	22
Legewiel	22	22
TeeTee	22	22
MIC	23	27
noorah	23	25
Lilant	23	24
Linnean89	23	23
Ruggugglan	23	24
latina02	23	25
Ellaria	23	23
Konvaljen	23	23
Mamba	23	23
gravid	23	29
Zesssan	23	26
Ett två tre	23	23
Bohman	23	25
erika85	23	23
Japan87	23	23
Honeydew	23	23
ViVäntarLois	23	26
Malllis	23	23
maya21	23	23
jennifer88	23	24
Moonprincess	23	23
Fjärilen72	23	23
Marleen	23	23
Llimen	23	24
wiizz	23	23
Molfel	23	23
Lillfjompa	23	23
Stjärnebo	23	23
lillajag02	23	23
DenNamnbitne	23	23
Pigeon	23	23
Mummyfied	23	23
bettyboopan	23	23
God cares	23	24
Nattis90	23	23
Tjiklex	23	23
enilorac	23	23
soffan83	23	23
SStina	23	23
eleonore	23	23
lillfia	23	23
ShuppShupp	23	23
Lillan21	23	23
PamPam	23	23
Emy	23	23
Persikan	23	23
Jodyanna	23	23
MattiasFru	23	23
Linnis	24	27
pco	24	29
2 små prinsessor	24	24
rosalack	24	24
neela	24	24
AnnaEmma01	24	24
Wednesday85	24	25
Ninnii	24	28
My sunshine	24	24
Vickyb	24	24
Mopsan	24	24
Elvirasmamma	24	24
NochA	24	24
Majjis	24	24
Lajkie	24	27
Emma2009	24	24
silent	24	24
MammaMia88	24	24
rundafrida	24	24
pluvdo	24	28
Harling1985	24	24
Nell	24	24
kendi	24	24
nattisss	24	24
Ledilnaan	24	30
Linutis	24	24
sofilosson	24	24
pegafo09	24	24
Mika86	24	24
83an	24	26
lilja87	24	24
Ztarduzt	24	24
Mullepop	24	24
