speaker	nickyear	profileyear
Solros72	72	1973
Snö79	79	1970
lilla gumman 85	85	1986
Tvillingmamma80	80	1981
dahrma74	74	1975
Icis86	86	1987
Jenna88	88	1970
i87	87	1970
Lindus77	77	1970
Kärlek84	84	1985
Vicki77	77	1978
Johanna75	75	1976
saraA88	88	1971
stoltmamma87	87	1988
Karin99	99	1970
L 91	91	1992
Puff77	77	1978
Kajsa81	81	1982
bubblan91	91	1992
Rosa84	84	1985
Mariana79	79	1980
Vattuman83	83	1984
Lissy81	81	1982
Lotta73	73	1970
Kajsa86	86	1987
Isa82	82	1983
skatergirl81	81	1982
Cecilia86	86	1987
September89	89	1990
soff82	82	1983
A84	84	1985
virre80	80	1981
annis83	83	1984
Fia81	81	1982
Sandra88	88	1970
Mera76	76	1977
Vixen90	90	1991
missy78	78	1979
sweetheart80	80	1981
baby81	81	1981
Mini 82	82	1983
Elektra82	82	1983
yellow88	88	1989
Jossan74	74	1970
louisa83	83	1984
smurfan82	82	1970
R84	84	1985
Darling82	82	1983
Starlight78	78	1979
lady84	84	1985
LC77	77	1978
miamarina84	84	1985
Annsofie82	82	1983
Louise89	89	1970
Tesso84	84	1985
Tigress77	77	1978
nettan81	81	1970
LiZa81	81	1982
Alicia82	82	1983
Guffy78	78	1979
Charin84	84	1985
A72	72	1973
Saso87	87	1988
Acire94	94	1995
Bella73	73	1974
Malin78	78	1970
Shk76	76	1977
MammaMia84	84	1985
Kevlarsjäl87	87	1988
Neko87	87	1988
Sockerkakan81	81	1982
smulis85	85	1986
Jossi82	82	1983
skånskan76	76	1977
solsken83	83	1970
vilja89	89	1990
adnil87	87	1988
Saja75	75	1976
carola 79	79	1980
mika85	85	1986
lillan77	77	1977
saan83	83	1984
Mammatezz81	81	1982
nahna87	87	1988
Nina 77	77	1978
jezz79	79	1970
Skalman81	81	1970
CA81	81	1982
KN75	75	1976
Cinderella87	87	1988
GRO68	68	1969
Mammut80	80	1981
halo83	83	1984
Annna84	84	1984
Mimmi85	85	1986
Matilda83	83	1970
Jazzgirl76	76	1970
k ek84	84	1985
mrshudson75	75	1976
Klara 80	80	1981
LO72	72	1973
Dodo74	74	1975
Nilla54	54	1972
ALM82	82	1983
Blubban82	82	1983
rosen76	76	1977
Maya84	84	1984
LinaJo83	83	1984
Jenny76	76	1977
annica83	83	1985
Linnie83	83	1984
Mia84	84	1985
liba71	71	1972
Fia 85	85	1986
Soti75	75	1976
AnnaS82	82	1970
Mamma76	76	1970
mysmamma84	84	1985
Cecilia80	80	1981
Daphne85	85	1986
myran78	78	1979
Flicka86	86	1986
Sanna80	80	1981
h77	77	1978
Feliciia 92	92	1993
ninna77	77	1970
Liv73	73	1974
Sofia95	95	1989
Suss73	73	1974
Cami11a87	87	1988
gravid85	85	1986
anne87	87	1988
Tvåbarnsmamman78	78	1979
Myssan78	78	1979
Tingeling82	82	1983
Mickan84	84	1985
Mary84	84	1985
Amy86	86	1987
anna83	83	1984
Maria76	76	1970
E85	85	1986
Palle76	76	1977
Miss Piggy 82	82	1983
monika84	84	1985
JS85	85	1986
MammaMia87	87	1987
Minimor78	78	1979
Emlan88	88	1989
cina78	78	1979
Emilia75	75	1976
hannah91	91	1992
Tessan71	71	1972
LillaMy79	79	1970
annapanna77	77	1978
Cecilia84	84	1984
minipeach86	86	1987
Lycklig88	88	1989
S91	91	1970
Hearts76	76	1977
Fru84	84	1985
MartinaL86	86	1987
Elize87	87	1988
Annika79	79	1970
Maria68	68	1970
Mysan75	75	1976
Angie72	72	1970
Pilla84	84	1985
Flexxa79	79	1980
ikapika81	81	1982
Maggan 86	86	1987
Kickan90	90	1971
Saga 79	79	1980
millie89	89	1990
mia84	84	1985
erika85	85	1986
soffan83	83	1984
Victoria86	86	1987
Asali65	65	1966
Klara80	80	1970
Lindis87	87	1987
Camilla68	68	1970
jennie88	88	1989
sofial86	86	1987
Jasmine86	86	1987
Mallin87	87	1988
Petra78	78	1970
annika46	46	1970
flower79	79	1980
Smultronet84	84	1985
MIAH73	73	1973
Lotten93	93	1994
sanna78	78	1970
susmar72	72	1973
mini77	77	1978
s74	74	1975
Kesse88	88	1989
Tuttan80	80	1981
AnnaS84	84	1985
mimi66	66	1967
nanna74	74	1975
jessica83	83	1984
Ida83	83	1979
Lenchen77	77	1970
linda 80	80	1981
Aurora82	82	1983
Annos85	85	1986
Erik76	76	1977
laluna88	88	1989
mii76	76	1977
garttin80	80	1981
Kråkan77	77	1978
Maggan81	81	1974
Smurfan87	87	1988
Anna Panna 81	81	1982
Eldig72	72	1973
hejo79	79	1971
Nanna84	84	1970
emma84	84	1970
Elvira74	74	1970
Linna81	81	1970
Paige80	80	1981
Vilja81	81	1982
MrsAJ88	88	1988
Fanny87	87	1970
mummy82	82	1983
Gabriella85	85	1986
Maya75	75	1975
Sserena86	86	1970
dream81	81	1982
Ivve91	91	1991
lilja87	87	1988
Lycka88	88	1989
Marängen86	86	1987
Mollan79	79	1979
Emmaelisabeth90	90	1991
Äpplet75	75	1976
Mammamelle82	82	1983
becca90	90	1991
Gummsan83	83	1970
Elyssa81	81	1981
Skruttis74	74	1975
Kakan87	87	1988
Ina81	81	1982
ak73	73	1974
Caroliine85	85	1986
MalinK85	85	1985
Mian76	76	1970
Mallan 82	82	1983
Ängla88	88	1973
ELI79	79	1970
Anna79	79	1980
darkwell82	82	1983
lillatrollet85	85	1986
Sejda79	79	1980
sara75	75	1970
tjej 79	79	1979
mammamia77	77	1978
louisep87	87	1988
Betula74	74	1975
Lantis86	86	1987
Sophia84	84	1970
lena76	76	1977
Hedda89	89	1988
Sofie83	83	1984
Flingan86	86	1970
wildrose71	71	1971
annalena81	81	1982
Veronica76	76	1977
sweetie85	85	1986
smurfen84	84	1985
Tulip70	70	1971
Thesse86	86	1987
MammaIna88	88	1989
Solros80	80	1970
mjau84	84	1985
Thezz88	88	1989
Loppan77	77	1978
Dollan89	89	1990
Nissen86	86	1987
Lovergirl80	80	1980
Minna71	71	1972
PW58	58	1990
Martina76	76	1977
Sarah82	82	1983
emma71	71	1971
Sanna74	74	1970
Nellie81	81	1982
nilla78	78	1979
zandra80	80	1981
mammis76	76	1977
NEllY 85	85	1986
Lollo74	74	1970
Marrelita85	85	1986
N88	88	1989
mammsen79	79	1980
Love76	76	1977
Lana68	68	1970
Carro 83	83	1984
Sandra  84	84	1985
veronica78	78	1970
Mandy86	86	1970
marriz99	99	1983
Jenn86	86	1987
Jordgubb90	90	1970
emma78	78	1970
anna74	74	1985
LeeLoo82	82	1983
Zazza86	86	1987
Morgard82	82	1983
Loppan87	87	1988
Annaba88	88	1989
nadja83	83	1984
Kisen82	82	1983
Saandra88	88	1989
emelie85	85	1986
vixi82	82	1983
Bettan84	84	1985
Louise85	85	1986
lillahumla84	84	1985
Rebecka47	47	1967
Sofie 87	87	1988
Chrille 84	84	1985
Li90	90	1991
M74	74	1970
sarus84	84	1985
LiN88	88	1989
svea84	84	1985
Cam78	78	1970
Lolli82	82	1983
Pirjo79	79	1980
Elin85	85	1986
xtina85	85	1986
pärlan83	83	1984
Cissan83	83	1984
Norrlänning86	86	1987
Olga89	89	1990
ecco87	87	1988
Sofia85	85	1986
Elle84	84	1985
Myggan82	82	1982
Sippan76	76	1977
emersson75	75	1976
Elisa77	77	1970
Emmie79	79	1980
Eva77	77	1978
Alex 86	86	1987
Issa86	86	1987
Lisen84	84	1985
Anne79	79	1970
Blomman76	76	1977
Flicka81	81	1982
jessii87	87	1988
erika88	88	1989
wa76	76	1977
anna99	99	1975
Linnéa87	87	1970
sweet86	86	1987
daisy76	76	1977
orkidee80	80	1981
Lakey69	69	1969
Madicken 71	71	1972
Lycka78	78	1979
Bine78	78	1979
star83	83	1984
fialotta85	85	1970
Fiaw89	89	1990
Ca_rr_o87	87	1988
Pillan85	85	1986
Jossan79	79	1979
Mary82	82	1970
Tjej84	84	1984
Sanna77	77	1970
malin 80	80	1970
anno81	81	1982
Wilbo80	80	1980
Astrid40	40	1979
Hojan84	84	1985
mother87	87	1988
Muminmamman 81	81	1982
semlan99	99	1976
tjej89	89	1990
lina81	81	1970
Lady79	79	1973
kali86	86	1987
Persika80	80	1981
leha87	87	1988
Frugan79	79	1980
Astrid92	92	1992
Millis81	81	1982
Tesse88	88	1989
UlleGull41	41	1971
Tessie83	83	1984
Katten76	76	1970
Jo76	76	1977
angelgirl84	84	1985
November83	83	1970
EmmaE86	86	1987
Tr86	86	1986
Kakan53	53	1989
MariaM78	78	1970
Maka94	94	1995
Erica94	94	1995
Nattis90	90	1991
sthlmsgirl94	94	1995
fian82	82	1983
My80	80	1970
lilleva80	80	1981
Dincer83	83	1984
Tess90	90	1991
maja72	72	1973
Isabella89	89	1970
Knuts76	76	1977
elinil86	86	1987
MAD86	86	1987
Nera85	85	1986
Isabella93	93	1994
majja79	79	1980
AnnaB90	90	1991
Lee76	76	1977
sandy76	76	1977
Lotta80	80	1981
Loviisa89	89	1990
Katrin76	76	1977
Lingu80	80	1981
lilliz84	84	1985
Jennie84	84	1985
JosefinGranqvist89	89	1990
Soffan74	74	1970
hime89	89	1990
Helena 79	79	1980
Emma89	89	1990
steffo75	75	1975
Maya85	85	1985
Malin 72	72	1972
frítz76	76	1977
Smulan83	83	1970
Eve74	74	1975
Frallan78	78	1979
sk76	76	1977
EK83	83	1984
Trix85	85	1986
emmis77	77	1978
Tjejen81	81	1970
Felicia86	86	1970
V89	89	1990
Laban88	88	1970
Nea92	92	1993
Vanilla78	78	1979
Amme79	79	1980
Längtan81	81	1982
Tussilago83	83	1984
MammaErika93	93	1994
mysan81	81	1970
bebba83	83	1984
Liinaa91	91	1970
MajaMaria78	78	1978
Ida82	82	1983
Ia84	84	1984
Maya82	82	1970
nina72	72	1973
ennairam80	80	1981
tessan87	87	1988
Hansson88	88	1989
Cina72	72	1973
sara76	76	1970
Mysan74	74	1975
Elina82	82	1983
Andiie87	87	1970
laetitia81	81	1982
grodan 82	82	1983
Niccan88	88	1989
PatKay83	83	1984
Mumsa73	73	1974
Marri93	93	1994
Amanda85	85	1986
Helen84	84	1985
Virus85	85	1986
ELLY78	78	1979
Nillan81	81	1982
ida78	78	1970
Em92	92	1993
Akkie77	77	1978
Lakrits74	74	1970
gaby84	84	1985
Karin81	81	1982
moniquee83	83	1984
smultron74	74	1975
Kaka76	76	1977
Carolina84	84	1985
mammi85	85	1970
sara72	72	1986
JT80	80	1981
Hugge47	47	1968
Miffe78	78	1979
Trullis82	82	1983
Lovisa75	75	1976
Preet90	90	1992
sunshine86	86	1970
Vicky85	85	1986
stw89	89	1990
Taao83	83	1984
Erna90	90	1991
nettis81	81	1982
Albertine79	79	1980
urv73	73	1974
Agge83	83	1984
Tigermamman72	72	1973
emmy82	82	1983
Lindgren90	90	1991
sol75	75	1976
jenny76	76	1977
MrMister82	82	1982
plutten79	79	1970
Smultron73	73	1974
jassi83	83	1984
annamariahelena72	72	1973
linsen79	79	1980
frida S83	83	1984
flisan82	82	1983
Ellie86	86	1987
Joline84	84	1985
Drutten79	79	1970
milla72	72	1973
malin77	77	1978
Lillis77	77	1978
Angelica89	89	1990
Kleo73	73	1974
anna89	89	1990
jezzyca95	95	1996
Malva85	85	1986
Butterfly83	83	1984
Jessica84	84	1985
sommar78	78	1979
ErikaST80	80	1981
trebarnsmamma79	79	1980
emma85	85	1986
lisa86	86	1987
Ester77	77	1978
Nilla83	83	1984
Mutter80	80	1981
Kakan85	85	1986
lilja82	82	1983
Nellan78	78	1979
Moa83	83	1983
druvan52	52	1981
Lovisa87	87	1988
marija81	81	1982
Tvåbarnsmamman79	79	1980
ellllen83	83	1984
Flisan41	41	1976
emmis82	82	1982
sarah88	88	1989
summerflower84	84	1985
Önskan94	94	1995
Elise85	85	1970
Niina78	78	1979
lullis94	94	1995
hannapanna84	84	1985
stefansoder80	80	1981
annlis72	72	1973
taz99	99	1983
Hannah81	81	1970
Väduren83	83	1984
Empan85	85	1986
bumbie81	81	1982
