speaker	nickyear	profileyear
Skruttis1979	1979	1979
sandra1984	1984	1985
J1983	1983	1984
Miniz1983	1983	1984
sara1981	1981	1982
1980 längtar	1980	1981
Malin1976	1976	1970
Jenny1985	1985	1986
Amy1983	1983	1984
Annie1982	1982	1983
1982	1982	1982
Harling1985	1985	1986
Bullan1978	1978	1979
helena1981	1981	1982
Smilla1976	1976	1977
Desiree1988	1988	1989
trollet1985	1985	1970
Lisa1976	1976	1977
MG1981	1981	1982
camillas1985	1985	1986
N1987	1987	1988
Längtan1986	1986	1987
Lucia1987	1987	1988
FrökenE1985	1985	1986
Linda 1978	1978	1979
1985	1985	1986
Tess1984	1984	1985
Liveit1971	1971	1972
Mamma1988	1988	1989
nina1977	1977	1970
Trulsa1985	1985	1986
Jag1977	1977	1978
Drottningen1970	1970	1970
Lisa1977	1977	1978
Nettan1982	1982	1983
Charlotte1987	1987	1988
Mariah1986	1986	1987
Mandy1981	1981	1982
tess1987	1987	1988
Mika1980	1980	1981
Helen 1984	1984	1985
Linda1986	1986	1987
Richard1986	1986	1987
1973	1973	1970
becka1989	1989	1990
sarap1978	1978	1979
sara1986	1986	1987
Grodan1972	1972	1973
M1986	1986	1987
guldlock1980	1980	1981
Bettyboopan1984	1984	1985
Smulan1973	1973	1974
Martina1970	1970	1971
Ida1990	1990	1991
lier1979	1979	1980
annasv1980	1980	1970
bullen1984	1984	1985
majken1975	1975	1976
Lisa1979	1979	1980
Emelie1988	1988	1989
Maria1982	1982	1983
Madde1986	1986	1987
elin1989	1989	1990
Lillis 1977	1977	1978
mikaela1978	1978	1979
Ivana1988	1988	1989
Ella1979	1979	1980
smulan1981	1981	1982
Maria1984	1984	1985
kvinna1986	1986	1987
Tess1986	1986	1987
Man 1973	1973	1974
madde1983	1983	1984
Louise1987	1987	1988
Helen1974	1974	1975
Emsan1988	1988	1989
191919	1919	1970
Whitehorse1979	1979	1980
gabi1969	1969	1968
Lindis1978	1978	1979
hoppfull1974	1974	1975
1977	1977	1970
Helena1975	1975	1976
Anna1982	1982	1970
lhea1979	1979	1970
Tess1979	1979	1980
mamma1970	1970	1977
Mamma1983	1983	1984
Lillan1971	1971	1972
Sandra1985	1985	1970
charlotta1985	1985	1986
Stina1982	1982	1983
hanna1988	1988	1970
Rebecca1987	1987	1988
Jossan1986	1986	1987
malin1974	1974	1970
Sandra1990a	1990	1991
Johanna1986	1986	1987
pernilla1972	1972	1973
Emms1984	1984	1985
Hanna1982	1982	1983
Jossan1979	1979	1971
Zs1985	1985	1986
Anna1972	1972	1971
mama1980	1980	1970
jenny1986	1986	1987
milla1984	1984	1985
Karolina1982	1982	1983
Emmet1976	1976	1977
tess1988	1988	1989
anna1972	1972	1971
Hannah1981	1981	1982
baby1987	1987	1988
Maria1971	1971	1981
TheKlister1990	1990	1991
my1977	1977	1978
Mia1985	1985	1986
Cupcake1985	1985	1986
Snäckan1979	1979	1980
Ella1986	1986	1970
Ida 1981	1981	1982
anders 1974	1974	1975
asa1971	1971	1972
Maria1964	1964	1970
