author	yob	ntokens
Emeli	1954	255924.0
augustibruden	1972	42772.0
Linnis	1987	11968.0
Sally	1974	70191.0
inga76	1977	92406.0
Vildrosen	1971	27137.0
Solkattan	1976	191189.0
Camarogirl	1971	100247.0
Mara	1974	71826.0
P A K	1973	29592.0
Jennie med ie	1976	655497.0
Smulan1973	1974	37431.0
noorah	1988	46631.0
JAG är BÄST	1973	741556.0
Cassidy	1983	5720.0
kvinna79	1980	70092.0
Helle68	1969	49468.0
Jola	1977	27440.0
Österbotten	1979	17122.0
Gothica	1975	46790.0
Vitsippa75	1976	22335.0
HoppetKärleken	1975	53603.0
Crollan	1968	17379.0
Vafan dåh	1985	13873.0
Liv73	1974	18433.0
gottelina	1974	4915.0
Ninnie	1980	68010.0
UmeåElin	1982	64100.0
Linakinn	1978	13518.0
mikroE	1983	26702.0
Fröken Vit i Madickenhuset	1972	26101.0
latina02	1989	8735.0
2 små prinsessor	1987	47262.0
Betty Boop	1974	46151.0
Sagomamma	1980	10913.0
MalinI	1979	155170.0
Tuttiluttan	1985	44.0
jazmine25	1982	55392.0
castillo	1988	295458.0
Kurreburre	1978	65949.0
hotten	1975	277752.0
MrsCD	1981	207420.0
Cina72	1973	3107.0
Humblebee	1968	9677.0
ballerinamuffins	1985	86777.0
MIC	1985	96518.0
Katja77	1977	17306.0
Anatha	1979	280773.0
Minisen	1976	30479.0
Paprikan	1980	9847.0
Grönögat	1989	135860.0
Carla82	1983	47045.0
wilma123	1975	2699.0
Jmelb	1980	4316.0
Equal	1979	16894.0
smulanjag	1985	22465.0
Seven Costanza	1984	154281.0
AnnaEmma01	1988	18353.0
Maria1	1984	18073.0
semlan99	1976	6385.0
optimist	1969	1487.0
Lilli77	1978	95697.0
mariahammarberg	1981	150916.0
mHalmstadsmamma	1971	36594.0
nicke nyfiken76	1981	44394.0
Lucyinthesky	1982	40896.0
Tjillevippen	1981	109624.0
NorrVimpel	1973	123997.0
werner	1976	15082.0
Kiwi10	1982	27845.0
Wednesday85	1986	100653.0
Mysen	1978	13221.0
Okara	1973	34522.0
Strawberry Mum	1984	31583.0
ava adore	1983	18999.0
Hundtok	1984	102605.0
Magic	1976	333.0
Miniluvan	1976	192699.0
TheCoopers	1976	236149.0
Amy1983	1984	72175.0
Pallas	1974	687497.0
Ninnii	1986	1325.0
idiblon	1982	456592.0
Sockiplast	1980	40927.0
Jessie74	1975	30111.0
Kina79	1980	185877.0
Nagoyam W	1984	29192.0
Linha	1972	101178.0
MammaBecca	1982	60049.0
Barnsugen	1979	7844.0
asa1971	1972	2633.0
Örnie	1963	140178.0
modestyclara	1979	423418.0
My sunshine	1986	29374.0
Nanook	1983	14121.0
Loris	1988	148440.0
Ahdela	1979	27869.0
SandraS	1984	68598.0
fotbollsfru	1977	55325.0
Eldsjäl	1988	30930.0
sandrafia	1984	38718.0
Kärnan	1979	55260.0
skånskan76	1977	6258.0
5barnsmamman	1979	153233.0
Rude Billy	1987	41012.0
Saandraa	1989	79203.0
bono	1973	191.0
bigmomma	1978	53539.0
Hia	1980	28307.0
Beckah82	1983	809644.0
cirkel	1975	108198.0
Japan87	1988	37633.0
EowynAurora	1984	58215.0
luull	1978	2541.0
SingForLife	1973	21071.0
J Anttila	1980	73300.0
Mopsan	1987	439328.0
Dilong	1963	164555.0
Elvirasmamma	1988	14406.0
Mirren	1978	145773.0
SandraD	1987	47137.0
CtJ08	1985	25036.0
slapback	1982	25418.0
Ida1990	1991	36825.0
lokisse	1961	734453.0
doriah	1980	59597.0
mandolin76	1975	22943.0
eviz08	1983	24176.0
Mejasmorsa	1983	19672.0
Alisa	1981	265238.0
Jennaz	1980	14033.0
FruEdberg	1978	14296.0
MissLillan	1961	108266.0
Snäckan84	1985	48273.0
jennifer88	1989	14672.0
Brooklyn	1987	11349.0
JoRi	1988	50790.0
Mickan	1987	4198.0
Babyface	1986	14881.0
silent	1987	7659.0
Joona	1978	35285.0
Astarte	1980	254599.0
fjonkan	1989	101166.0
Tant Groda	1983	174519.0
Challe N	1978	106630.0
oktoberbebis09	1986	11359.0
sallybuse	1960	102815.0
Moonprincess	1987	14369.0
Maya85	1985	11083.0
Multignutten	1980	94599.0
Fjärilen72	1988	58806.0
Lena	1980	288803.0
moans	1972	37786.0
Pebble	1982	27503.0
Tigermom	1978	29968.0
crossfit	1980	16807.0
BounceT	1980	65752.0
eekramaren	1980	102139.0
Tokfrjant	1989	127310.0
Muffinsmamman	1985	14055.0
Nenniz	1985	2639.0
asfaltsblomman	1973	61022.0
BTD	1976	25129.0
Gladhannapanna	1972	366114.0
aigee	1978	99016.0
annajo	1978	25557.0
Diwa	1974	60329.0
Kajsala	1961	59252.0
Sannis83	1984	40174.0
AaronElina	1983	6029.0
Llimen	1987	81864.0
Chilisen	1969	56838.0
Myssnuff	1978	44561.0
colanappen	1983	8898.0
Um muhammed	1984	54993.0
flisan16	1980	63285.0
EmmaHenke	1980	15056.0
Heureka	1975	154837.0
Monicag	1979	2554.0
ooemilyoo	1986	51523.0
janniahlholm	1991	178953.0
Lajkie	1987	219302.0
Calici	1981	9770.0
Harling1985	1986	119844.0
wiizz	1988	39870.0
Molfel	1987	12731.0
solstickan41	1967	56045.0
Lillfjompa	1988	41404.0
nonayti	1983	72034.0
MeandHim	1983	24470.0
Joje	1975	468906.0
Angelinas mamma	1988	6790.0
Mifuna	1985	15292.0
Lunas	1982	21808.0
majzzan	1981	12900.0
camave	1979	68047.0
Hedi	1966	355463.0
sara jolu	1984	16831.0
Kaosmamma	1982	88528.0
Curious	1986	10266.0
jentho	1986	35035.0
Majuni	1974	99566.0
delifi2	1975	351183.0
msmalin	1982	37946.0
versus	1987	283915.0
Makkinje	1987	18043.0
Anna81	1982	59550.0
högbergarna	1979	295590.0
Fleur	1976	24088.0
En glad tjej	1979	131589.0
lieh	1971	29157.0
challan82	1983	52244.0
Atamon	1972	320719.0
Lolion	1984	28233.0
luzorsus	1978	153328.0
kariba	1981	56534.0
Eleni	1986	89085.0
nattisss	1987	14521.0
MyStyle	1983	32943.0
FridaochSamuel	1991	37362.0
Pinje	1972	104756.0
Maline	1973	46592.0
Melike	1983	40140.0
honeybun	1984	36723.0
Annsofie83	1984	28457.0
lillaknytet	1982	31589.0
JosefinsMamma	1975	36951.0
tjejmamma79	1980	22230.0
Busfröet	1981	25622.0
Scilia	1980	49770.0
lenabolin	1982	66509.0
Mymla X	1976	24438.0
Mylla	1980	113688.0
Livshlädje	1974	120677.0
swala	1980	24657.0
pållan	1975	44545.0
korvmedbröd	1988	174955.0
Ennna	1980	20932.0
mmiaa	1984	97803.0
HelHel	1983	13059.0
bambigirl	1982	216163.0
evita	1971	39351.0
sofilosson	1986	4470.0
Chaplin	1976	40244.0
Fjällräven	1984	73158.0
Baronessan	1975	70603.0
hannis	1979	91997.0
annroll	1983	68284.0
Majamjau	1979	28320.0
Rimfolina	1980	87416.0
MiaMarias	1980	190152.0
hemljuvahem	1986	108273.0
Mika86	1987	35089.0
83an	1984	111363.0
Katrin76	1977	7380.0
Zesssan	1986	21440.0
lilja87	1988	8470.0
nea med 2	1982	4385.0
Nilla83	1984	9251.0
solskina	1971	185439.0
Egogirl	1981	56766.0
crazy hannah	1987	172453.0
J83	1985	33969.0
car	1975	356676.0
gravid	1986	14997.0
marlene83	1984	39544.0
beEMbe	1979	68432.0
bripoint	1968	37387.0
livet leker	1990	181512.0
Emma Elisabeth	1991	8099.0
Michanna	1978	16900.0
RestoreMe	1974	324.0
Midwinter	1984	64848.0
Ablan	1986	257051.0
Maac	1984	44507.0
Iorlover	1969	60640.0
mononoke hime	1975	32212.0
tessise	1981	44547.0
Panope	1980	3590.0
Lavish	1986	633818.0
Engelvinge	1978	18547.0
Kyanita	1974	183801.0
EmmaOh	1980	82175.0
Empan81	1982	50219.0
Gubbas	1976	8769.0
Gyllan	1985	63419.0
regnbågspappan	1989	83887.0
Susstuss	1984	37706.0
FreeForAll	1984	188374.0
vänlig	1973	3203.0
cocos87	1988	51677.0
Jamieolivia	1983	78853.0
Bellizzzzz	1986	9871.0
Krake	1961	116488.0
CeeJay	1973	611155.0
pluvdo	1987	220650.0
Fru Brastad	1977	70685.0
Charmeuse	1985	84083.0
Nattis	1971	15028.0
Olivia2006	1978	15960.0
Johannapanna87	1988	29334.0
junimagi	1982	33203.0
StilaM	1976	92267.0
Chilianna	1981	783.0
Terez	1984	47887.0
aprilfamilj	1987	107244.0
elinville	1981	192671.0
MartinaE	1985	32581.0
Aaglars	1971	208353.0
Bohman	1986	376871.0
Klunsen111	1976	46590.0
Tjiklex	1987	28760.0
CuteElliz	1988	151183.0
Tainted	1988	36394.0
Olivia3mars	1979	13702.0
BELLAm2	1982	19447.0
Lily of the Valley	1986	57039.0
mammasgullar	1990	103324.0
pco	1987	39959.0
fröken sol	1979	30116.0
SStina	1987	17924.0
Thesso	1991	79170.0
Fantastic 4	1978	95248.0
Lemonad	1983	15433.0
Jeanette81	1982	19990.0
Farmer boy	1957	5792.0
BaraCarolina	1979	47437.0
pisces74	1975	8921.0
Rae	1975	101207.0
Lia och bäbisen	1983	170179.0
Koalan	1980	5558.0
Juppepuppe	1980	65268.0
så mycket bättre	1987	94941.0
Chokladpinglan	1985	55020.0
Sara K	1986	85288.0
TinaLi	1984	150680.0
Smetanina	1977	162442.0
Sockerkakan	1978	152275.0
SaraSara	1976	143354.0
saltflingan	1990	634953.0
Catasita81	1982	26125.0
Fraggelgirl	1981	182542.0
Lillkillensmamma	1982	21345.0
Lorelei	1978	217465.0
mkp	1989	42549.0
TeeTee	1988	48028.0
stormfågel	1980	64582.0
Petrellie	1974	121972.0
God cares	1986	67923.0
missis	1981	21672.0
Julia08	1974	32979.0
Vicki77	1978	27206.0
Zinara	1980	34496.0
Heavy	1980	61613.0
Mornie Alantie	1987	193039.0
memba	1981	35508.0
Minimor78	1979	8867.0
hymafr	1965	253245.0
krabbis	1967	5902.0
LA Woman	1975	138133.0
Systermalin	1984	29721.0
tinaaaaaa	1987	59813.0
Miss Cee	1981	461321.0
mamma smurfen	1974	55977.0
Linaek	1964	101586.0
EXPOSED	1971	57740.0
Emmel	1973	435308.0
Jojjanna	1975	11202.0
Lilla Morran	1984	165973.0
mamma83	1984	6195.0
Rundabullar	1980	74836.0
Smulu	1979	85363.0
ModestyB	1982	180161.0
Lovi	1981	76785.0
Banana82	1983	35028.0
Zezana	1980	115524.0
Jordgubbssmak	1968	153878.0
ajkw	1990	17421.0
bonsai	1982	24370.0
orpan	1982	48397.0
Jossebell	1969	74495.0
basil	1977	23098.0
Ambrosia	1984	897.0
Butterscotch	1975	434405.0
Nessima	1989	18024.0
Raggarmunk	1981	9125.0
Gladabarnensmamma	1983	322977.0
LindizJ	1980	12665.0
Nickos	1988	17332.0
yodi	1980	186392.0
Maximumtaste	1988	21271.0
ROGG	1972	25029.0
FredrikBBB	1969	59738.0
DenNamnbitne	1990	130401.0
Lilla JJ	1978	181115.0
giftgrodan	1980	152025.0
BertilB	1967	13745.0
felicityporter	1986	63016.0
Puchahontas	1975	39476.0
Nekogirl	1986	13458.0
Anicol	1984	3885.0
Pochahontas	1974	207930.0
Grenna	1967	31673.0
Maskot	1971	103056.0
YayasMami	1989	44733.0
Titti	1982	18311.0
Habbi	1991	42754.0
emmis82	1982	5116.0
Hoppfull84	1985	66293.0
Some	1980	23367.0
Anova	1979	401081.0
Millsan	1986	11323.0
annmin	1961	27809.0
sandrablom	1988	41323.0
morotsland	1981	302020.0
mysmamma84	1985	13838.0
Mummyfied	1990	134422.0
Sofia L	1985	18238.0
Myzan	1976	73928.0
Caroline08	1989	25450.0
sockerbomben	1973	10244.0
tessum	1985	97688.0
Lowika	1981	35569.0
Rastafairy	1987	177334.0
MissSindra	1982	70503.0
lotfix	1985	10562.0
Fröken Juni	1974	154136.0
Syster C	1980	39001.0
Jojile	1986	26054.0
vickan7	1975	12901.0
hannizen	1987	37835.0
Lina86	1987	96441.0
Houdini	1966	49800.0
Jenny87	1988	45212.0
Helen 1984	1985	41711.0
Stefanie	1988	101415.0
carrobarro84	1985	157329.0
Goya	1963	32502.0
PetraMunchen	1972	183676.0
glaadamamman	1978	2216.0
Git	1978	112498.0
jådåsåatt	1984	80744.0
Spanjoren	1976	20883.0
Missermajser	1974	3275.0
Zazz82	1983	24840.0
