author	yob	ntokens
astro	1978	237158.0
Niiskuneiti	1988	105887.0
lilla mej	1978	139855.0
Madame Mom	1974	138502.0
KevinsMamma83	1984	7217.0
mirrebusan	1985	122826.0
Tiril	1977	4633.0
FridaBjoerk	1992	8800.0
BrunoBus	1985	16184.0
Denise87	1988	12738.0
MelissaLiamLilo	1987	3591.0
Daz	1980	30093.0
mjau84	1985	6227.0
MariaE	1980	9414.0
underverket 06	1971	306141.0
AnitaAndersson	1985	14772.0
Jonna79	1980	38170.0
djevojka	1982	2528.0
Gossow	1986	39646.0
Eled	1990	29159.0
Frejan	1985	5451.0
Stumpan84	1985	151528.0
lillasmilla	1988	81070.0
Marleen	1986	149879.0
sleeping angel	1984	258261.0
FruSabbi	1985	16901.0
Micalela	1987	30107.0
Ms Trooper	1985	17661.0
Jess87	1988	43606.0
MammaMia87	1987	18222.0
GRO68	1969	17834.0
vill bli mamma 2009	1976	49494.0
Badbollen	1984	15315.0
BeccaStina	1987	96562.0
jaghetersophia	1983	89824.0
Malena C	1969	26295.0
Fembarnsmorsan	1972	44544.0
antitanten	1955	42671.0
RiNan	1984	296010.0
Presario	1987	6564.0
SusiSue	1978	71941.0
Quinnan	1990	13909.0
Lilaa	1982	95566.0
Scaniamamma	1987	20557.0
Annos85	1986	19325.0
Amulett	1976	202245.0
Angelica30	1978	26509.0
MissPearl	1981	14541.0
AnnaKlara	1971	142286.0
pumpkinpie	1984	93288.0
Maja27	1963	17225.0
FrökenPillson	1981	10431.0
Hemlighet	1985	126334.0
Bette	1967	165776.0
madde1983	1984	26411.0
korfu08	1976	131347.0
LaFontaine	1985	238991.0
Kary	1982	29284.0
Annamaja	1981	82578.0
Lia85	1986	108306.0
dicny	1980	34972.0
Musetti	1982	12945.0
Bergling	1976	9924.0
puman0507	1973	6664.0
Lippans	1979	18248.0
mandelblomma	1990	480515.0
Daimis	1977	160541.0
flixflax	1976	18289.0
Missnööjd	1975	14410.0
LuMa	1979	192629.0
Redstone	1972	15351.0
blomman 2	1965	17861.0
Tjoflöjt	1982	42885.0
mirre67	1968	115926.0
pingstlilja	1976	30621.0
Sashimi	1976	89201.0
Marre	1980	31501.0
Corpset	1982	91823.0
mika85	1986	26348.0
Steffi	1972	1898.0
Tittij	1978	124347.0
lillabebben	1980	120742.0
Trollungen08	1985	18896.0
Dynamic	1980	86309.0
Mondino	1968	203374.0
Liten måne	1984	122819.0
Charlotte1987	1988	18662.0
maamje	1980	28451.0
riboflavin	1985	73648.0
diddisen80	1981	28886.0
malin neli	1981	40894.0
Trillian80	1986	147985.0
nostalgi	1960	24394.0
JBC	1986	108488.0
ErikaFika	1987	13014.0
barnsjuk	1975	20875.0
Isabelsmamma	1986	26549.0
Tigra79	1980	260126.0
jazzy	1987	161550.0
Rosen123	1985	15321.0
Gustie	1973	117029.0
Lakrids	1977	62815.0
estrella81	1981	36943.0
FallenMadonnaWithTheBigBoobies	1975	127435.0
Jennypenny83	1984	78153.0
Disco	1980	73956.0
Pumpkin	1985	414346.0
sariat	1986	19333.0
grata	1978	9963.0
TigerLinn	1986	161521.0
Jessys	1987	134477.0
Pilu	1983	33367.0
Lucefera	1986	30339.0
Doktorn	1972	183422.0
Empo	1985	85389.0
Ellaria	1990	7210.0
Pirjo79	1980	11406.0
tokfia	1968	14517.0
Ripper500	1984	11886.0
Zephir	1986	55723.0
Colisa	1981	55399.0
Icis86	1987	26582.0
Insatt	1982	36737.0
Jeanettealice	1977	9815.0
hundpuss	1988	412964.0
mamita64	1965	416381.0
NadiaMi	1975	1142538.0
ankling	1959	24970.0
Winglur	1989	183995.0
Sofiapers	1976	10806.0
Chrille 84	1985	15734.0
Floff	1983	168705.0
Bonbon	1985	15818.0
Dorian Ertymexx	1973	2179659.0
Sadie	1984	162723.0
Min högsta önskan	1979	155451.0
Tigress77	1978	27576.0
Sigrid	1975	152420.0
pysselmajjo	1983	40148.0
Lönnsirap	1981	73132.0
biologic	1987	12900.0
Sossan	1976	3448.0
Casey	1989	21480.0
Dajo	1986	17701.0
Lucky	1980	43097.0
Fe73	1974	148882.0
grodan 82	1983	7346.0
FrökenR	1989	27782.0
Timmervik	1976	6184.0
ALJO	1987	66735.0
Piri	1967	101337.0
modesty74	1975	24579.0
Sarge	1976	26837.0
Nellabus	1978	10456.0
Tottelina	1985	66537.0
skjuter illa	1977	3378.0
chivasregal	1962	52922.0
lena1	1960	12689.0
fostermamman	1962	12665.0
ajmaj	1975	75291.0
målvakten	1984	20495.0
Rilliana	1984	47046.0
Väntar första barnet	1985	26583.0
Kajsa86	1987	22179.0
Tattyn	1978	100289.0
sockerslav	1980	23553.0
Hallonmumsan	1987	52152.0
Torparn	1975	43552.0
brokig	1984	52146.0
Annisens81	1982	27210.0
Nemone	1980	5032.0
qbtq	1985	29869.0
hot fuss	1980	147730.0
FruE	1987	7008.0
ewis1	1973	12629.0
Draqnight	1987	11369.0
mamma1970	1977	16384.0
aldrigmer	1954	26282.0
TheFamily	1980	182621.0
Lee76	1977	6338.0
raya	1989	32002.0
power	1989	8579.0
solstraalen	1982	282482.0
KinkyE	1991	5131.0
Izamoon	1982	11429.0
lillasysterjessa	1981	11020.0
Urpan	1981	10502.0
lilliz84	1985	8397.0
mazquE	1990	29911.0
jessica83	1984	7223.0
skruttis11	1982	155461.0
Madelene0	1986	30722.0
AmandaBrun	1985	317268.0
passau	1977	134960.0
IsaCMoJs	1983	187135.0
Keyrie	1986	12312.0
Lady Blue	1984	16029.0
Sazee	1990	40314.0
J1983	1984	124416.0
spaceylisie	1984	111467.0
upyours	1981	57822.0
Cacan	1982	32360.0
eyalee	1987	52047.0
allakantralla	1976	308166.0
Gravid 89	1990	146515.0
LBA	1986	12850.0
pindile	1984	98203.0
Caaarroo	1989	2783.0
Mamma till gullungen	1978	40189.0
ingra	1975	54219.0
Agent 355	1975	48410.0
Azusephre	1988	61452.0
Vildblomman	1985	38649.0
olympia71	1972	43308.0
Knasiga morsan	1985	104623.0
WhiteAngels	1980	205677.0
tusshh	1988	74944.0
new age	1980	20692.0
Lisa1977	1978	35851.0
Epona	1982	9312.0
Dalton	1986	28336.0
Fia86	1987	21094.0
Norea	1973	46333.0
tillit71	1972	44286.0
Lillatroll	1974	137707.0
Makaron	1986	10484.0
AminasmammaElin	1986	17769.0
sara1981	1982	109687.0
AAEV	1987	127650.0
Tokfia 7	1978	79996.0
GeRDiS	1984	4341.0
helenen	1972	26260.0
Dompans mamma	1983	65366.0
Trolli	1985	66110.0
Fridapida	1982	149354.0
Filemon Syklon	1965	12924.0
sursocka	1982	129762.0
Sommarkatten	1987	13361.0
emme 86	1987	165623.0
Erika Ö	1989	111183.0
Anna Lisa	1979	52557.0
Granada	1975	220169.0
Lill Z	1978	2800.0
NochA	1985	33047.0
RockingSkåne	1981	18894.0
HJ81	1982	21742.0
Konvaljen	1985	83993.0
Aniko	1976	43546.0
ForReal	1984	13857.0
minismurfen	1983	13232.0
Sven Justus	1956	55127.0
tompatiger	1976	2928.0
Lyxmamma	1973	64081.0
MissGoodie	1976	34576.0
linas fina	1984	72353.0
LHUF	1980	400024.0
Rockenrola	1984	57250.0
TessJH	1984	24501.0
Aleksandra	1962	16176.0
Maria2	1978	4251.0
Gunge	1984	4097.0
Valente	1973	15791.0
SuzR	1982	272979.0
jessican	1979	23582.0
gosmamman	1983	253428.0
Urtica	1981	30208.0
trollprinsessan	1978	48647.0
zuzzan	1984	46029.0
ShuppShupp	1985	16953.0
Saltlakrits	1984	93428.0
TessaS	1974	368745.0
Tida77	1978	98954.0
tempo21	1974	55168.0
Geshia	1981	220601.0
TheStar	1977	64426.0
mammastegeby	1985	9907.0
kixan	1982	78477.0
hally	1986	133880.0
Liona	1981	77114.0
Trojan Rudeboy	1981	7578.0
Ema86	1987	12981.0
Tonci	1986	36598.0
Spacekotten	1985	10916.0
Soti75	1976	23108.0
Koocachoo	1979	28791.0
Maja Gräddnos	1979	58097.0
Elisie	1985	29781.0
LillaLoppanT	1981	262619.0
ciissii	1990	10537.0
annawall	1976	44555.0
star67	1968	57971.0
Oktoberbebis	1981	10650.0
Karolina75	1975	26924.0
morguse	1982	5754.0
Humlansbebis	1983	53236.0
Millakilla	1980	13289.0
Lakritsglassen	1983	6101.0
FL Lisa	1983	175471.0
Lisa1976	1977	56210.0
Cecilia84	1984	12934.0
Mina72	1973	33427.0
Bettyboopan1984	1985	35000.0
Finasteunge	1987	23508.0
Snooze	1981	177454.0
Pyre på väg	1983	21448.0
juni2009	1983	12994.0
Nifesoj	1988	15462.0
2babiesmom	1983	52210.0
Vintervacker	1980	55727.0
SaraSahara	1980	13572.0
Mya1	1973	11303.0
stoltmamma87	1988	23850.0
svischan	1983	109017.0
Pillan81	1979	49086.0
aggebagge	1978	3970.0
Flamma	1984	200617.0
lindab	1982	6462.0
rosenkind	1983	132360.0
Killarnas morsa	1972	136904.0
Ronjah	1987	71560.0
lenka	1986	2594.0
TeZs	1987	84644.0
Rocktroll	1985	145319.0
S a C	1983	108860.0
MajaMaria79	1980	129460.0
fröken	1977	104413.0
nathana1	1976	24413.0
Kikkis	1973	4347.0
ZezzA80	1981	36402.0
Madicken och Lisabeth	1976	8544.0
Skutta	1986	5346.0
Lissy81	1982	18773.0
tantS	1987	11034.0
längtafia	1984	10390.0
Hellström	1979	3439.0
exiteme	1972	35030.0
Annika78	1979	5642.0
nanna74	1975	866.0
Ghettoblaster	1977	5841.0
Amme79	1980	11441.0
Sara E	1985	61313.0
Fyrklovern	1982	31023.0
menta	1977	2084.0
esther	1966	13608.0
Amicus verus est rara avis	1987	5758.0
katt tass	1981	55363.0
nobilis	1967	23917.0
marla333	1987	40267.0
CoolJen	1980	70174.0
Tummelisa06	1980	34978.0
hugger i sten	1981	13697.0
jennie88	1989	4612.0
magelita80	1981	21059.0
zetika	1985	22325.0
musli	1972	286971.0
Mamma till Lilla A	1983	8265.0
fru smurf	1979	135700.0
Kampis	1988	10879.0
Loppan75	1976	11425.0
Fossa	1989	101500.0
Linaslus	1985	61929.0
tindistar	1988	22035.0
sagorummet 3	1988	13217.0
juzze	1984	82320.0
Bubblan84	1971	42138.0
Stella79	1980	19236.0
EmmAhh	1987	114310.0
emma71	1971	6095.0
Mashenjka	1973	12815.0
camas	1984	70111.0
Chipotle	1980	39041.0
Jencie	1988	25575.0
anyXX	1983	115227.0
karusell	1977	12555.0
Damien och Adrian	1973	242455.0
Pusselbiten86	1987	93526.0
Jojo 85	1986	260799.0
joyzi	1985	16511.0
Den där Mary	1981	4028.0
tess1987	1988	50656.0
Skruttis1979	1979	325039.0
chicopico	1983	18666.0
cherryblossom	1983	7100.0
mal	1983	19024.0
LillaEllan	1987	66398.0
Klantus	1982	27414.0
karinagumman	1979	96394.0
Martinis	1984	20991.0
lilletrille	1979	19199.0
Yori	1988	10595.0
bubbelmaja	1978	170164.0
emilou77	1982	24562.0
Linnéa777	1989	16386.0
Egon26	1986	9683.0
LitenMamma	1988	12882.0
Turran	1976	122723.0
Mirali	1989	29278.0
apaqnirk	1981	14466.0
Cakemaker	1988	14681.0
april79	1980	50513.0
Väntarochlängtar	1971	110426.0
Pebblas	1985	24401.0
Dunderklumpen	1989	42106.0
principessan	1986	5237.0
Lulle	1977	15509.0
Josefine 85	1986	33833.0
Mysmonstret	1981	12193.0
MY2004	1980	33157.0
Emsingen	1977	4960.0
ellenagnes	1974	25449.0
Solglimtar	1988	56252.0
Malo	1982	40189.0
seadwarf	1982	59016.0
Horst	1976	96510.0
FridaLee	1987	97901.0
AsfaltsBlomma	1980	13105.0
maria8109	1982	67998.0
Röllekan	1978	9348.0
soffien	1986	16888.0
sebbeman	1980	4643.0
soff82	1983	27710.0
ludde1	1979	16869.0
Bong	1980	47256.0
emo	1972	20025.0
norrlandsflicka	1980	13633.0
oxle bo	1986	55090.0
clembke	1981	140164.0
Mamma TN	1989	10248.0
Izzo	1976	20302.0
Fanaya	1983	3922.0
Riskiflickan	1981	139546.0
Caladhiel	1987	4008.0
Novalie	1977	16553.0
PernillaWaxin	1987	19348.0
Beetle	1981	44698.0
gastronomer	1990	3811.0
rockmamman	1984	28906.0
Superizza	1988	26594.0
BängtRagnhild	1987	33169.0
ErikaCC	1979	15857.0
skorpiona	1981	273751.0
EmmJay	1984	8867.0
Cynric	1986	87869.0
bumse2	1974	80953.0
lingonben	1952	65045.0
Smulanpus	1982	71511.0
Atjo	1977	19278.0
bitte67	1968	66098.0
Pingeling	1983	9201.0
bili	1960	55220.0
Hayati	1991	10517.0
mamma9905	1976	10343.0
smulan 75	1976	22633.0
NinnaW	1977	7342.0
Lill Bästis	1987	33132.0
Augustimamman	1986	4657.0
lillälva	1978	82390.0
ump	1978	18846.0
Softyy	1981	24333.0
Snabeldrake	1992	7625.0
vivi85	1986	68537.0
alexix	1980	10630.0
ak73	1974	9480.0
Bonzan	1983	17625.0
abinito	1978	52467.0
Niccipicci	1976	57173.0
Sippan76	1977	7678.0
Tårtsmulan	1975	17745.0
Fresa78	1979	49191.0
Niccan88	1989	10251.0
äntligen Vi	1984	13190.0
bebis090614	1988	44070.0
Anna76	1977	34047.0
Hemera	1971	9928.0
ÄlskadeUnge	1987	104388.0
Missy M	1987	53498.0
Nina 77	1978	18655.0
Pikapika	1974	11738.0
MiniFröberg	1984	43152.0
anniebananie	1983	23973.0
Cattapult	1979	23434.0
Tess1979	1980	6717.0
VirrAnna	1985	74469.0
Majsansarne	1981	11072.0
Ssofia	1974	15395.0
Kallemero79	1980	17384.0
Losa	1972	8133.0
bmbengtsson	1981	8649.0
Hjärtefröjd	1979	38380.0
En skrutt	1981	15434.0
Humlemamma	1984	210010.0
margarita	1957	37920.0
zitis81	1982	72892.0
IsaViolia	1988	19926.0
A84	1985	20589.0
livet från ljusa sidan	1981	74006.0
Mojzan	1982	5318.0
vattenkanna	1983	11212.0
mellerud	1980	9327.0
Cerenna	1981	9898.0
Moment22	1981	19694.0
rosen76	1977	21262.0
carne	1986	7353.0
Hella78	1979	8352.0
fabler	1964	163506.0
Svart ros	1983	77682.0
linda 80	1981	8274.0
Vitros	1976	123680.0
Tröttimössan	1981	58499.0
Trissvinnaren	1974	69610.0
Näckros	1986	32632.0
skanka	1978	36004.0
Snåjtis	1983	14318.0
JCA	1979	30472.0
3 barns mor	1983	58066.0
Jungblom	1986	236094.0
StaffenAssar	1983	241163.0
Carmen1	1979	4208.0
lilyanna	1986	37306.0
AnnaA80	1981	5464.0
majlinsa	1988	50013.0
Tessie2022	1980	12856.0
nick name	1969	36958.0
GirlieGirl	1986	10384.0
Mamma till Simon	1978	51523.0
Cinnamon	1986	7528.0
Norrtjejjen	1983	27971.0
TezzyBump	1989	39665.0
nate	1980	26710.0
Salamina	1972	28047.0
Josephine	1972	6442.0
KramKalas	1984	41154.0
pernilla1972	1973	13106.0
grinchen	1982	2087.0
mmn1	1986	31438.0
Hanniz	1987	78790.0
SEM	1990	26302.0
spik	1969	16946.0
Zizzla	1968	19772.0
mymamasaid	1975	25467.0
arasall	1979	10127.0
Hettie	1980	18743.0
Marlene	1967	253895.0
Lillfjant	1979	9800.0
freija	1985	3313.0
star83	1984	10966.0
babyboom86	1987	110070.0
mamma till 2 frön	1974	40549.0
andra	1987	11378.0
anja1661	1983	87755.0
Sedek	1977	175055.0
Puman78	1979	81708.0
TvåBusar	1981	8764.0
Glaadis	1976	72022.0
dessan59	1960	27702.0
enilorac	1984	28409.0
Adoniram	1978	140640.0
