StephanieH	1991
ostbåge	1990
mica	1990
fågeln	1988
apriltjej	1990
Happyme	1993
MammaTillTindra	1991
FruFrank	1988
Ofeliaa	1989
fluu	1992
Aiwendil	1986
Hmpf	1995
Jannie	1988
chariots	1993
MammaTillNeoh	1989
Ellieott	1987
Felicia111	1993
KristallSplitter	1986
Beloved	1986
Chessy	1991
CuteElliz	1986
Pusselbiten86	1985
ÖnskarHoppas	1990
Johannah	1988
sannamamma	1989
Tjatte	1992
Puppan	1987
Merle	1989
Snurran	1987
Tokstollen	1990
supermamman	1989
Mach	1988
Johje	1988
Moder Jord	1987
Karlin	1985
nelli	1984
copycat	1985
TypeONegative	1985
Nanna	1988
Lizzan	1988
äppelmos	1990
nummerfem	1990
Jeenkan	1992
123321	1987
Denise87	1986
Lily of the valley	1984
loveisintheair	1986
Melwinsmamma	1990
Lellehs	1991
Mamman88	1987
