period	username	yob	agebin	total	v1abs	v2abs	v1rel	v2rel	agebin2
	Jennie med ie	1976	3	18.0	1.0	17.0	0.05555555555555555	0.9444444444444444	6
	idiblon	1982	3	18.0	0.0	18.0	0.0	1.0	7
	Butterscotch	1975	3	11.0	1.0	10.0	0.09090909090909091	0.9090909090909091	6
	Snooze	1981	3	18.0	0.0	18.0	0.0	1.0	7
	Miss Cee	1981	3	20.0	6.0	14.0	0.3	0.7	7
	LaFontaine	1985	4	13.0	0.0	13.0	0.0	1.0	8
	hundpuss	1988	4	10.0	1.0	9.0	0.1	0.9	9
	mithrandil	1983	4	36.0	0.0	36.0	0.0	1.0	8
	CeeJay	1973	3	27.0	4.0	23.0	0.14814814814814814	0.8518518518518519	6
	Sadie	1984	4	10.0	1.0	9.0	0.1	0.9	8
	TessaS	1974	3	20.0	1.0	19.0	0.05	0.95	6
	Örnie	1963	2	11.0	1.0	10.0	0.09090909090909091	0.9090909090909091	4
	musli	1972	2	30.0	0.0	30.0	0.0	1.0	5
	bambigirl	1982	3	32.0	0.0	32.0	0.0	1.0	7
	MrsCharlotte	1981	3	35.0	0.0	35.0	0.0	1.0	7
	AW76	1977	3	41.0	2.0	39.0	0.04878048780487805	0.9512195121951219	6
	Beckah82	1983	4	73.0	0.0	73.0	0.0	1.0	8
	Emmel	1973	3	10.0	2.0	8.0	0.2	0.8	6
	Dorian Ertymexx	1973	3	85.0	5.0	80.0	0.058823529411764705	0.9411764705882353	6
	lokisse	1961	1	32.0	1.0	31.0	0.03125	0.96875	3
	FreeForAll	1984	4	14.0	0.0	14.0	0.0	1.0	8
	Jungblom	1986	4	30.0	2.0	28.0	0.06666666666666667	0.9333333333333333	8
	Lorelei	1978	3	16.0	1.0	15.0	0.0625	0.9375	7
	Lavish	1986	4	23.0	0.0	23.0	0.0	1.0	8
	Lindadjo	1978	3	11.0	0.0	11.0	0.0	1.0	7
	mamita64	1965	2	25.0	0.0	25.0	0.0	1.0	4
	car	1975	3	17.0	0.0	17.0	0.0	1.0	6
	Sigrid	1975	3	17.0	0.0	17.0	0.0	1.0	6
	SuzR	1982	3	10.0	1.0	9.0	0.1	0.9	7
	Saltlakrits	1984	4	10.0	0.0	10.0	0.0	1.0	8
	LuMa	1979	3	12.0	0.0	12.0	0.0	1.0	7
	Pallas	1974	3	42.0	1.0	41.0	0.023809523809523808	0.9761904761904762	6
	Loris	1988	4	10.0	2.0	8.0	0.2	0.8	9
	JAG är BÄST	1973	3	24.0	0.0	24.0	0.0	1.0	6
	sammetrocker	1984	4	10.0	0.0	10.0	0.0	1.0	8
	Kina79	1980	3	16.0	0.0	16.0	0.0	1.0	7
	morotsland	1981	3	18.0	2.0	16.0	0.1111111111111111	0.8888888888888888	7
	lillälva	1978	3	10.0	0.0	10.0	0.0	1.0	7
	Pyris	1978	3	23.0	0.0	23.0	0.0	1.0	7
	Floff	1983	4	13.0	0.0	13.0	0.0	1.0	8
	allakantralla	1976	3	23.0	2.0	21.0	0.08695652173913043	0.9130434782608695	6
	livet leker	1990	4	10.0	1.0	9.0	0.1	0.9	9
	saltflingan	1990	4	20.0	1.0	19.0	0.05	0.95	9
	Chaktio	1977	3	11.0	0.0	11.0	0.0	1.0	6
	Grönögat	1989	4	10.0	7.0	3.0	0.7	0.3	9
	MrsCD	1981	3	10.0	0.0	10.0	0.0	1.0	7
	Gladabarnensmamma	1983	4	30.0	2.0	28.0	0.06666666666666667	0.9333333333333333	8
	Hedi	1966	2	14.0	2.0	12.0	0.14285714285714285	0.8571428571428571	4
	PetraMunchen	1972	2	10.0	0.0	10.0	0.0	1.0	5
	Empo	1985	4	12.0	1.0	11.0	0.08333333333333333	0.9166666666666666	8
	solstraalen	1982	3	15.0	1.0	14.0	0.06666666666666667	0.9333333333333333	7
	Tokfrjant	1989	4	10.0	2.0	8.0	0.2	0.8	9
	Maja09	1979	3	12.0	0.0	12.0	0.0	1.0	7
	RiNan	1984	4	10.0	0.0	10.0	0.0	1.0	8
	pluvdo	1987	4	10.0	0.0	10.0	0.0	1.0	8
	Marlene	1967	2	47.0	4.0	43.0	0.0851063829787234	0.9148936170212766	4
	Tyrell	1973	3	16.0	1.0	15.0	0.0625	0.9375	6
	Kyanita	1974	3	20.0	2.0	18.0	0.1	0.9	6
	guldplutt	1971	2	26.0	0.0	26.0	0.0	1.0	5
	castillo	1988	4	14.0	1.0	13.0	0.07142857142857142	0.9285714285714286	9
	Impertiff	1974	3	11.0	0.0	11.0	0.0	1.0	6
	Lena	1980	3	20.0	1.0	19.0	0.05	0.95	7
	Mamma till viljestark dotter	1976	3	10.0	0.0	10.0	0.0	1.0	6
	fruganL	1990	4	28.0	0.0	28.0	0.0	1.0	9
	Mylla	1980	3	17.0	1.0	16.0	0.058823529411764705	0.9411764705882353	7
	lilla mej	1978	3	12.0	1.0	11.0	0.08333333333333333	0.9166666666666666	7
	Bullan1978	1979	3	20.0	1.0	19.0	0.05	0.95	7
	AmandaBrun	1985	4	11.0	0.0	11.0	0.0	1.0	8
	Mirren	1978	3	20.0	1.0	19.0	0.05	0.95	7
	Helene70	1971	2	19.0	0.0	19.0	0.0	1.0	5
	mandelblomma	1990	4	11.0	1.0	10.0	0.09090909090909091	0.9090909090909091	9
	modestyclara	1979	3	17.0	0.0	17.0	0.0	1.0	7
	Lia och bäbisen	1983	4	13.0	0.0	13.0	0.0	1.0	8
	Joje	1975	3	47.0	0.0	47.0	0.0	1.0	6
	lisadragon	1985	4	39.0	1.0	38.0	0.02564102564102564	0.9743589743589743	8
	clembke	1981	3	18.0	11.0	7.0	0.6111111111111112	0.3888888888888889	7
	lillabebben	1980	3	13.0	0.0	13.0	0.0	1.0	7
	hejsvej	1983	4	35.0	2.0	33.0	0.05714285714285714	0.9428571428571428	8
	MiniFröberg	1984	4	20.0	0.0	20.0	0.0	1.0	8
	TheFamily	1980	3	12.0	1.0	11.0	0.08333333333333333	0.9166666666666666	7
	En glad tjej	1979	3	31.0	0.0	31.0	0.0	1.0	7
	Greta Anna	1978	3	12.0	1.0	11.0	0.08333333333333333	0.9166666666666666	7
	goatess82	1983	4	12.0	0.0	12.0	0.0	1.0	8
	MissMy	1985	4	10.0	0.0	10.0	0.0	1.0	8
	bubbelmaja	1978	3	18.0	1.0	17.0	0.05555555555555555	0.9444444444444444	7
	MangaGirl	1978	3	21.0	0.0	21.0	0.0	1.0	7
	anyXX	1983	4	11.0	0.0	11.0	0.0	1.0	8
	Lajkie	1987	4	20.0	0.0	20.0	0.0	1.0	8
	Jaramla	1980	3	16.0	0.0	16.0	0.0	1.0	7
	Bette	1967	2	13.0	0.0	13.0	0.0	1.0	4
	Trillian80	1986	4	23.0	4.0	19.0	0.17391304347826086	0.8260869565217391	8
	lottizm	1985	4	11.0	0.0	11.0	0.0	1.0	8
	Ett två tre	1986	4	21.0	0.0	21.0	0.0	1.0	8
	Winglur	1989	4	15.0	0.0	15.0	0.0	1.0	9
	Rocktroll	1985	4	16.0	0.0	16.0	0.0	1.0	8
	hannis	1979	3	10.0	3.0	7.0	0.3	0.7	7
	Enigmia	1977	3	10.0	1.0	9.0	0.1	0.9	6
	som en sol	1983	4	11.0	0.0	11.0	0.0	1.0	8
	jesslin	1973	3	14.0	0.0	14.0	0.0	1.0	6
	Amulett	1976	3	17.0	1.0	16.0	0.058823529411764705	0.9411764705882353	6
	kvinna 86	1987	4	11.0	0.0	11.0	0.0	1.0	8
	underverket 06	1971	2	15.0	0.0	15.0	0.0	1.0	5
	Fru LB	1984	4	10.0	1.0	9.0	0.1	0.9	8
	Gladhannapanna	1972	2	19.0	0.0	19.0	0.0	1.0	5
	Juni 06	1982	3	13.0	0.0	13.0	0.0	1.0	7
	skorpiona	1981	3	13.0	0.0	13.0	0.0	1.0	7
	BrödernaBus	1980	3	14.0	0.0	14.0	0.0	1.0	7
	Bohman	1986	4	14.0	0.0	14.0	0.0	1.0	8
	swiitii	1988	4	10.0	2.0	8.0	0.2	0.8	9
	kicki08	1978	3	18.0	2.0	16.0	0.1111111111111111	0.8888888888888888	7
	CamillaJ	1985	4	10.0	0.0	10.0	0.0	1.0	8
	abuelita	1951	1	13.0	0.0	13.0	0.0	1.0	1
	monchichi76	1977	3	14.0	2.0	12.0	0.14285714285714285	0.8571428571428571	6
	NadiaMi	1975	3	43.0	1.0	42.0	0.023255813953488372	0.9767441860465116	6
	Myra	1973	3	10.0	1.0	9.0	0.1	0.9	6
	Tninis	1988	4	10.0	0.0	10.0	0.0	1.0	9
