period	username	yob	agebin	total	v1abs	v2abs	v1rel	v2rel	agebin2
	Solkattan	1976	3	10.0	0.0	10.0	0.0	1.0	6
	JAG är BÄST	1973	3	30.0	2.0	28.0	0.06666666666666667	0.9333333333333333	6
	Jennie med ie	1976	3	19.0	0.0	19.0	0.0	1.0	6
	hymafr	1965	2	16.0	1.0	15.0	0.0625	0.9375	4
	idiblon	1982	3	22.0	0.0	22.0	0.0	1.0	7
	Hoppfull84	1985	4	11.0	0.0	11.0	0.0	1.0	8
	Mia386	1989	4	16.0	1.0	15.0	0.0625	0.9375	9
	Anova	1979	3	11.0	0.0	11.0	0.0	1.0	7
	Tilcha	1985	4	31.0	0.0	31.0	0.0	1.0	8
	CeeJay	1973	3	19.0	1.0	18.0	0.05263157894736842	0.9473684210526315	6
	hotten	1975	3	40.0	0.0	40.0	0.0	1.0	6
	korfu08	1976	3	13.0	0.0	13.0	0.0	1.0	6
	Butterscotch	1975	3	14.0	0.0	14.0	0.0	1.0	6
	Astarte	1980	3	14.0	0.0	14.0	0.0	1.0	7
	musli	1972	2	19.0	0.0	19.0	0.0	1.0	5
	Sadie	1984	4	13.0	0.0	13.0	0.0	1.0	8
	5 barnsmamman	1979	3	16.0	4.0	12.0	0.25	0.75	7
	allakantralla	1976	3	20.0	0.0	20.0	0.0	1.0	6
	Hedi	1966	2	19.0	2.0	17.0	0.10526315789473684	0.8947368421052632	4
	angeni	1988	4	32.0	2.0	30.0	0.0625	0.9375	9
	Dorian Ertymexx	1973	3	56.0	1.0	55.0	0.017857142857142856	0.9821428571428571	6
	MrsCD	1981	3	10.0	0.0	10.0	0.0	1.0	7
	WhiteAngels	1980	3	14.0	0.0	14.0	0.0	1.0	7
	SuzR	1982	3	14.0	0.0	14.0	0.0	1.0	7
	Beckah82	1983	4	78.0	9.0	69.0	0.11538461538461539	0.8846153846153846	8
	Liten måne	1984	4	11.0	0.0	11.0	0.0	1.0	8
	Miss Cee	1981	3	35.0	0.0	35.0	0.0	1.0	7
	LuMa	1979	3	19.0	0.0	19.0	0.0	1.0	7
	lokisse	1961	1	26.0	0.0	26.0	0.0	1.0	3
	septemberängel	1981	3	13.0	0.0	13.0	0.0	1.0	7
	TheCoopers	1976	3	11.0	0.0	11.0	0.0	1.0	6
