period	username	yob	agebin	total	v1abs	v2abs	v1rel	v2rel
	sleeping angel	1984		229.0	130.0	99.0	0.5676855895196506	0.43231441048034935
	Jess87	1988		7.0	5.0	2.0	0.7142857142857143	0.2857142857142857
	MammaMia87	1987		8.0	4.0	4.0	0.5	0.5
	Mika86	1987		16.0	1.0	15.0	0.0625	0.9375
	Fembarnsmorsan	1972		34.0	34.0	0.0	1.0	0.0
	Quinnan	1990		8.0	2.0	6.0	0.25	0.75
	Atamon	1972		173.0	166.0	7.0	0.9595375722543352	0.04046242774566474
	elinville	1981		101.0	22.0	79.0	0.21782178217821782	0.7821782178217822
	Musetti	1982		7.0	3.0	4.0	0.42857142857142855	0.5714285714285714
	diddisen80	1981		18.0	17.0	1.0	0.9444444444444444	0.05555555555555555
	Lakrids	1977		44.0	29.0	15.0	0.6590909090909091	0.3409090909090909
	Pirjo79	1980		11.0	2.0	9.0	0.18181818181818182	0.8181818181818182
	riboflavin	1985		65.0	1.0	64.0	0.015384615384615385	0.9846153846153847
	MeandHim	1983		5.0	0.0	5.0	0.0	1.0
	antitanten	1955		25.0	5.0	20.0	0.2	0.8
	TheFamily	1980		114.0	12.0	102.0	0.10526315789473684	0.8947368421052632
	skruttis11	1982		70.0	12.0	58.0	0.17142857142857143	0.8285714285714286
	Pallas	1974		241.0	29.0	212.0	0.12033195020746888	0.8796680497925311
	spaceylisie	1984		42.0	31.0	11.0	0.7380952380952381	0.2619047619047619
	Panope	1980		1.0	0.0	1.0	0.0	1.0
	Knasiga morsan	1985		155.0	52.0	103.0	0.33548387096774196	0.6645161290322581
	solstraalen	1982		106.0	4.0	102.0	0.03773584905660377	0.9622641509433962
	Miss Cee	1981		185.0	169.0	16.0	0.9135135135135135	0.08648648648648649
	pingstlilja	1976		16.0	7.0	9.0	0.4375	0.5625
	delifi2	1975		365.0	28.0	337.0	0.07671232876712329	0.9232876712328767
	Fridapida	1982		57.0	24.0	33.0	0.42105263157894735	0.5789473684210527
	TigerLinn	1986		73.0	5.0	68.0	0.0684931506849315	0.9315068493150684
	Lilaa	1982		49.0	11.0	38.0	0.22448979591836735	0.7755102040816326
	ForReal	1984		4.0	1.0	3.0	0.25	0.75
	tompatiger	1976		5.0	1.0	4.0	0.2	0.8
	SuzR	1982		135.0	23.0	112.0	0.17037037037037037	0.8296296296296296
	längtafia	1984		2.0	0.0	2.0	0.0	1.0
	marla333	1987		43.0	4.0	39.0	0.09302325581395349	0.9069767441860465
	stormfågel	1980		33.0	33.0	0.0	1.0	0.0
	lenka	1986		1.0	1.0	0.0	1.0	0.0
	juzze	1984		57.0	11.0	46.0	0.19298245614035087	0.8070175438596491
	hundpuss	1988		138.0	11.0	127.0	0.07971014492753623	0.9202898550724637
	Pumpkin	1985		342.0	143.0	199.0	0.41812865497076024	0.5818713450292398
	Micalela	1987		17.0	9.0	8.0	0.5294117647058824	0.47058823529411764
	SaraSara	1976		48.0	20.0	28.0	0.4166666666666667	0.5833333333333334
	Mamma TN	1989		6.0	3.0	3.0	0.5	0.5
	Marre	1980		13.0	8.0	5.0	0.6153846153846154	0.38461538461538464
