period	username	yob	agebin	total	v1abs	v2abs	v1rel	v2rel
	sleeping angel	1984		71.0	0.0	71.0	0.0	1.0
	Svampp	1982		26.0	0.0	26.0	0.0	1.0
	sweetfia	1988		14.0	0.0	14.0	0.0	1.0
	Mamma1988	1989		11.0	0.0	11.0	0.0	1.0
	Fröken Juni	1974		56.0	0.0	56.0	0.0	1.0
	jannovich	1982		10.0	0.0	10.0	0.0	1.0
	swiitii	1988		36.0	0.0	36.0	0.0	1.0
	Krake	1961		19.0	0.0	19.0	0.0	1.0
	lottizm	1985		57.0	0.0	57.0	0.0	1.0
	Ellinora	1982		18.0	0.0	18.0	0.0	1.0
	mammakristina	1978		31.0	0.0	31.0	0.0	1.0
	Carbon	1980		15.0	0.0	15.0	0.0	1.0
	Nilsfar	1965		15.0	0.0	15.0	0.0	1.0
	Cynric	1986		17.0	0.0	17.0	0.0	1.0
	Sofia8504	1986		10.0	0.0	10.0	0.0	1.0
	Lisa1976	1977		15.0	0.0	15.0	0.0	1.0
	Sparriz	1989		15.0	0.0	15.0	0.0	1.0
	MalinV	1977		20.0	0.0	20.0	0.0	1.0
	litenlind	1980		15.0	0.0	15.0	0.0	1.0
	mamma till 2 frön	1974		20.0	0.0	20.0	0.0	1.0
	Jaramla	1980		26.0	0.0	26.0	0.0	1.0
	OoSOLINoO	1984		11.0	0.0	11.0	0.0	1.0
	Smulanpus	1982		11.0	0.0	11.0	0.0	1.0
	JennyL29	1980		55.0	0.0	55.0	0.0	1.0
	Airona	1983		11.0	0.0	11.0	0.0	1.0
	Jojo 85	1986		81.0	0.0	81.0	0.0	1.0
	fabler	1964		20.0	0.0	20.0	0.0	1.0
	MissUnderstood80	1981		13.0	0.0	13.0	0.0	1.0
	TanjaS	1973		21.0	0.0	21.0	0.0	1.0
	frk lorelei	1980		19.0	0.0	19.0	0.0	1.0
	Marlene	1967		157.0	0.0	157.0	0.0	1.0
	kvinna 86	1987		57.0	0.0	57.0	0.0	1.0
	Pillan81	1979		27.0	0.0	27.0	0.0	1.0
	Erre	1984		13.0	0.0	13.0	0.0	1.0
	Kärnan	1979		13.0	0.0	13.0	0.0	1.0
	anyXX	1983		37.0	0.0	37.0	0.0	1.0
	Lurpa	1983		15.0	0.0	15.0	0.0	1.0
	UWO BaraJag	1973		15.0	0.0	15.0	0.0	1.0
	pojkens	1975		45.0	0.0	45.0	0.0	1.0
	MariaJuj	1983		43.0	0.0	43.0	0.0	1.0
	Superhero	1983		28.0	0.0	28.0	0.0	1.0
	Tyrell	1973		44.0	0.0	44.0	0.0	1.0
	MamaPapa	1972		16.0	0.0	16.0	0.0	1.0
	Skahlmann	1966		16.0	0.0	16.0	0.0	1.0
	Snutten	1981		34.0	0.0	34.0	0.0	1.0
	Zophia	1980		13.0	0.0	13.0	0.0	1.0
	Papi Jo	1977		13.0	0.0	13.0	0.0	1.0
