period	username	yob	agebin	total	v1abs	v2abs	v1rel	v2rel	agebin2
	JAG är BÄST	1973	2	72.0	4.0	68.0	0.05555555555555555	0.9444444444444444	6
	Gothica	1975	2	14.0	0.0	14.0	0.0	1.0	6
	Ninnie	1980	3	17.0	4.0	13.0	0.23529411764705882	0.7647058823529411	7
	Smulan1973	1974	2	4.0	0.0	4.0	0.0	1.0	6
	Emeli	1954	1	42.0	0.0	42.0	0.0	1.0	2
	Jennie med ie	1976	2	99.0	2.0	97.0	0.020202020202020204	0.9797979797979798	6
	Mara	1974	2	10.0	0.0	10.0	0.0	1.0	6
	Tjillevippen	1981	3	19.0	1.0	18.0	0.05263157894736842	0.9473684210526315	7
	Sally	1974	2	24.0	0.0	24.0	0.0	1.0	6
	Hundtok	1984	3	22.0	0.0	22.0	0.0	1.0	8
	Jola	1977	2	4.0	1.0	3.0	0.25	0.75	6
	Camarogirl	1971	2	11.0	0.0	11.0	0.0	1.0	5
	Linnis	1987	3	3.0	0.0	3.0	0.0	1.0	8
	Helle68	1969	2	4.0	2.0	2.0	0.5	0.5	5
	Diwa	1974	2	6.0	0.0	6.0	0.0	1.0	6
	annajo	1978	2	1.0	0.0	1.0	0.0	1.0	7
	Ennna	1980	3	3.0	0.0	3.0	0.0	1.0	7
	Vildrosen	1971	2	7.0	0.0	7.0	0.0	1.0	5
	Rude Billy	1987	3	15.0	1.0	14.0	0.06666666666666667	0.9333333333333333	8
	RestoreMe	1974	2	1.0	0.0	1.0	0.0	1.0	6
	Smetanina	1977	2	39.0	0.0	39.0	0.0	1.0	6
	hymafr	1965	2	41.0	2.0	39.0	0.04878048780487805	0.9512195121951219	4
	Linaek	1964	1	19.0	1.0	18.0	0.05263157894736842	0.9473684210526315	4
	yodi	1980	3	39.0	2.0	37.0	0.05128205128205128	0.9487179487179487	7
	Kajsala	1961	1	25.0	0.0	25.0	0.0	1.0	3
	Anatha	1979	2	34.0	2.0	32.0	0.058823529411764705	0.9411764705882353	7
	PetraMunchen	1972	2	58.0	2.0	56.0	0.034482758620689655	0.9655172413793104	5
	Missermajser	1974	2	2.0	1.0	1.0	0.5	0.5	6
	FridaBjoerk	1992	3	3.0	0.0	3.0	0.0	1.0	9
	FridaochSamuel	1991	3	13.0	1.0	12.0	0.07692307692307693	0.9230769230769231	9
	Badbollen	1984	3	7.0	0.0	7.0	0.0	1.0	8
	Gubbas	1976	2	3.0	1.0	2.0	0.3333333333333333	0.6666666666666666	6
	Iorlover	1969	2	4.0	0.0	4.0	0.0	1.0	5
	madde1983	1984	3	11.0	0.0	11.0	0.0	1.0	8
	Pirjo79	1980	3	1.0	0.0	1.0	0.0	1.0	7
	Lönnsirap	1981	3	13.0	1.0	12.0	0.07692307692307693	0.9230769230769231	7
	TheFamily	1980	3	22.0	0.0	22.0	0.0	1.0	7
	Kary	1982	3	13.0	0.0	13.0	0.0	1.0	7
	Panope	1980	3	1.0	0.0	1.0	0.0	1.0	7
