verb	prolific_speakers	total_prolific	microave_v2rel_prolific	total	microave_v2rel
komma	1919.0	78616.0	0.6151292357789763	86311.0	0.6119266373926846
anse	6.0	156.0	0.967948717948718	547.0	0.9341864716636198
avse	0.0	0.0	NaN	57.0	0.2807017543859649
behaga	3.0	42.0	1.0	657.0	0.8188736681887366
behöva	676.0	17875.0	0.9992727272727273	25866.0	0.9991494626150158
besluta	0.0	0.0	NaN	119.0	0.025210084033613446
bruka	1025.0	30554.0	0.9997708974275054	38987.0	0.9997691538205042
börja	1604.0	54076.0	0.9916044086101043	62654.0	0.9909024164458774
fortsätta	74.0	1318.0	0.5948406676783005	4443.0	0.5982444294395679
förefalla	0.0	0.0	NaN	15.0	1.0
förmå	0.0	0.0	NaN	71.0	0.6338028169014085
försöka	832.0	21602.0	0.9567169706508657	30164.0	0.9521946691420236
glömma	47.0	666.0	0.8213213213213213	4026.0	0.8564331843020367
hinna	211.0	3788.0	0.9965681098204857	9078.0	0.9917382683410443
hota	0.0	0.0	NaN	84.0	0.10714285714285714
idas	2.0	32.0	1.0	157.0	0.9936305732484076
lova	4.0	58.0	0.15517241379310345	939.0	0.1288604898828541
lyckas	126.0	2286.0	0.994750656167979	6264.0	0.9904214559386973
låtsas	1.0	20.0	1.0	182.0	0.989010989010989
orka	169.0	3108.0	0.9932432432432432	8290.0	0.9914354644149578
planera	12.0	183.0	0.0273224043715847	1603.0	0.07111665626949469
riskera	10.0	300.0	0.08333333333333333	1023.0	0.09775171065493646
råka	63.0	1538.0	1.0	4238.0	1.0
slippa	196.0	3698.0	0.9813412655489454	8760.0	0.9786529680365297
sluta	116.0	2173.0	0.9526000920386563	6460.0	0.9404024767801857
tendera	3.0	84.0	0.023809523809523808	345.0	0.028985507246376812
våga	71.0	1331.0	0.9992486851990984	5037.0	0.9960293825689894
vägra	145.0	2714.0	0.8459837877671333	6864.0	0.8358100233100233
ämna	0.0	0.0	NaN	34.0	0.8823529411764706
önska	2.0	31.0	1.0	330.0	0.8939393939393939
