speaker	yob	behagav1	behagav2	fortsättav1	fortsättav2	försökav1	försökav2	glömmav1	glömmav2	kommav1	kommav2	lovav1	lovav2	planerav1	planerav2	riskerav1	riskerav2	slippav1	slippav2	slutav1	slutav2	vägrav1	vägrav2
user1	1975	0.0	4.0	11.0	9.0	1.0	87.0	0.0	10.0	155.0	16.0			8.0	3.0	8.0	0.0	0.0	14.0	1.0	10.0	2.0	5.0
user2	1972	0.0	1.0	1.0	0.0	1.0	30.0			34.0	8.0	3.0	0.0	1.0	0.0	4.0	0.0	0.0	5.0	0.0	4.0	0.0	9.0
user3	1983	1.0	0.0			0.0	3.0			1.0	2.0							0.0	2.0	0.0	2.0	0.0	1.0
user4	1981	1.0	1.0	1.0	2.0	2.0	45.0	0.0	1.0	19.0	87.0			1.0	0.0	2.0	0.0	0.0	11.0	0.0	6.0	1.0	12.0
user5	1986	0.0	2.0	0.0	2.0	0.0	11.0			53.0	3.0							0.0	7.0	0.0	5.0	0.0	1.0
user6	1978	0.0	1.0	0.0	2.0	0.0	25.0	0.0	1.0	22.0	10.0			0.0	1.0	1.0	0.0	0.0	2.0	0.0	3.0	0.0	1.0
user7	1980	0.0	1.0	0.0	2.0	1.0	13.0			26.0	14.0	1.0	0.0					0.0	7.0				
user8	1973	0.0	1.0			0.0	2.0			2.0	6.0											0.0	1.0
user9	1978	0.0	4.0	2.0	2.0	0.0	43.0	0.0	8.0	14.0	179.0	4.0	0.0	2.0	0.0			0.0	18.0	0.0	11.0	1.0	3.0
user10	1984	0.0	2.0	0.0	3.0	0.0	47.0	0.0	3.0	11.0	60.0							0.0	12.0	0.0	2.0	0.0	6.0
user11	1972	0.0	2.0	1.0	6.0	0.0	22.0	0.0	10.0	93.0	54.0	6.0	0.0			1.0	0.0	0.0	19.0	0.0	30.0	0.0	15.0
user12	1986	0.0	1.0			1.0	9.0			0.0	24.0			1.0	0.0			0.0	1.0			0.0	3.0
user13	1983	1.0	1.0	1.0	0.0	0.0	4.0	0.0	1.0	8.0	10.0							0.0	2.0			0.0	1.0
user14	1964	0.0	13.0	1.0	4.0	1.0	38.0	0.0	1.0	3.0	141.0	1.0	0.0	1.0	0.0			0.0	19.0	0.0	5.0	0.0	12.0
user15	1973	1.0	0.0			1.0	6.0	0.0	1.0	11.0	0.0							0.0	1.0			0.0	1.0
user16	1973	0.0	4.0	26.0	16.0	4.0	640.0	7.0	12.0	278.0	625.0	13.0	0.0	8.0	1.0	46.0	2.0	1.0	55.0	5.0	80.0	39.0	93.0
user17	1973	0.0	1.0	2.0	10.0	4.0	68.0	1.0	21.0	244.0	63.0	1.0	0.0	3.0	1.0	2.0	0.0	2.0	28.0	0.0	24.0	1.0	28.0
user18	1974	0.0	1.0			0.0	2.0	0.0	1.0	2.0	0.0												
user19	1977	0.0	1.0	1.0	0.0	1.0	3.0	2.0	3.0	16.0	0.0							1.0	2.0	1.0	2.0	2.0	1.0
user20	1986	0.0	1.0	0.0	3.0	1.0	12.0	3.0	1.0	21.0	0.0									0.0	2.0	9.0	1.0
user21	1981	0.0	1.0	0.0	1.0	0.0	20.0			2.0	18.0									0.0	1.0		
user22	1977	0.0	1.0	0.0	4.0	0.0	19.0	0.0	3.0	26.0	23.0	0.0	1.0			1.0	6.0	0.0	2.0	0.0	3.0	0.0	5.0
user23	1979	1.0	0.0	2.0	0.0	0.0	13.0			17.0	1.0					2.0	1.0	0.0	1.0	0.0	5.0	0.0	1.0
user24	1982	0.0	1.0	0.0	21.0	0.0	81.0	0.0	4.0	85.0	42.0	1.0	0.0	0.0	4.0	2.0	1.0	0.0	22.0	0.0	18.0	0.0	26.0
user25	1983	0.0	1.0	22.0	13.0	1.0	142.0	3.0	7.0	80.0	225.0	7.0	0.0	1.0	0.0	21.0	0.0	9.0	69.0	0.0	73.0	2.0	46.0
user26	1983	0.0	1.0	0.0	1.0	0.0	10.0			7.0	31.0							0.0	2.0	0.0	3.0		
user27	1981	0.0	1.0	12.0	5.0	10.0	81.0	8.0	3.0	169.0	16.0	4.0	0.0	12.0	0.0	20.0	0.0	0.0	35.0	6.0	14.0	10.0	39.0
user28	1990	0.0	6.0	0.0	8.0	1.0	83.0	0.0	5.0	4.0	156.0	2.0	1.0	2.0	4.0	6.0	3.0	0.0	26.0	0.0	28.0	1.0	10.0
user29	1977	0.0	1.0	0.0	2.0	0.0	5.0			0.0	3.0							0.0	1.0			0.0	1.0
user30	1977	0.0	1.0	0.0	2.0	0.0	11.0			30.0	1.0	2.0	0.0			1.0	0.0	0.0	3.0	0.0	4.0	0.0	7.0
user31	1986	1.0	0.0	10.0	1.0	10.0	30.0	2.0	0.0	86.0	4.0	1.0	0.0	3.0	0.0	2.0	0.0	2.0	3.0	8.0	1.0	12.0	2.0
user32	1980	0.0	1.0	2.0	3.0	1.0	14.0			40.0	21.0					4.0	0.0	0.0	6.0	0.0	4.0	0.0	2.0
user33	1961	0.0	5.0	15.0	4.0	6.0	144.0	7.0	1.0	216.0	66.0	4.0	0.0	2.0	0.0	6.0	0.0	0.0	26.0	1.0	31.0	29.0	14.0
user34	1968	0.0	3.0	2.0	1.0	0.0	12.0	0.0	1.0	12.0	9.0	1.0	0.0			3.0	0.0	0.0	3.0	1.0	5.0	3.0	7.0
user35	1974	0.0	1.0	1.0	1.0	0.0	7.0	0.0	1.0	31.0	2.0							0.0	3.0	0.0	5.0	0.0	1.0
user36	1980	0.0	1.0	1.0	3.0	0.0	9.0	1.0	3.0	58.0	3.0			2.0	0.0	1.0	0.0	0.0	5.0	0.0	16.0	0.0	10.0
user37	1983	0.0	4.0	0.0	1.0	0.0	6.0			4.0	19.0	1.0	0.0					0.0	3.0	0.0	1.0	0.0	5.0
user38	1986	2.0	1.0	0.0	1.0	0.0	14.0			9.0	20.0							0.0	3.0	0.0	4.0	1.0	5.0
user39	1979	1.0	0.0	0.0	1.0					7.0	1.0					1.0	0.0	0.0	1.0	0.0	1.0		
user40	1979	0.0	3.0	7.0	6.0	2.0	52.0	2.0	11.0	43.0	119.0	4.0	2.0	9.0	1.0	2.0	0.0	0.0	31.0	0.0	17.0	0.0	20.0
user41	1986	2.0	2.0			0.0	4.0	0.0	2.0	0.0	12.0	1.0	0.0	3.0	0.0			0.0	4.0				
user42	1979	0.0	1.0	2.0	1.0	0.0	8.0	2.0	2.0	32.0	32.0			9.0	0.0	1.0	0.0	0.0	3.0	3.0	7.0	2.0	4.0
user43	1976	0.0	1.0	0.0	1.0	2.0	16.0	1.0	3.0	21.0	1.0			4.0	0.0			0.0	5.0	0.0	3.0	0.0	2.0
user44	1985	1.0	0.0	0.0	1.0	0.0	9.0	0.0	4.0	8.0	3.0							0.0	6.0	0.0	2.0	1.0	7.0
user45	1977	0.0	2.0	1.0	2.0	3.0	54.0	4.0	8.0	20.0	64.0	1.0	0.0	2.0	0.0	1.0	0.0	1.0	10.0	2.0	39.0	5.0	8.0
user46	1986	1.0	0.0	1.0	0.0	0.0	18.0	0.0	1.0	1.0	8.0							0.0	1.0	0.0	2.0	3.0	3.0
user47	1982	0.0	2.0			0.0	4.0			0.0	4.0												
user48	1954	0.0	1.0	6.0	0.0	0.0	42.0	1.0	3.0	284.0	6.0			7.0	0.0	7.0	0.0	0.0	1.0	0.0	2.0	2.0	2.0
user49	1981	1.0	0.0	2.0	0.0	4.0	21.0	0.0	7.0	16.0	9.0							0.0	6.0	1.0	2.0	3.0	5.0
user50	1981	0.0	2.0	4.0	5.0	0.0	19.0	0.0	3.0	30.0	41.0	1.0	0.0					0.0	3.0	0.0	1.0	0.0	1.0
user51	1976	0.0	1.0			0.0	7.0	0.0	5.0	32.0	6.0	1.0	0.0	2.0	0.0	1.0	0.0	0.0	2.0			0.0	1.0
user52	1979	0.0	1.0	0.0	1.0	0.0	9.0	0.0	1.0	8.0	33.0							0.0	3.0	0.0	1.0	0.0	3.0
user53	1971	0.0	3.0			2.0	63.0	3.0	12.0	4.0	162.0	1.0	0.0	1.0	0.0			0.0	12.0	0.0	15.0	1.0	5.0
user54	1985	0.0	1.0	2.0	0.0	0.0	6.0			1.0	12.0							0.0	1.0	0.0	2.0		
user55	1983	0.0	1.0	13.0	6.0	0.0	42.0	3.0	4.0	8.0	136.0			3.0	0.0	1.0	0.0	0.0	16.0	2.0	28.0	1.0	23.0
user56	1973	0.0	1.0	0.0	2.0	1.0	41.0	1.0	13.0	33.0	10.0	1.0	1.0	1.0	0.0			0.0	10.0	0.0	7.0	0.0	18.0
user57	1979	0.0	1.0			0.0	3.0			7.0	0.0									0.0	1.0		
user58	1987	0.0	1.0	9.0	4.0	7.0	102.0	0.0	2.0	22.0	201.0	3.0	0.0	3.0	0.0	2.0	0.0	0.0	9.0	0.0	4.0	4.0	4.0
user59	1976	0.0	1.0	1.0	2.0	12.0	10.0	1.0	1.0	30.0	2.0			1.0	0.0			0.0	5.0	0.0	1.0	0.0	5.0
user60	1981	0.0	3.0	2.0	6.0	0.0	7.0	1.0	1.0	39.0	45.0	1.0	0.0	1.0	0.0	2.0	0.0	0.0	7.0	0.0	18.0	0.0	17.0
user61	1988	0.0	2.0			1.0	7.0	0.0	2.0	14.0	6.0												
user62	1988	1.0	0.0	6.0	1.0	3.0	29.0	0.0	1.0	102.0	6.0							2.0	10.0	0.0	9.0	1.0	2.0
user63	1982	0.0	1.0	0.0	2.0	1.0	6.0			10.0	8.0			3.0	0.0			0.0	16.0	0.0	9.0	0.0	4.0
user64	1977	0.0	1.0							2.0	1.0									0.0	2.0		
user65	1974	0.0	1.0			0.0	6.0	0.0	1.0	0.0	34.0					1.0	2.0	0.0	5.0	1.0	4.0	0.0	9.0
user66	1987	2.0	0.0			0.0	6.0	0.0	3.0	2.0	81.0							0.0	3.0	1.0	1.0		
user67	1985	2.0	0.0					0.0	2.0	3.0	14.0							0.0	1.0			0.0	2.0
user68	1973	0.0	3.0	2.0	5.0	0.0	21.0			18.0	1.0			1.0	0.0			0.0	1.0			1.0	2.0
user69	1988	2.0	1.0	0.0	4.0	0.0	15.0	0.0	1.0	9.0	149.0			1.0	0.0	2.0	0.0	0.0	8.0	0.0	8.0	0.0	2.0
user70	1975	0.0	1.0	9.0	2.0	0.0	26.0	0.0	6.0	38.0	19.0	4.0	0.0	2.0	0.0			0.0	1.0	0.0	6.0	1.0	2.0
user71	1983	0.0	1.0	2.0	2.0	9.0	18.0	0.0	1.0	148.0	2.0			1.0	0.0	1.0	0.0	0.0	16.0	3.0	6.0	6.0	17.0
user72	1982	1.0	0.0			0.0	2.0			2.0	4.0												
user73	1981	0.0	1.0	1.0	2.0	0.0	4.0			4.0	20.0							0.0	3.0	0.0	1.0	0.0	2.0
user74	1980	0.0	2.0	0.0	7.0	0.0	28.0			51.0	96.0	0.0	1.0	8.0	1.0	4.0	0.0	0.0	6.0	1.0	19.0	1.0	8.0
user75	1986	1.0	0.0	0.0	2.0	0.0	13.0	0.0	1.0	0.0	30.0							0.0	15.0			0.0	1.0
user76	1983	1.0	0.0	0.0	1.0	0.0	2.0			5.0	0.0	0.0	1.0										
user77	1974	0.0	1.0	1.0	0.0	0.0	8.0	1.0	0.0	23.0	1.0	1.0	0.0	1.0	0.0	2.0	0.0	0.0	3.0	1.0	4.0	0.0	1.0
user78	1975	0.0	3.0	0.0	3.0	0.0	16.0	0.0	3.0	28.0	337.0							0.0	15.0	0.0	7.0	1.0	10.0
user79	1986	4.0	2.0	2.0	1.0	4.0	62.0	0.0	4.0	29.0	147.0	0.0	3.0	5.0	0.0			1.0	26.0	2.0	28.0	2.0	9.0
user80	1983	0.0	2.0	4.0	11.0	4.0	81.0	0.0	7.0	36.0	72.0			2.0	0.0	2.0	0.0	0.0	13.0	2.0	33.0	6.0	13.0
user81	1984	0.0	1.0			0.0	20.0	0.0	1.0	1.0	56.0							0.0	4.0	0.0	1.0	1.0	3.0
user82	1982	0.0	1.0			0.0	5.0			8.0	2.0												
user83	1980	0.0	2.0			0.0	2.0	0.0	1.0	0.0	6.0							0.0	1.0				
user84	1985	0.0	2.0			1.0	13.0	0.0	2.0	37.0	8.0							0.0	6.0	0.0	8.0	0.0	7.0
user85	1979	3.0	0.0							17.0	1.0							0.0	4.0			1.0	0.0
user86	1986	0.0	2.0	0.0	1.0	1.0	3.0			13.0	21.0	1.0	0.0					0.0	4.0	0.0	2.0		
user87	1985	0.0	1.0																				
user88	1987	0.0	1.0			2.0	9.0			12.0	11.0							0.0	4.0				
user89	1989	0.0	1.0			0.0	3.0			1.0	6.0												
user90	1983	0.0	3.0	0.0	10.0	0.0	21.0	0.0	7.0	3.0	41.0					3.0	0.0	0.0	5.0	1.0	3.0	0.0	5.0
user91	1978	0.0	1.0	0.0	4.0	0.0	41.0	0.0	3.0	57.0	0.0					3.0	0.0	0.0	16.0	0.0	7.0	0.0	23.0
user92	1978	0.0	1.0							3.0	9.0											1.0	1.0
user93	1980	0.0	1.0	1.0	0.0	7.0	5.0	0.0	3.0	24.0	1.0	1.0	0.0	1.0	0.0			1.0	0.0			0.0	4.0
user94	1987	0.0	1.0			0.0	9.0			8.0	10.0							0.0	5.0	0.0	2.0	0.0	1.0
user95	1986	4.0	0.0	0.0	1.0	2.0	56.0	0.0	7.0	92.0	191.0	0.0	1.0			1.0	0.0	0.0	19.0	0.0	14.0	2.0	1.0
user96	1986	0.0	1.0	1.0	0.0	0.0	1.0			1.0	3.0	2.0	0.0					0.0	4.0	0.0	3.0	0.0	2.0
user97	1989	2.0	0.0			0.0	7.0	0.0	7.0	3.0	35.0							1.0	15.0	1.0	2.0	1.0	0.0
user98	1979	0.0	1.0	2.0	2.0	0.0	26.0	5.0	14.0	37.0	14.0			1.0	0.0					0.0	2.0	1.0	1.0
user99	1982	1.0	0.0			1.0	2.0			1.0	10.0							0.0	2.0				
user100	1979	1.0	0.0			0.0	1.0																
user101	1984	0.0	3.0	0.0	2.0	0.0	9.0			0.0	47.0							0.0	6.0	0.0	1.0	0.0	5.0
user102	1980	0.0	1.0	0.0	1.0	0.0	1.0			3.0	9.0			1.0	0.0			0.0	1.0	0.0	2.0		
user103	1986	1.0	1.0	2.0	2.0	0.0	20.0	0.0	7.0	4.0	74.0					2.0	0.0	0.0	5.0	1.0	6.0	0.0	2.0
user104	1983	1.0	0.0	1.0	0.0	1.0	6.0	0.0	2.0	4.0	0.0							0.0	2.0	0.0	3.0	0.0	6.0
user105	1991	0.0	1.0	0.0	4.0	0.0	18.0	0.0	6.0	16.0	50.0	2.0	0.0	3.0	0.0	1.0	0.0	0.0	4.0	0.0	9.0	0.0	7.0
user106	1982	0.0	1.0			1.0	3.0			0.0	5.0			1.0	0.0					0.0	1.0		
user107	1988	0.0	1.0			0.0	1.0			0.0	6.0							0.0	1.0	0.0	1.0	0.0	1.0
user108	1985	0.0	1.0	2.0	2.0	1.0	19.0	1.0	6.0	5.0	55.0			2.0	0.0			0.0	10.0	0.0	2.0	0.0	1.0
user109	1979	0.0	3.0	1.0	2.0	3.0	28.0	0.0	9.0	44.0	85.0	1.0	0.0	1.0	1.0	1.0	0.0	2.0	22.0	0.0	4.0	1.0	6.0
user110	1988	0.0	1.0					0.0	1.0	0.0	6.0												
user111	1987	0.0	2.0	2.0	9.0	0.0	26.0	0.0	3.0	1.0	37.0							0.0	6.0	0.0	6.0	0.0	6.0
user112	1984	0.0	1.0	0.0	1.0	0.0	6.0	0.0	1.0	10.0	8.0	1.0	0.0	4.0	0.0			0.0	3.0			0.0	5.0
user113	1982	2.0	0.0			0.0	2.0	2.0	3.0	80.0	5.0							0.0	7.0	0.0	2.0	1.0	0.0
user114	1980	0.0	2.0			0.0	4.0			9.0	9.0	1.0	0.0			2.0	0.0						
user115	1980	0.0	16.0	1.0	17.0	1.0	42.0	0.0	1.0	48.0	75.0	1.0	0.0	3.0	0.0	1.0	0.0	0.0	26.0	0.0	14.0	0.0	29.0
user116	1977	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	2.0	13.0												
user117	1973	0.0	1.0	0.0	3.0	0.0	31.0	1.0	11.0	31.0	79.0	0.0	1.0	0.0	1.0			1.0	35.0	0.0	14.0	0.0	12.0
user118	1979	0.0	1.0			0.0	1.0	1.0	0.0	0.0	4.0												
user119	1981	0.0	1.0			0.0	3.0	0.0	1.0	4.0	5.0							0.0	2.0	0.0	1.0	1.0	1.0
user120	1983	0.0	2.0	0.0	1.0	1.0	16.0	0.0	1.0	3.0	37.0	1.0	0.0	2.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	3.0
user121	1978	0.0	9.0	0.0	2.0	0.0	11.0	0.0	3.0	12.0	52.0	1.0	1.0					0.0	10.0	0.0	3.0	0.0	1.0
user122	1987	0.0	1.0	0.0	1.0	0.0	16.0	0.0	1.0	12.0	22.0			2.0	0.0			0.0	8.0	0.0	1.0		
user123	1967	0.0	1.0			0.0	8.0			5.0	0.0							0.0	4.0	0.0	1.0		
user124	1989	1.0	0.0	0.0	1.0	0.0	4.0	0.0	3.0	6.0	4.0			1.0	0.0					0.0	1.0	0.0	1.0
user125	1981	0.0	1.0	0.0	1.0	0.0	17.0			4.0	22.0			1.0	0.0			0.0	2.0	0.0	9.0	1.0	1.0
user126	1984	0.0	1.0																	0.0	1.0		
user127	1983	1.0	0.0			0.0	2.0			0.0	15.0												
user128	1984	0.0	1.0	1.0	3.0	0.0	13.0	1.0	0.0	9.0	38.0	1.0	0.0			5.0	1.0	0.0	1.0	0.0	4.0	0.0	1.0
user129	1984	0.0	1.0	0.0	2.0	0.0	4.0			0.0	7.0									0.0	4.0		
user130	1984	0.0	2.0	1.0	6.0	2.0	25.0	0.0	2.0	16.0	49.0			1.0	0.0			0.0	11.0	1.0	5.0	0.0	4.0
user131	1982	0.0	1.0	1.0	2.0	0.0	2.0	0.0	1.0	0.0	9.0							0.0	1.0			1.0	1.0
user132	1976	0.0	1.0	0.0	1.0	0.0	30.0	0.0	1.0	4.0	74.0			1.0	0.0	2.0	0.0	0.0	19.0	0.0	4.0	1.0	1.0
user133	1984	1.0	0.0			1.0	1.0			1.0	1.0									0.0	1.0		
user134	1985	0.0	1.0			0.0	1.0			0.0	1.0												
user135	1985	0.0	1.0	0.0	1.0	0.0	5.0	0.0	1.0	2.0	10.0							0.0	3.0	0.0	3.0	0.0	7.0
user136	1987	0.0	1.0	5.0	0.0	0.0	26.0	0.0	4.0	33.0	100.0			3.0	0.0	4.0	0.0	1.0	12.0	0.0	6.0	1.0	3.0
user137	1951	0.0	1.0	35.0	22.0	0.0	143.0	6.0	26.0	66.0	102.0	15.0	2.0	28.0	0.0	27.0	1.0	0.0	50.0	0.0	13.0	3.0	50.0
user138	1989	1.0	0.0	0.0	1.0	0.0	21.0	1.0	1.0	0.0	16.0							0.0	4.0	1.0	2.0	0.0	9.0
user139	1986	1.0	0.0	3.0	1.0	0.0	17.0			10.0	23.0			2.0	0.0			0.0	6.0	0.0	3.0	2.0	8.0
user140	1986	1.0	1.0	1.0	0.0	0.0	4.0			1.0	18.0							0.0	2.0			0.0	2.0
user141	1982	0.0	1.0			7.0	8.0	0.0	1.0	37.0	6.0					1.0	0.0	0.0	2.0			1.0	2.0
user142	1969	1.0	0.0	1.0	0.0	1.0	20.0	0.0	3.0	30.0	0.0			1.0	0.0			0.0	4.0	2.0	1.0	3.0	5.0
user143	1984	0.0	1.0							0.0	6.0												
user144	1981	1.0	0.0	5.0	2.0	5.0	14.0			52.0	22.0			2.0	0.0			3.0	15.0	11.0	7.0	2.0	2.0
user145	1986	1.0	0.0					0.0	1.0	0.0	5.0												
user146	1980	0.0	1.0	3.0	2.0	2.0	37.0	0.0	3.0	23.0	15.0			1.0	0.0	6.0	0.0	1.0	1.0	0.0	9.0	7.0	3.0
user147	1989	0.0	1.0			0.0	2.0			13.0	1.0			1.0	0.0			0.0	1.0	0.0	1.0		
user148	1981	1.0	0.0					1.0	0.0													1.0	0.0
user149	1979	0.0	2.0	1.0	3.0	0.0	13.0	1.0	6.0	0.0	111.0			1.0	0.0			0.0	2.0	0.0	6.0	1.0	7.0
user150	1981	0.0	1.0	0.0	1.0	0.0	4.0			0.0	13.0							0.0	2.0	0.0	2.0	0.0	1.0
user151	1982	0.0	2.0	1.0	1.0	0.0	12.0			11.0	1.0			3.0	0.0			1.0	1.0	0.0	8.0	3.0	1.0
user152	1988	1.0	0.0	2.0	3.0	0.0	27.0	0.0	2.0	23.0	126.0							2.0	30.0	0.0	4.0	2.0	3.0
user153	1983	0.0	1.0			0.0	5.0			3.0	9.0												
user154	1987	0.0	2.0			0.0	11.0	0.0	1.0	3.0	24.0							0.0	7.0	0.0	1.0	0.0	4.0
user155	1989	1.0	0.0			0.0	3.0	1.0	0.0	15.0	3.0							0.0	1.0	0.0	2.0	0.0	3.0
user156	1981	4.0	0.0	0.0	1.0	0.0	8.0	1.0	2.0	3.0	33.0							0.0	13.0	0.0	1.0	1.0	1.0
user157	1981	0.0	1.0	2.0	0.0	0.0	3.0			2.0	4.0			1.0	0.0			0.0	1.0			0.0	1.0
user158	1981	0.0	1.0	1.0	1.0	1.0	5.0			6.0	2.0			1.0	0.0					0.0	1.0	1.0	0.0
user159	1977	0.0	1.0	0.0	1.0	0.0	13.0	0.0	1.0	2.0	11.0			1.0	0.0	1.0	0.0	0.0	3.0	0.0	2.0	0.0	1.0
user160	1974	0.0	1.0	1.0	0.0	0.0	4.0	0.0	1.0	5.0	34.0	1.0	0.0									0.0	3.0
user161	1974	0.0	1.0			0.0	9.0	1.0	3.0	0.0	27.0							0.0	3.0	0.0	1.0		
user162	1983	0.0	1.0			0.0	3.0			0.0	8.0									0.0	1.0		
user163	1982	1.0	0.0	2.0	0.0	0.0	2.0																
user164	1979	0.0	1.0	0.0	2.0	0.0	10.0	0.0	1.0	22.0	54.0							0.0	5.0	0.0	3.0	0.0	1.0
user165	1985	1.0	0.0	0.0	1.0	0.0	11.0	0.0	1.0	12.0	3.0	1.0	0.0					0.0	1.0				
user166	1975	0.0	6.0	18.0	64.0	1.0	203.0	1.0	3.0	817.0	11.0	4.0	1.0	18.0	0.0	101.0	0.0	0.0	223.0	1.0	42.0	1.0	74.0
user167	1979	0.0	1.0	3.0	3.0	1.0	60.0			100.0	25.0	1.0	0.0			1.0	0.0	0.0	4.0	0.0	3.0	4.0	6.0
user168	1989	0.0	1.0	1.0	0.0	1.0	19.0	0.0	1.0	28.0	23.0							0.0	9.0	0.0	2.0	0.0	2.0
user169	1974	0.0	3.0	1.0	9.0	1.0	49.0	2.0	1.0	51.0	82.0	1.0	0.0	1.0	0.0	12.0	1.0	0.0	24.0	1.0	19.0	1.0	6.0
user170	1984	0.0	1.0	0.0	1.0	0.0	20.0	0.0	1.0	2.0	70.0	1.0	0.0					0.0	10.0	0.0	4.0	1.0	10.0
user171	1983	0.0	2.0	1.0	0.0	1.0	10.0	0.0	1.0	1.0	29.0							0.0	7.0			0.0	1.0
user172	1982	1.0	0.0	0.0	1.0	0.0	6.0			2.0	11.0							0.0	2.0	0.0	2.0		
user173	1977	0.0	2.0			0.0	7.0	0.0	1.0	1.0	9.0			1.0	0.0			0.0	1.0	0.0	1.0	2.0	0.0
user174	1980	0.0	1.0	1.0	3.0	0.0	18.0	0.0	4.0	8.0	12.0							0.0	11.0	1.0	16.0	2.0	4.0
user175	1978	0.0	1.0	1.0	3.0	0.0	14.0	0.0	1.0	5.0	18.0			1.0	0.0			0.0	8.0	0.0	2.0	0.0	2.0
user176	1990	0.0	3.0	25.0	32.0	5.0	111.0	0.0	10.0	126.0	558.0	1.0	0.0	4.0	0.0	5.0	1.0	1.0	52.0	1.0	19.0	7.0	16.0
user177	1987	0.0	1.0	1.0	10.0	0.0	69.0	1.0	0.0	7.0	81.0			4.0	0.0	4.0	3.0	0.0	8.0	0.0	10.0	0.0	7.0
user178	1964	0.0	1.0	1.0	2.0	1.0	48.0	1.0	0.0	63.0	2.0			2.0	0.0	1.0	0.0	0.0	3.0	0.0	3.0	0.0	2.0
user179	1977	0.0	1.0	3.0	1.0	0.0	11.0	0.0	2.0	11.0	39.0			2.0	0.0			0.0	3.0			2.0	1.0
user180	1960	0.0	1.0	8.0	0.0	1.0	43.0	0.0	3.0	155.0	4.0			1.0	1.0	0.0	1.0	0.0	19.0	0.0	7.0	2.0	5.0
user181	1982	0.0	1.0			0.0	1.0	0.0	2.0	16.0	30.0	1.0	0.0					0.0	1.0	0.0	2.0	0.0	2.0
user182	1989	0.0	3.0	0.0	4.0	0.0	19.0	0.0	3.0	5.0	43.0			1.0	0.0			0.0	15.0	0.0	5.0	1.0	3.0
user183	1982	0.0	1.0	0.0	1.0	0.0	8.0	0.0	3.0	15.0	1.0	1.0	0.0					0.0	3.0	0.0	3.0	1.0	6.0
user184	1984	0.0	2.0			0.0	6.0	0.0	2.0	11.0	9.0	0.0	1.0	0.0	1.0			0.0	4.0	0.0	3.0	0.0	2.0
user185	1981	0.0	2.0			0.0	1.0	0.0	1.0	1.0	9.0							0.0	1.0	0.0	3.0	0.0	5.0
user186	1978	0.0	1.0	0.0	1.0	0.0	1.0			0.0	6.0												
user187	1982	0.0	1.0	3.0	0.0	0.0	21.0	0.0	2.0	54.0	2.0							0.0	12.0	0.0	5.0	0.0	5.0
user188	1983	0.0	1.0			2.0	7.0			34.0	1.0	1.0	0.0					0.0	1.0	0.0	1.0		
user189	1979	0.0	2.0	3.0	1.0	0.0	26.0			110.0	7.0	1.0	1.0					0.0	19.0	0.0	12.0	0.0	4.0
user190	1981	0.0	5.0			0.0	5.0	0.0	2.0	34.0	3.0			2.0	0.0	2.0	0.0			0.0	1.0	0.0	1.0
user191	1981	0.0	2.0	4.0	3.0	0.0	5.0	0.0	3.0	10.0	13.0							0.0	1.0	0.0	2.0	1.0	4.0
user192	1984	0.0	8.0	0.0	4.0	0.0	35.0	0.0	1.0	70.0	12.0	6.0	0.0	2.0	0.0	1.0	0.0	0.0	20.0	0.0	2.0	1.0	9.0
user193	1979	1.0	1.0	1.0	5.0	0.0	53.0	1.0	6.0	1.0	59.0	1.0	0.0	2.0	0.0			0.0	13.0	0.0	4.0	1.0	7.0
user194	1986	0.0	1.0			2.0	45.0			22.0	125.0					1.0	0.0	0.0	5.0	0.0	2.0		
user195	1987	0.0	1.0	0.0	4.0	1.0	12.0	0.0	6.0	4.0	63.0			0.0	1.0			0.0	16.0	0.0	2.0	0.0	8.0
user196	1977	0.0	3.0	1.0	0.0	0.0	11.0			3.0	31.0	1.0	0.0	1.0	0.0			0.0	8.0	0.0	2.0	0.0	2.0
user197	1984	1.0	0.0			0.0	1.0			0.0	1.0			1.0	0.0								
user198	1974	0.0	1.0	0.0	3.0	4.0	35.0	0.0	9.0	23.0	0.0					1.0	0.0	0.0	4.0	0.0	8.0	1.0	5.0
user199	1967	1.0	0.0			0.0	27.0	1.0	21.0	45.0	127.0	3.0	0.0	1.0	0.0			0.0	4.0	0.0	6.0	2.0	4.0
user200	1987	1.0	2.0	3.0	1.0	1.0	45.0	1.0	4.0	98.0	14.0	3.0	1.0					1.0	17.0	2.0	4.0	3.0	5.0
user201	1977	0.0	1.0			4.0	14.0	1.0	2.0	51.0	8.0							2.0	5.0	0.0	5.0	0.0	2.0
user202	1981	0.0	7.0	7.0	0.0	1.0	18.0	0.0	1.0	103.0	3.0	1.0	0.0					0.0	4.0	0.0	1.0	3.0	0.0
user203	1978	0.0	3.0	0.0	1.0	0.0	37.0			68.0	0.0	2.0	1.0					0.0	9.0	0.0	3.0		
user204	1968	1.0	0.0	0.0	1.0	0.0	19.0	0.0	5.0	54.0	84.0							0.0	8.0	0.0	5.0	3.0	0.0
user205	1981	0.0	1.0	0.0	3.0	7.0	20.0	0.0	3.0	30.0	25.0					2.0	0.0	0.0	11.0	0.0	1.0	0.0	3.0
