speaker	yob	behagav1	behagav2	fortsättav1	fortsättav2	försökav1	försökav2	glömmav1	glömmav2	kommav1	kommav2	lovav1	lovav2	planerav1	planerav2	riskerav1	riskerav2	slippav1	slippav2	slutav1	slutav2	vägrav1	vägrav2
user1080	1979			3.0	0.0	0.0	7.0	1.0	2.0	36.0	25.0			1.0	0.0	2.0	0.0	0.0	3.0	2.0	6.0		
user1081	1987			0.0	3.0	0.0	37.0	1.0	12.0	2.0	107.0			4.0	0.0			0.0	4.0	0.0	20.0	0.0	14.0
user1082	1982			3.0	0.0					0.0	1.0							0.0	1.0				
user1083	1981			1.0	3.0	0.0	20.0			0.0	28.0	0.0	1.0					0.0	4.0	0.0	1.0	0.0	3.0
user1084	1988			0.0	1.0	1.0	2.0			2.0	37.0	1.0	0.0					0.0	1.0	0.0	4.0	0.0	3.0
user1085	1979			0.0	1.0					0.0	7.0					0.0	1.0	0.0	1.0	0.0	1.0	0.0	2.0
user1086	1977			0.0	1.0					0.0	2.0												
user1087	1989			1.0	1.0	0.0	19.0	3.0	6.0	17.0	41.0							3.0	7.0	2.0	8.0	2.0	4.0
user1088	1989			1.0	0.0	1.0	11.0	0.0	2.0	4.0	23.0			3.0	0.0			0.0	8.0	0.0	1.0	0.0	3.0
user1089	1980			2.0	1.0	0.0	22.0	5.0	2.0	12.0	102.0			2.0	0.0			0.0	6.0	1.0	11.0	0.0	5.0
user1090	1977			0.0	1.0	0.0	1.0			1.0	9.0									0.0	1.0		
user1091	1984			1.0	0.0	0.0	1.0			4.0	0.0									0.0	3.0	0.0	3.0
user1092	1982			0.0	1.0	0.0	5.0	0.0	1.0	0.0	11.0							0.0	2.0	0.0	2.0	0.0	1.0
user1093	1982			0.0	2.0					0.0	5.0											0.0	1.0
user1094	1980			0.0	1.0	0.0	2.0			1.0	0.0							0.0	2.0				
user1095	1982			0.0	1.0	0.0	4.0	0.0	2.0	2.0	19.0							0.0	6.0	0.0	3.0		
user1096	1988			0.0	2.0	1.0	2.0	1.0	0.0	2.0	31.0							0.0	2.0	0.0	3.0	0.0	1.0
user1097	1969			1.0	0.0	0.0	1.0	1.0	0.0	7.0	4.0												
user1098	1982			0.0	1.0	0.0	16.0			1.0	65.0							0.0	6.0	0.0	3.0	0.0	4.0
user1099	1984			0.0	2.0	0.0	6.0			11.0	15.0			1.0	0.0			0.0	2.0	0.0	4.0		
user1100	1981			1.0	0.0	0.0	1.0			2.0	0.0	1.0	0.0										
user1101	1976			1.0	1.0	0.0	3.0	0.0	1.0	7.0	3.0							0.0	1.0				
user1102	1966			0.0	1.0	0.0	5.0			2.0	6.0												
user1103	1990			0.0	1.0	0.0	1.0	0.0	4.0	0.0	5.0											0.0	1.0
user1104	1979			0.0	1.0	0.0	4.0	0.0	4.0	5.0	0.0			1.0	0.0			0.0	1.0				
user1105	1984			3.0	2.0	5.0	14.0	1.0	6.0	7.0	31.0					2.0	0.0	0.0	2.0	0.0	2.0	2.0	2.0
user1106	1989			0.0	1.0	0.0	1.0			0.0	14.0							0.0	5.0	0.0	1.0	0.0	2.0
user1107	1978			0.0	1.0	0.0	6.0	0.0	3.0	1.0	8.0							0.0	1.0	0.0	1.0	0.0	3.0
user1108	1986			0.0	1.0	0.0	2.0			4.0	1.0							0.0	2.0				
user1109	1983			1.0	0.0					0.0	3.0												
user1110	1983			0.0	1.0	0.0	3.0			4.0	5.0							0.0	3.0			0.0	1.0
user1111	1985			0.0	1.0	0.0	10.0	0.0	10.0	2.0	125.0							0.0	2.0	0.0	5.0		
user1112	1983			0.0	1.0					0.0	2.0							0.0	1.0				
user1113	1984			0.0	4.0	0.0	11.0			0.0	18.0	1.0	0.0	1.0	0.0			0.0	6.0	0.0	1.0	0.0	5.0
user1114	1980			0.0	1.0	0.0	6.0			3.0	25.0									0.0	1.0		
user1115	1969			1.0	0.0	0.0	3.0	0.0	1.0	7.0	3.0							0.0	1.0	0.0	2.0		
user1116	1980			1.0	0.0					4.0	4.0					2.0	0.0			1.0	0.0		
user1117	1984			0.0	1.0	0.0	6.0	1.0	2.0	3.0	25.0							0.0	4.0	0.0	1.0		
user1118	1978			0.0	1.0			0.0	1.0	0.0	11.0									0.0	1.0		
user1119	1973			2.0	0.0	0.0	1.0			0.0	7.0							0.0	1.0				
user1120	1978			1.0	2.0	0.0	21.0	0.0	3.0	10.0	120.0	0.0	1.0	1.0	0.0			0.0	6.0	0.0	1.0	0.0	5.0
user1121	1982			0.0	1.0	1.0	3.0	0.0	4.0	0.0	1.0							0.0	1.0				
user1122	1975			1.0	0.0	0.0	1.0	1.0	0.0	0.0	2.0												
user1123	1981			1.0	8.0	0.0	42.0	1.0	8.0	13.0	181.0			1.0	0.0	4.0	0.0	1.0	23.0	0.0	13.0	2.0	4.0
user1124	1972			0.0	1.0	0.0	7.0	0.0	3.0	0.0	21.0											0.0	1.0
