period	username	yob	agebin	total	v1abs	v2abs	v1rel	v2rel
	Sylten	1978		16.0	0.0	16.0	0.0	1.0
	God cares	1986		25.0	0.0	25.0	0.0	1.0
	soff82	1983		14.0	1.0	13.0	0.07142857142857142	0.9285714285714286
	Erase	1973		10.0	0.0	10.0	0.0	1.0
	sleeping angel	1984		53.0	9.0	44.0	0.16981132075471697	0.8301886792452831
	CuteElliz	1988		41.0	3.0	38.0	0.07317073170731707	0.926829268292683
	Seven Costanza	1984		27.0	0.0	27.0	0.0	1.0
	Hercule	1971		25.0	0.0	25.0	0.0	1.0
	EmmaOh	1980		15.0	1.0	14.0	0.06666666666666667	0.9333333333333333
	zuzzan	1984		10.0	1.0	9.0	0.1	0.9
	Vintersol80	1981		32.0	5.0	27.0	0.15625	0.84375
	ingra	1975		16.0	0.0	16.0	0.0	1.0
	Irma01	1978		29.0	0.0	29.0	0.0	1.0
	Pallas	1974		117.0	3.0	114.0	0.02564102564102564	0.9743589743589743
	LeaveMeAlone	1984		41.0	3.0	38.0	0.07317073170731707	0.926829268292683
	bigmomma	1978		13.0	2.0	11.0	0.15384615384615385	0.8461538461538461
	underverket 06	1971		65.0	2.0	63.0	0.03076923076923077	0.9692307692307692
	Guavasylt	1976		10.0	0.0	10.0	0.0	1.0
	Flamma	1984		22.0	0.0	22.0	0.0	1.0
	Liten måne	1984		27.0	2.0	25.0	0.07407407407407407	0.9259259259259259
	Aaglars	1971		15.0	0.0	15.0	0.0	1.0
	Legewiel	1985		17.0	0.0	17.0	0.0	1.0
	idiblon	1982		81.0	0.0	81.0	0.0	1.0
	mithrandil	1983		111.0	5.0	106.0	0.04504504504504504	0.954954954954955
	guldplutt	1971		88.0	4.0	84.0	0.045454545454545456	0.9545454545454546
	fenja	1973		21.0	0.0	21.0	0.0	1.0
	Mare pacificum	1977		26.0	0.0	26.0	0.0	1.0
	Erika Ö	1989		22.0	0.0	22.0	0.0	1.0
	MymlanMy	1968		14.0	2.0	12.0	0.14285714285714285	0.8571428571428571
	LHUF	1980		69.0	0.0	69.0	0.0	1.0
	Dilong	1963		31.0	0.0	31.0	0.0	1.0
	Atamon	1972		27.0	2.0	25.0	0.07407407407407407	0.9259259259259259
	faster	1964		15.0	0.0	15.0	0.0	1.0
	Daimis	1977		20.0	0.0	20.0	0.0	1.0
	abuelita	1951		143.0	0.0	143.0	0.0	1.0
	lingonben	1952		14.0	1.0	13.0	0.07142857142857142	0.9285714285714286
	janniahlholm	1991		18.0	0.0	18.0	0.0	1.0
	Caeruleus	1979		26.0	0.0	26.0	0.0	1.0
	Skruttis1979	1979		31.0	3.0	28.0	0.0967741935483871	0.9032258064516129
	pyjamastrollet	1986		14.0	0.0	14.0	0.0	1.0
	Geshia	1981		19.0	0.0	19.0	0.0	1.0
	Dakine	1988		24.0	1.0	23.0	0.041666666666666664	0.9583333333333334
	Mornie Alantie	1987		23.0	0.0	23.0	0.0	1.0
	linas fina	1984		10.0	0.0	10.0	0.0	1.0
	Lily38	1974		10.0	0.0	10.0	0.0	1.0
	fatooooosh	1985		10.0	3.0	7.0	0.3	0.7
	Lallamen	1971		14.0	0.0	14.0	0.0	1.0
	Rundabullar	1980		20.0	1.0	19.0	0.05	0.95
	EmsanPemsan	1987		12.0	0.0	12.0	0.0	1.0
	Smilla0608	1981		10.0	0.0	10.0	0.0	1.0
	Turran	1976		26.0	5.0	21.0	0.19230769230769232	0.8076923076923077
	juzze	1984		23.0	3.0	20.0	0.13043478260869565	0.8695652173913043
	Buggster	1989		42.0	2.0	40.0	0.047619047619047616	0.9523809523809523
	Doktorn	1972		31.0	1.0	30.0	0.03225806451612903	0.967741935483871
	Digestive	1982		18.0	0.0	18.0	0.0	1.0
	Jamieolivia	1983		13.0	6.0	7.0	0.46153846153846156	0.5384615384615384
	hemljuvahem	1986		19.0	2.0	17.0	0.10526315789473684	0.8947368421052632
	stardream	1981		25.0	4.0	21.0	0.16	0.84
	Ablan	1986		40.0	10.0	30.0	0.25	0.75
	Harling1985	1986		32.0	0.0	32.0	0.0	1.0
	Lioness	1977		12.0	0.0	12.0	0.0	1.0
	Tonci	1986		12.0	0.0	12.0	0.0	1.0
	CoolJen	1980		16.0	1.0	15.0	0.0625	0.9375
	MajaMaria79	1980		26.0	5.0	21.0	0.19230769230769232	0.8076923076923077
	Alisa	1981		55.0	0.0	55.0	0.0	1.0
	Ronjah	1987		12.0	1.0	11.0	0.08333333333333333	0.9166666666666666
	Juni 06	1982		20.0	0.0	20.0	0.0	1.0
	Habbi	1991		10.0	0.0	10.0	0.0	1.0
	Sedek	1977		46.0	0.0	46.0	0.0	1.0
	Bina86	1987		19.0	2.0	17.0	0.10526315789473684	0.8947368421052632
	Houdini	1966		11.0	0.0	11.0	0.0	1.0
	Södermalmsbönan	1982		10.0	0.0	10.0	0.0	1.0
	ModestyB	1982		34.0	1.0	33.0	0.029411764705882353	0.9705882352941176
	giftgrodan	1980		24.0	3.0	21.0	0.125	0.875
	Honey Boo	1984		15.0	0.0	15.0	0.0	1.0
	Tottelina	1985		22.0	0.0	22.0	0.0	1.0
	doriah	1980		14.0	1.0	13.0	0.07142857142857142	0.9285714285714286
	camave	1979		13.0	0.0	13.0	0.0	1.0
	TessaS	1974		50.0	1.0	49.0	0.02	0.98
	Rastafairy	1987		46.0	1.0	45.0	0.021739130434782608	0.9782608695652174
	Mamman88	1989		12.0	0.0	12.0	0.0	1.0
	gmt	1987		18.0	11.0	7.0	0.6111111111111112	0.3888888888888889
	Lina86	1987		18.0	0.0	18.0	0.0	1.0
	NorrVimpel	1973		15.0	0.0	15.0	0.0	1.0
	pluvdo	1987		69.0	0.0	69.0	0.0	1.0
	Jordgubbssmak	1968		22.0	0.0	22.0	0.0	1.0
	Wednesday85	1986		19.0	0.0	19.0	0.0	1.0
	Krake	1961		22.0	0.0	22.0	0.0	1.0
	ThereseK	1981		15.0	0.0	15.0	0.0	1.0
	Kärnan	1979		12.0	0.0	12.0	0.0	1.0
	Livshlädje	1974		38.0	1.0	37.0	0.02631578947368421	0.9736842105263158
	Kickiliisa	1978		14.0	0.0	14.0	0.0	1.0
	Winglur	1989		64.0	0.0	64.0	0.0	1.0
	Fröken Juni	1974		20.0	0.0	20.0	0.0	1.0
	Azusephre	1988		14.0	0.0	14.0	0.0	1.0
	Fiamedbarn	1971		43.0	2.0	41.0	0.046511627906976744	0.9534883720930233
	astro	1978		41.0	0.0	41.0	0.0	1.0
	Xay1de	1982		78.0	0.0	78.0	0.0	1.0
	Mopsan	1987		109.0	7.0	102.0	0.06422018348623854	0.9357798165137615
	Insatt	1982		14.0	0.0	14.0	0.0	1.0
	FVA	1981		41.0	0.0	41.0	0.0	1.0
	car	1975		64.0	0.0	64.0	0.0	1.0
	Solglimtar	1988		13.0	1.0	12.0	0.07692307692307693	0.9230769230769231
	Amy1983	1984		13.0	0.0	13.0	0.0	1.0
	så mycket bättre	1987		14.0	3.0	11.0	0.21428571428571427	0.7857142857142857
	BasseKatt	1975		35.0	1.0	34.0	0.02857142857142857	0.9714285714285714
	MuM2girls	1987		31.0	1.0	30.0	0.03225806451612903	0.967741935483871
	Maddisen80	1981		241.0	6.0	235.0	0.024896265560165973	0.975103734439834
	Lillatroll	1974		77.0	1.0	76.0	0.012987012987012988	0.987012987012987
	de Robespierre	1963		28.0	0.0	28.0	0.0	1.0
	Tant Groda	1983		30.0	1.0	29.0	0.03333333333333333	0.9666666666666667
	Smuliz	1982		31.0	1.0	30.0	0.03225806451612903	0.967741935483871
	allakantralla	1976		72.0	0.0	72.0	0.0	1.0
	upyours	1981		21.0	0.0	21.0	0.0	1.0
	Obsessed Feelings	1986		10.0	3.0	7.0	0.3	0.7
	Mumsi	1980		19.0	0.0	19.0	0.0	1.0
	mariaheterjag	1982		76.0	1.0	75.0	0.013157894736842105	0.9868421052631579
	2babiesmom	1983		19.0	0.0	19.0	0.0	1.0
	Saltlakrits	1984		20.0	0.0	20.0	0.0	1.0
	inga76	1977		26.0	4.0	22.0	0.15384615384615385	0.8461538461538461
	BabyJia	1985		10.0	0.0	10.0	0.0	1.0
	Corpset	1982		17.0	0.0	17.0	0.0	1.0
	högbergarna	1979		94.0	1.0	93.0	0.010638297872340425	0.9893617021276596
	flisan16	1980		16.0	0.0	16.0	0.0	1.0
	majlinsa	1988		14.0	0.0	14.0	0.0	1.0
	passau	1977		30.0	0.0	30.0	0.0	1.0
	Emmel	1973		81.0	1.0	80.0	0.012345679012345678	0.9876543209876543
	Cecilia80	1981		13.0	1.0	12.0	0.07692307692307693	0.9230769230769231
	Lorelei	1978		36.0	4.0	32.0	0.1111111111111111	0.8888888888888888
	Puman78	1979		10.0	0.0	10.0	0.0	1.0
	hot fuss	1980		16.0	0.0	16.0	0.0	1.0
	Tigra79	1980		61.0	1.0	60.0	0.01639344262295082	0.9836065573770492
	margarita	1957		14.0	1.0	13.0	0.07142857142857142	0.9285714285714286
	Mikah	1979		15.0	0.0	15.0	0.0	1.0
	KickanAnnika	1975		10.0	1.0	9.0	0.1	0.9
	Pudan	1968		11.0	0.0	11.0	0.0	1.0
	Mary Wollstonecraft	1978		21.0	0.0	21.0	0.0	1.0
	livet leker	1990		18.0	0.0	18.0	0.0	1.0
	Hillbillie	1964		49.0	1.0	48.0	0.02040816326530612	0.9795918367346939
	Sandra Forslund	1984		23.0	1.0	22.0	0.043478260869565216	0.9565217391304348
	skorpiona	1981		42.0	0.0	42.0	0.0	1.0
	lillpuckot	1984		11.0	1.0	10.0	0.09090909090909091	0.9090909090909091
	Aniko	1976		31.0	1.0	30.0	0.03225806451612903	0.967741935483871
	Llimen	1987		26.0	3.0	23.0	0.11538461538461539	0.8846153846153846
	Känslan	1982		13.0	0.0	13.0	0.0	1.0
	versus	1987		46.0	1.0	45.0	0.021739130434782608	0.9782608695652174
	Empo	1985		12.0	0.0	12.0	0.0	1.0
	Anna Lisa	1979		21.0	1.0	20.0	0.047619047619047616	0.9523809523809523
	Floff	1983		53.0	2.0	51.0	0.03773584905660377	0.9622641509433962
	Norpan81	1982		10.0	1.0	9.0	0.1	0.9
	Väntarochlängtar	1971		11.0	2.0	9.0	0.18181818181818182	0.8181818181818182
	Labbematte	1975		18.0	0.0	18.0	0.0	1.0
	Immer	1961		10.0	0.0	10.0	0.0	1.0
	vivi85	1986		18.0	0.0	18.0	0.0	1.0
