period	username	yob	agebin	total	v1abs	v2abs	v1rel	v2rel	agebin2
	Jennie med ie	1976	3	23.0	2.0	21.0	0.08695652173913043	0.9130434782608695	6
	hymafr	1965	2	11.0	5.0	6.0	0.45454545454545453	0.5454545454545454	4
	LaFontaine	1985	4	14.0	2.0	12.0	0.14285714285714285	0.8571428571428571	8
	Atamon	1972	2	13.0	3.0	10.0	0.23076923076923078	0.7692307692307693	5
	Butterscotch	1975	3	20.0	11.0	9.0	0.55	0.45	6
	CeeJay	1973	3	22.0	16.0	6.0	0.7272727272727273	0.2727272727272727	6
	idiblon	1982	3	21.0	0.0	21.0	0.0	1.0	7
	Loris	1988	4	20.0	7.0	13.0	0.35	0.65	9
	Joje	1975	3	29.0	18.0	11.0	0.6206896551724138	0.3793103448275862	6
	Lavish	1986	4	17.0	17.0	0.0	1.0	0.0	8
	Miss Cee	1981	3	17.0	12.0	5.0	0.7058823529411765	0.29411764705882354	7
	RiNan	1984	4	11.0	4.0	7.0	0.36363636363636365	0.6363636363636364	8
	lokisse	1961	1	19.0	15.0	4.0	0.7894736842105263	0.21052631578947367	3
	Floff	1983	4	10.0	4.0	6.0	0.4	0.6	8
	Pallas	1974	3	25.0	0.0	25.0	0.0	1.0	6
	hejsvej	1983	4	15.0	4.0	11.0	0.26666666666666666	0.7333333333333333	8
	hundpuss	1988	4	10.0	3.0	7.0	0.3	0.7	9
	Mopsan	1987	4	13.0	9.0	4.0	0.6923076923076923	0.3076923076923077	8
	Dorian Ertymexx	1973	3	42.0	26.0	16.0	0.6190476190476191	0.38095238095238093	6
	Gojtan	1976	3	15.0	2.0	13.0	0.13333333333333333	0.8666666666666667	6
	abuelita	1951	1	57.0	35.0	22.0	0.6140350877192983	0.38596491228070173	1
	JAG är BÄST	1973	3	12.0	2.0	10.0	0.16666666666666666	0.8333333333333334	6
	allakantralla	1976	3	11.0	2.0	9.0	0.18181818181818182	0.8181818181818182	6
	Gladabarnensmamma	1983	4	19.0	13.0	6.0	0.6842105263157895	0.3157894736842105	8
	Chaktio	1977	3	14.0	7.0	7.0	0.5	0.5	6
	pluvdo	1987	4	11.0	1.0	10.0	0.09090909090909091	0.9090909090909091	8
	mamita64	1965	2	18.0	7.0	11.0	0.3888888888888889	0.6111111111111112	4
