period	username	yob	agebin	total	v1abs	v2abs	v1rel	v2rel	agebin2
	JAG är BÄST	1973	3	29.0	1.0	28.0	0.034482758620689655	0.9655172413793104	6
	hymafr	1965	2	21.0	7.0	14.0	0.3333333333333333	0.6666666666666666	4
	Jennie med ie	1976	3	17.0	1.0	16.0	0.058823529411764705	0.9411764705882353	6
	Linaek	1964	2	10.0	3.0	7.0	0.3	0.7	4
	Pallas	1974	3	25.0	0.0	25.0	0.0	1.0	6
	mirre67	1968	2	10.0	3.0	7.0	0.3	0.7	5
	WhiteAngels	1980	3	21.0	2.0	19.0	0.09523809523809523	0.9047619047619048	7
	gosmamman	1983	4	11.0	6.0	5.0	0.5454545454545454	0.45454545454545453	8
	StaffenAssar	1983	4	14.0	0.0	14.0	0.0	1.0	8
	lokisse	1961	1	43.0	29.0	14.0	0.6744186046511628	0.32558139534883723	3
	mammasgullar	1990	4	10.0	0.0	10.0	0.0	1.0	9
	Jenny28	1976	3	16.0	1.0	15.0	0.0625	0.9375	6
	Azusephre	1988	4	14.0	0.0	14.0	0.0	1.0	9
	mamita64	1965	2	26.0	4.0	22.0	0.15384615384615385	0.8461538461538461	4
	LaFontaine	1985	4	10.0	0.0	10.0	0.0	1.0	8
	Gladhannapanna	1972	2	24.0	2.0	22.0	0.08333333333333333	0.9166666666666666	5
	Miss Cee	1981	3	49.0	10.0	39.0	0.20408163265306123	0.7959183673469388	7
	Kyanita	1974	3	26.0	3.0	23.0	0.11538461538461539	0.8846153846153846	6
	Zezana	1980	3	13.0	0.0	13.0	0.0	1.0	7
	Astarte	1980	3	12.0	1.0	11.0	0.08333333333333333	0.9166666666666666	7
	Mornie Alantie	1987	4	18.0	0.0	18.0	0.0	1.0	8
	idiblon	1982	3	26.0	0.0	26.0	0.0	1.0	7
	delifi2	1975	3	11.0	1.0	10.0	0.09090909090909091	0.9090909090909091	6
	Dorian Ertymexx	1973	3	132.0	39.0	93.0	0.29545454545454547	0.7045454545454546	6
	Tilcha	1985	4	32.0	1.0	31.0	0.03125	0.96875	8
	musli	1972	2	15.0	0.0	15.0	0.0	1.0	5
	Baronessan	1975	3	16.0	1.0	15.0	0.0625	0.9375	6
	Lorelei	1978	3	32.0	1.0	31.0	0.03125	0.96875	7
	Beckah82	1983	4	48.0	2.0	46.0	0.041666666666666664	0.9583333333333334	8
	Snooze	1981	3	17.0	0.0	17.0	0.0	1.0	7
	högbergarna	1979	3	21.0	2.0	19.0	0.09523809523809523	0.9047619047619048	7
	Calles matte	1979	3	10.0	4.0	6.0	0.4	0.6	7
	skruttis11	1982	3	23.0	1.0	22.0	0.043478260869565216	0.9565217391304348	7
	Fraggelgirl	1981	3	13.0	1.0	12.0	0.07692307692307693	0.9230769230769231	7
	Pyris	1978	3	19.0	3.0	16.0	0.15789473684210525	0.8421052631578947	7
	mirrebusan	1985	4	13.0	9.0	4.0	0.6923076923076923	0.3076923076923077	8
	Winglur	1989	4	20.0	3.0	17.0	0.15	0.85	9
	Miisa	1984	4	11.0	1.0	10.0	0.09090909090909091	0.9090909090909091	8
	Tigra79	1980	3	10.0	5.0	5.0	0.5	0.5	7
