period	username	yob	agebin	total	v1abs	v2abs	v1rel	v2rel	agebin2
	Jennie med ie	1976	3	23.0	2.0	21.0	0.08695652173913043	0.9130434782608695	6
	wilma123	1975	3	1.0	0.0	1.0	0.0	1.0	6
	Emeli	1954	1	6.0	6.0	0.0	1.0	0.0	2
	Tjillevippen	1981	3	7.0	7.0	0.0	1.0	0.0	7
	Helle68	1969	2	3.0	3.0	0.0	1.0	0.0	5
	Linnis	1987	4	1.0	0.0	1.0	0.0	1.0	8
	Ninnie	1980	3	4.0	3.0	1.0	0.75	0.25	7
	Humblebee	1968	2	1.0	1.0	0.0	1.0	0.0	5
	Sally	1974	3	2.0	0.0	2.0	0.0	1.0	6
	Vildrosen	1971	2	1.0	0.0	1.0	0.0	1.0	5
	hymafr	1965	2	11.0	5.0	6.0	0.45454545454545453	0.5454545454545454	4
	Kajsala	1961	1	3.0	1.0	2.0	0.3333333333333333	0.6666666666666666	3
	Liten måne	1984	4	7.0	1.0	6.0	0.14285714285714285	0.8571428571428571	8
	rosenkind	1983	4	4.0	0.0	4.0	0.0	1.0	8
	Rocktroll	1985	4	3.0	0.0	3.0	0.0	1.0	8
	LaFontaine	1985	4	14.0	2.0	12.0	0.14285714285714285	0.8571428571428571	8
	crazy cat lady	1986	4	3.0	1.0	2.0	0.3333333333333333	0.6666666666666666	8
	cii	1986	4	2.0	1.0	1.0	0.5	0.5	8
	TigerLinn	1986	4	3.0	0.0	3.0	0.0	1.0	8
	Anova	1979	3	8.0	6.0	2.0	0.75	0.25	7
	alwilda	1980	3	1.0	1.0	0.0	1.0	0.0	7
	Atamon	1972	2	13.0	3.0	10.0	0.23076923076923078	0.7692307692307693	5
	Butterscotch	1975	3	20.0	11.0	9.0	0.55	0.45	6
	SaraSara	1976	3	3.0	2.0	1.0	0.6666666666666666	0.3333333333333333	6
	CeeJay	1973	3	22.0	16.0	6.0	0.7272727272727273	0.2727272727272727	6
	swiitii	1988	4	7.0	6.0	1.0	0.8571428571428571	0.14285714285714285	9
	Sara K	1986	4	3.0	0.0	3.0	0.0	1.0	8
	Farth Vader	1974	3	3.0	1.0	2.0	0.3333333333333333	0.6666666666666666	6
	EnAnka	1991	4	2.0	1.0	1.0	0.5	0.5	9
	Bubblan84	1971	2	2.0	0.0	2.0	0.0	1.0	5
	Calles matte	1979	3	6.0	3.0	3.0	0.5	0.5	7
	Pepsikatten	1982	3	2.0	1.0	1.0	0.5	0.5	7
	Azusephre	1988	4	4.0	1.0	3.0	0.25	0.75	9
	Tida77	1978	3	3.0	0.0	3.0	0.0	1.0	7
	J1983	1984	4	5.0	2.0	3.0	0.4	0.6	8
	kodarn	1988	4	1.0	0.0	1.0	0.0	1.0	9
	Lady Blue	1984	4	2.0	0.0	2.0	0.0	1.0	8
	LuMa	1979	3	4.0	3.0	1.0	0.75	0.25	7
	jazzkatten	1981	3	3.0	0.0	3.0	0.0	1.0	7
	idiblon	1982	3	21.0	0.0	21.0	0.0	1.0	7
	SuzR	1982	3	7.0	1.0	6.0	0.14285714285714285	0.8571428571428571	7
	hannis	1979	3	3.0	2.0	1.0	0.6666666666666666	0.3333333333333333	7
	KramKalas	1984	4	1.0	0.0	1.0	0.0	1.0	8
	ZezzA80	1981	3	3.0	1.0	2.0	0.3333333333333333	0.6666666666666666	7
	anahabecc	1989	4	1.0	0.0	1.0	0.0	1.0	9
	Knasan	1981	3	5.0	0.0	5.0	0.0	1.0	7
	Håll min hand	1987	4	2.0	2.0	0.0	1.0	0.0	8
	hemljuvahem	1986	4	1.0	1.0	0.0	1.0	0.0	8
	Loris	1988	4	20.0	7.0	13.0	0.35	0.65	9
	R3becca	1991	4	3.0	0.0	3.0	0.0	1.0	9
	Joje	1975	3	29.0	18.0	11.0	0.6206896551724138	0.3793103448275862	6
	Luxuria	1990	4	4.0	2.0	2.0	0.5	0.5	9
	fenja	1973	3	7.0	2.0	5.0	0.2857142857142857	0.7142857142857143	6
	Kina79	1980	3	4.0	1.0	3.0	0.25	0.75	7
	Lavish	1986	4	17.0	17.0	0.0	1.0	0.0	8
	Mia22	1985	4	2.0	2.0	0.0	1.0	0.0	8
	Miss Cee	1981	3	17.0	12.0	5.0	0.7058823529411765	0.29411764705882354	7
	Sedek	1977	3	6.0	2.0	4.0	0.3333333333333333	0.6666666666666666	6
	EowynAurora	1984	4	3.0	3.0	0.0	1.0	0.0	8
	Wednesday85	1986	4	8.0	4.0	4.0	0.5	0.5	8
	Gustie	1973	3	2.0	2.0	0.0	1.0	0.0	6
	jådåsåatt	1984	4	3.0	0.0	3.0	0.0	1.0	8
	RiNan	1984	4	11.0	4.0	7.0	0.36363636363636365	0.6363636363636364	8
	upyours	1981	3	3.0	1.0	2.0	0.3333333333333333	0.6666666666666666	7
	lokisse	1961	1	19.0	15.0	4.0	0.7894736842105263	0.21052631578947367	3
	kvinna 86	1987	4	6.0	0.0	6.0	0.0	1.0	8
	Floff	1983	4	10.0	4.0	6.0	0.4	0.6	8
	Lorelei	1978	3	4.0	0.0	4.0	0.0	1.0	7
	riboflavin	1985	4	3.0	0.0	3.0	0.0	1.0	8
	Fe73	1974	3	2.0	0.0	2.0	0.0	1.0	6
	car	1975	3	9.0	5.0	4.0	0.5555555555555556	0.4444444444444444	6
	Camilla85	1986	4	4.0	2.0	2.0	0.5	0.5	8
	jerseyko	1986	4	2.0	0.0	2.0	0.0	1.0	8
	Immini	1989	4	2.0	0.0	2.0	0.0	1.0	9
	Pallas	1974	3	25.0	0.0	25.0	0.0	1.0	6
	Lillja	1988	4	3.0	0.0	3.0	0.0	1.0	9
	Puman78	1979	3	2.0	0.0	2.0	0.0	1.0	7
	TeZs	1987	4	1.0	0.0	1.0	0.0	1.0	8
	linas fina	1984	4	2.0	0.0	2.0	0.0	1.0	8
	Kanejl	1982	3	8.0	3.0	5.0	0.375	0.625	7
	CoolJen	1980	3	6.0	6.0	0.0	1.0	0.0	7
	Dynamic	1980	3	2.0	0.0	2.0	0.0	1.0	7
	ForReal	1984	4	1.0	0.0	1.0	0.0	1.0	8
	Waite	1988	4	1.0	1.0	0.0	1.0	0.0	9
	KickanAnnika	1975	3	5.0	3.0	2.0	0.6	0.4	6
	rims	1989	4	1.0	0.0	1.0	0.0	1.0	9
	Labbematte	1975	3	1.0	0.0	1.0	0.0	1.0	6
	hejsvej	1983	4	15.0	4.0	11.0	0.26666666666666666	0.7333333333333333	8
	liquorice	1971	2	1.0	0.0	1.0	0.0	1.0	5
	Digestive	1982	3	2.0	1.0	1.0	0.5	0.5	7
	hundpuss	1988	4	10.0	3.0	7.0	0.3	0.7	9
