verb	freq	asym	mid	growth	r2	max-min	max
planera	46827.0	0.0	0.0	0.0	0.0	0.05362	0.11973
lova	30644.0	0.0	0.0	0.0	0.0	0.04648	0.1521
tendera	11187.0	0.0	0.0	0.0	0.0	0.04711	0.10537
riskera	32748.0	0.0	0.0	0.0	0.0	0.04152	0.14198
fortsätta	137762.0	0.68894	1995.30073	6.61548	0.00501	0.12955	0.67673
komma	2519646.0	0.68159	2002.40892	3.00435	0.00965	0.25136	0.69457
glömma	113035.0	0.85264	2033.01428	-3.74439	0.00757	0.05869	0.85912
vägra	213407.0	0.8681	1994.2027	4.01036	0.00539	0.07014	0.87322
anse	17444.0	0.8681	1994.2027	4.01036	0.00539	0.0226	0.93081
sluta	187244.0	0.93488	1993.79027	2.57933	0.00316	0.01918	0.9389
slippa	228226.0	0.9761	1995.18205	1.8962	0.00302	0.01169	0.97994
försöka	931759.0	0.97041	1982.36855	6.91786	0.00114	0.03894	0.96807
låtsas	9305.0	0.97041	1982.36855	6.91786	0.00114	0.01187	0.99052
lyckas	170580.0	0.98924	1991.42954	2.66309	0.00112	0.00928	0.99053
hinna	231128.0	0.98924	1991.42954	2.66309	0.00112	0.01099	0.99339
börja	1659893.0	0.99162	1990.28959	3.20786	0.00086	0.01261	0.99199
orka	241951.0	0.98865	2048.92538	-4.29275	0.00159	0.00527	0.99044
våga	172470.0	0.99486	1990.84873	1.97689	0.00045	0.00175	0.99553
behöva	779085.0	0.9988	1990.29261	1.85611	0.00018	0.00095	0.9992
bruka	1054833.0	0.99961	1988.89167	1.91054	0.0001	0.00042	0.99971
råka	130313.0	0.99922	2031.5699	-1.19421	0.00038	0.00123	0.99971
