verb	freq	asym	mid	growth	r2	max-min	max
hota	11179.0	0.24871	1997.13697	9.14523	0.01944	0.08868	0.25047
planera	40545.0	0.24871	1997.13697	9.14523	0.01944	0.06692	0.13127
lova	17232.0	0.23049	2009.67761	8.09907	0.01011	0.12265	0.19441
tendera	43575.0	0.1008	2007.61526	4.84849	0.00812	0.06025	0.10318
riskera	64593.0	0.1008	2007.61526	4.84849	0.00812	0.08913	0.19097
avse	15918.0	0.39301	2001.83324	7.73703	0.01031	0.14665	0.37421
fortsätta	179951.0	0.58518	1998.8517	2.91409	0.00937	0.09358	0.60094
komma	3335078.0	0.6443	2002.47004	2.05679	0.022	0.20496	0.66556
förmå	12829.0	0.6443	2002.47004	2.05679	0.022	0.15397	0.82182
glömma	56484.0	0.75754	2039.65325	-5.26813	0.01504	0.0519	0.77597
vägra	190341.0	0.75754	2039.65325	-5.26813	0.01504	0.04026	0.82924
anse	39483.0	0.96259	2044.41677	-6.91532	0.00411	0.04222	0.96188
sluta	148165.0	0.90177	1997.75518	1.61437	0.00687	0.02324	0.90971
slippa	132575.0	0.90177	1997.75518	1.61437	0.00687	0.01048	0.97003
försöka	1112479.0	0.90177	1997.75518	1.61437	0.00687	0.00892	0.97413
låtsas	29031.0	0.90177	1997.75518	1.61437	0.00687	0.00987	0.9943
lyckas	309822.0	0.98673	2031.72721	-1.43376	0.0006	0.00507	0.98769
hinna	106570.0	0.98673	2031.72721	-1.43376	0.0006	0.00944	0.99186
börja	1299462.0	0.98698	2029.07007	-1.26348	0.00181	0.01829	0.98861
orka	163512.0	0.98698	2029.07007	-1.26348	0.00181	0.00743	0.99309
våga	205454.0	0.99452	2216.14655	-32.2096	0.00061	0.00279	0.99429
behöva	621498.0	0.99452	2216.14655	-32.2096	0.00061	0.00085	0.9988
bruka	876214.0	0.99452	2216.14655	-32.2096	0.00061	0.00072	0.99966
råka	197170.0	1.00074	2187.18015	-27.5152	0.00036	0.00181	0.99939
torde	58040.0	1.00074	2187.18015	-27.5152	0.00036	0.00049	1.0
förefalla	13615.0	1.00074	2187.18015	-27.5152	0.00036	0.02268	0.96004
