anse	17319	1381	15938	2334	168	2166	0.93	0.92	25	25		Anse vara	include	include
avse	2948	2120	828	300	205	95	0.32	0.28	25	25			include	include
behaga	16457	3350	13107	2309	447	1862	0.81	0.80	25	25		Behaga komma	include	include
behöva	771883	955	770928	96148	117	96031	1.00	1.00	25	25			include	include
besluta	3883	3714	169	546	523	23	0.04	0.04	25	25			include	include
bruka	1051415	423	1050992	138455	49	138406	1.00	1.00	25	25			Include	Include
börja	1655198	19835	1635363	221984	2290	219694	0.99	0.99	25	25			include	include
fortsätta	136636	52273	84363	16972	6603	10369	0.61	0.62	25	25			include	include
förefalla	1116	55	1061	96	4	92	0.96	0.95	25	25		Förefalla vara	include	include
förmå	3375	926	2449	362	91	271	0.75	0.73	25	25		Formal!	include	include
försöka	926086	45192	880894	115992	5668	110324	0.95	0.95	25	25			include	include
glömma	112856	16498	96358	14903	2186	12717	0.85	0.85	25	25			include	include
hinna	230696	2523	228173	32577	292	32285	0.99	0.99	25	25			include	include
hota	4562	3920	642	529	467	62	0.12	0.14	25	25		Not grammaticalized	include	include
idas	4133	98	4035	596	15	581	0.97	0.98	25	25			include	include
komma	2680338	1070777	1609561	350789	138529	212260	0.61	0.60	25	25			include	include
lova	30606	26963	3643	3901	3381	520	0.13	0.12	25	25		Not grammaticalized	include	include
lyckas	169597	2107	167490	22054	265	21789	0.99	0.99	25	25			include	include
låtsas	9087	149	8938	902	16	886	0.98	0.98	25	25			include	include
orka	241215	2667	238548	32443	314	32129	0.99	0.99	25	25			include	include
planera	46759	43212	3547	5738	5306	432	0.08	0.08	25	25			include	include
riskera	32280	28804	3476	3872	3492	380	0.10	0.11	25	25		[Riskera INF] is often used with unanimate subjekt in grammaticalized meaning!	include	include
råka	129442	111	129331	16268	13	16255	1.00	1.00	25	25			Include	Include
slippa	227695	5500	222195	32329	691	31638	0.98	0.98	25	25			include	include
sluta	246291	16015	230276	29993	1955	28038	0.93	0.93	25	25			include	include
tendera	11019	10241	778	1229	1155	74	0.06	0.07	25	25			include	include
torde	6239	0	6239	682	0	682	1.00	1.00	nav	25			include	include
våga	171347	887	170460	20905	94	20811	1.00	0.99	25	25			include	include
vägra	212260	32554	179706	28688	4270	24418	0.85	0.85	25	25			include	include
ämna	1736	286	1450	179	32	147	0.82	0.84	25	25		Formal!	include	include
önska	13744	2463	11281	1378	235	1143	0.83	0.82	24	25	Tagging mistake		include	include
