verb	v2rel_2009	best_model	r2	slope	range
anse	0.92138414898	lin	0.9198106093466244	-0.0009897883750940115	0.017719913709999924
avse	0.25857112506	log	0.8164133285395417	0.07136761060630424	0.21990060248
behaga	0.79397268254	log	0.02087497504370538	-0.003165029826665966	0.07214107881333343
behöva	0.9987997954400001	log	0.6526109112937365	0.00025442367719990644	0.001015305000000133
besluta	0.03747096914	lin	0.03186478070179969	-0.000381780866098997	0.04790597112666667
bruka	0.99965589648	log	0.6659435005098283	0.00020445131264967224	0.0007003253799998665
börja	0.9889260421599999	log	0.905162997253134	0.005050628061576811	0.012476147593333264
fortsätta	0.61157094848	sqrt	0.9741132221578823	0.04376352546531239	0.1342157658466666
förefalla	0.9435438763	lin			0.10744044364500005
förmå	0.7221755474600001	lin	0.83917124971013	-0.010120782547865899	0.24531861266666655
försöka	0.9505133937	log	0.9796411850253598	0.016474241911667763	0.0433043597666668
glömma	0.8583470654	lin	0.3153382386799876	-0.0011416556308571366	0.04174856486666667
hinna	0.99003396958	log	0.9420471084378635	0.00466810840415068	0.012939924486666698
hota	0.14130756935999997	log	0.5873955072457072	0.020819964514209647	0.08147354786000004
idas	0.9730555818	log	0.1584875768264914	-0.002087409145107948	0.01563892912000009
komma	0.6045427892199999	log	0.9386311825545087	0.10388223527889341	0.26715013768666673
lova	0.12206856012	lin	0.38479752067875894	0.0006186141527393486	0.020063987640000003
lyckas	0.9885728485599999	log	0.8386160977586476	0.004053377207036224	0.01187407095333326
låtsas	0.9815660601799999	lin	0.03284011167551142	8.800880255890486e-05	0.009339881606666545
orka	0.9893149725000001	log	0.43669366128856424	0.0019901092399594944	0.00913261858000003
planera	0.06825518123999999	lin	0.6104489010773191	0.0010080727451516293	0.028823913166666652
riskera	0.10272282800000002	lin	0.8602710308735768	0.0026841017011942346	0.06358464743333332
råka	0.99909316848	log	0.028408611714093493	-5.6238888082136285e-05	0.0009957884266668104
slippa	0.97721127628	log	0.25068912074918226	0.0013959459963511344	0.008539394499999964
sluta	0.9347685347799999	log	0.8941093223145964	0.012798534169533683	0.03414867818666689
tendera	0.06623262962000001	lin	0.08896671829399684	0.0006190742369661657	0.045886837099999994
våga	0.9950213677399999	log	0.036821624056949546	9.112199985251626e-05	0.0013145981000001195
vägra	0.8497242293199999	log	0.9189207325594616	0.024001708975567644	0.06280388189999997
ämna	0.8276793901000001	lin			0.16054326637500005
önska	0.8193326113000001	log	0.5378499467850245	0.0122298479397297	0.04809373087999991
förmå	0.7221755474600001	lin	0.83917124971013	-0.010120782547865899	0.24531861266666655
förmå	0.7221755474600001	lin	0.83917124971013	-0.010120782547865899	0.24531861266666655
