year	total	v2abs	v2rel
1934	0	0	NaN
1935	0	0	NaN
1936	0	0	NaN
1937	3	0	0
1938	1	0	0
1939	0	0	NaN
1940	1	0	0
1941	0	0	NaN
1942	1	0	0
1943	3	0	0
1944	1	0	0
1945	2	0	0
1946	0	0	NaN
1947	0	0	NaN
1948	0	0	NaN
1949	0	0	NaN
1950	0	0	NaN
1951	0	0	NaN
1952	0	0	NaN
1953	0	0	NaN
1954	0	0	NaN
1955	0	0	NaN
1956	0	0	NaN
1957	0	0	NaN
1958	2	0	0
1965	161	0	0
1966	8	0	0
1976	243	4	0.0164609053497942
1992	3	0	0
1993	34	2	0.0588235294117647
1994	5149	84	0.0163138473489998
1995	1719	28	0.0162885398487493
1996	1503	52	0.0345974717232202
1997	2717	79	0.0290761869709238
1998	2050	63	0.0307317073170732
1999	38	0	0
2000	82	4	0.0487804878048781
2001	3896	174	0.0446611909650924
2002	9371	502	0.0535695229964785
2003	8000	376	0.047
2004	9260	464	0.0501079913606912
2005	15683	947	0.0603838551297583
2006	14748	1263	0.0856387306753458
2007	15678	1326	0.0845771144278607
2008	18522	2103	0.113540654356981
2009	19456	1911	0.0982216282894737
2010	18726	2140	0.114279611235715
2011	19612	2584	0.131756067713645
2012	18653	3052	0.163619793062778
2013	21165	3979	0.187999055043704
2014	8932	2107	0.2358934169279
2015	11513	3086	0.268044818900374
2016	13548	3785	0.2793770298199
2017	13223	4324	0.327005974438478
2018	12007	4273	0.355875739152161
2019	11112	4326	0.389308855291577
2020	11652	4443	0.381307929969104
2021	9903	4061	0.410077754215894
2022	9259	4012	0.433308132627714
2023	5070	2289	0.451479289940828
2024	456	135	0.296052631578947
2025	425	110	0.258823529411765
2026	4	0	0
