post_year	username	age	agebin	total	v1abs	v2abs	v3abs	v1rel	v2rel	v3rel
2009	bellanbus	39	Gen2	57.0	51.0	0.0	6.0	0.8947368421052632	0.0	0.10526315789473684
2009	svarta	27	Gen3	27.0	18.0	0.0	9.0	0.6666666666666666	0.0	0.3333333333333333
2009	Pochahontas	35	Gen2	26.0	4.0	0.0	22.0	0.15384615384615385	0.0	0.8461538461538461
2009	NadiaMi	34	Gen2	1720.0	1697.0	7.0	16.0	0.9866279069767442	0.004069767441860465	0.009302325581395349
2009	Myzan	33	Gen2	88.0	7.0	0.0	81.0	0.07954545454545454	0.0	0.9204545454545454
2007	Birgitta2	37	Gen2	1350.0	1285.0	5.0	60.0	0.9518518518518518	0.003703703703703704	0.044444444444444446
2008	Puh	38	Gen2	21.0	16.0	0.0	5.0	0.7619047619047619	0.0	0.23809523809523808
2006	Kloss	36	Gen2	250.0	248.0	0.0	2.0	0.992	0.0	0.008
2006	Diwa	32	Gen2	185.0	183.0	1.0	1.0	0.9891891891891892	0.005405405405405406	0.005405405405405406
2005	Astarte	25	Gen3	17.0	17.0	0.0	0.0	1.0	0.0	0.0
2008	Birgitta2	38	Gen2	937.0	867.0	10.0	60.0	0.9252934898612594	0.010672358591248666	0.064034151547492
2007	LuMa	28	Gen2	71.0	2.0	0.0	69.0	0.028169014084507043	0.0	0.971830985915493
2008	tokmonkan	28	Gen3	21.0	20.0	0.0	1.0	0.9523809523809523	0.0	0.047619047619047616
2008	Kloss	38	Gen2	202.0	198.0	1.0	3.0	0.9801980198019802	0.0049504950495049506	0.01485148514851485
2011	MrsKnapa	25	Gen3	329.0	257.0	71.0	1.0	0.7811550151975684	0.21580547112462006	0.00303951367781155
2005	brokig	21	Gen3	20.0	18.0	0.0	2.0	0.9	0.0	0.1
2008	Pysen	38	Gen2	70.0	52.0	0.0	18.0	0.7428571428571429	0.0	0.2571428571428571
2010	Emmel	37	Gen2	71.0	71.0	0.0	0.0	1.0	0.0	0.0
2010	chivasregal	48	Gen1	382.0	372.0	0.0	10.0	0.9738219895287958	0.0	0.02617801047120419
2010	sara1981	28	Gen3	31.0	30.0	1.0	0.0	0.967741935483871	0.03225806451612903	0.0
2010	CuteElliz	22	Gen3	17.0	10.0	0.0	7.0	0.5882352941176471	0.0	0.4117647058823529
2010	JBC	24	Gen3	117.0	2.0	0.0	115.0	0.017094017094017096	0.0	0.9829059829059829
2010	mirre67	42	Gen1	215.0	213.0	1.0	1.0	0.9906976744186047	0.004651162790697674	0.004651162790697674
2010	Konvaljen	25	Gen3	40.0	40.0	0.0	0.0	1.0	0.0	0.0
2007	kloker	37	Gen2	73.0	67.0	1.0	5.0	0.9178082191780822	0.0136986301369863	0.0684931506849315
2007	wellpapp	37	Gen2	92.0	5.0	0.0	87.0	0.05434782608695652	0.0	0.9456521739130435
2007	anzita	47	Gen1	458.0	452.0	1.0	5.0	0.9868995633187773	0.002183406113537118	0.010917030567685589
2011	Angelica30	33	Gen2	12.0	2.0	0.0	10.0	0.16666666666666666	0.0	0.8333333333333334
2014	ja88	25	Gen3	38.0	38.0	0.0	0.0	1.0	0.0	0.0
2011	mamita64	46	Gen1	723.0	716.0	2.0	5.0	0.9903181189488244	0.0027662517289073307	0.006915629322268326
2009	lunkentuss	39	Gen2	186.0	64.0	0.0	122.0	0.34408602150537637	0.0	0.6559139784946236
2009	Mummy	39	Gen2	70.0	70.0	0.0	0.0	1.0	0.0	0.0
2006	låle	29	Gen2	69.0	18.0	0.0	51.0	0.2608695652173913	0.0	0.7391304347826086
2010	supermamman2	31	Gen2	10.0	10.0	0.0	0.0	1.0	0.0	0.0
2010	Sublime	40	Gen2	104.0	16.0	0.0	88.0	0.15384615384615385	0.0	0.8461538461538461
2008	MalinI	29	Gen2	29.0	26.0	0.0	3.0	0.896551724137931	0.0	0.10344827586206896
2007	Snirkel	37	Gen2	227.0	222.0	1.0	4.0	0.9779735682819384	0.004405286343612335	0.01762114537444934
2007	My sunshine	21	Gen3	290.0	124.0	0.0	166.0	0.42758620689655175	0.0	0.5724137931034483
2008	My sunshine	22	Gen3	45.0	7.0	0.0	38.0	0.15555555555555556	0.0	0.8444444444444444
2009	Fembarnsmorsan	37	Gen2	28.0	25.0	3.0	0.0	0.8928571428571429	0.10714285714285714	0.0
2011	fjonkan	22	Gen3	68.0	10.0	0.0	58.0	0.14705882352941177	0.0	0.8529411764705882
2006	Birgitta2	36	Gen2	1166.0	1148.0	0.0	18.0	0.9845626072041166	0.0	0.015437392795883362
2009	fjonkan	20	Gen3	110.0	16.0	1.0	93.0	0.14545454545454545	0.00909090909090909	0.8454545454545455
2012	NadiaMi	37	Gen2	1392.0	1390.0	2.0	0.0	0.9985632183908046	0.0014367816091954023	0.0
2010	Marleen	24	Gen3	455.0	446.0	0.0	9.0	0.9802197802197802	0.0	0.01978021978021978
2010	Min högsta önskan	31	Gen2	25.0	24.0	0.0	1.0	0.96	0.0	0.04
2008	Tessa606	35	Gen2	48.0	48.0	0.0	0.0	1.0	0.0	0.0
2007	Diwa	33	Gen2	110.0	107.0	0.0	3.0	0.9727272727272728	0.0	0.02727272727272727
2007	Fridapida	25	Gen3	62.0	61.0	0.0	1.0	0.9838709677419355	0.0	0.016129032258064516
2008	kvinna 86	21	Gen3	89.0	89.0	0.0	0.0	1.0	0.0	0.0
2007	lillmamman	37	Gen2	35.0	33.0	1.0	1.0	0.9428571428571428	0.02857142857142857	0.02857142857142857
2004	Brodsmulan	26	Gen2	305.0	304.0	0.0	1.0	0.9967213114754099	0.0	0.003278688524590164
2010	allakantralla	34	Gen2	60.0	59.0	1.0	0.0	0.9833333333333333	0.016666666666666666	0.0
2015	annasv1980	45	Gen2	42.0	39.0	0.0	3.0	0.9285714285714286	0.0	0.07142857142857142
2010	Lättare	40	Gen2	83.0	80.0	0.0	3.0	0.963855421686747	0.0	0.03614457831325301
2006	cajsalisa	39	Gen1	35.0	34.0	0.0	1.0	0.9714285714285714	0.0	0.02857142857142857
2007	MammaFia	37	Gen2	25.0	25.0	0.0	0.0	1.0	0.0	0.0
2006	Panope	26	Gen3	97.0	68.0	0.0	29.0	0.7010309278350515	0.0	0.29896907216494845
2007	NadiaMi	32	Gen2	1580.0	1563.0	5.0	12.0	0.989240506329114	0.0031645569620253164	0.007594936708860759
2011	MammaG	41	Gen2	232.0	232.0	0.0	0.0	1.0	0.0	0.0
2006	Fred	36	Gen2	122.0	0.0	0.0	122.0	0.0	0.0	1.0
2011	MeMayo	38	Gen2	70.0	67.0	0.0	3.0	0.9571428571428572	0.0	0.04285714285714286
2006	sandra1984	21	Gen3	397.0	250.0	2.0	145.0	0.6297229219143576	0.005037783375314861	0.36523929471032746
2006	Fembarnsmorsan	34	Gen2	90.0	87.0	3.0	0.0	0.9666666666666667	0.03333333333333333	0.0
2008	anzita	48	Gen1	270.0	266.0	0.0	4.0	0.9851851851851852	0.0	0.014814814814814815
2007	CissiS	24	Gen3	12.0	12.0	0.0	0.0	1.0	0.0	0.0
2007	Fembarnsmorsan	35	Gen2	63.0	63.0	0.0	0.0	1.0	0.0	0.0
2007	sandra1984	22	Gen3	78.0	25.0	0.0	53.0	0.32051282051282054	0.0	0.6794871794871795
2014	Hoppfull84	29	Gen3	49.0	47.0	0.0	2.0	0.9591836734693877	0.0	0.04081632653061224
2009	mamita64	44	Gen1	527.0	480.0	3.0	44.0	0.9108159392789373	0.0056925996204933585	0.08349146110056926
2006	msmalin	24	Gen3	180.0	180.0	0.0	0.0	1.0	0.0	0.0
2007	LaFontaine	22	Gen3	61.0	56.0	1.0	4.0	0.9180327868852459	0.01639344262295082	0.06557377049180328
2011	MariaE	31	Gen3	18.0	0.0	0.0	18.0	0.0	0.0	1.0
2010	Trikarn	40	Gen2	11.0	11.0	0.0	0.0	1.0	0.0	0.0
2010	Mopsan	23	Gen3	18.0	18.0	0.0	0.0	1.0	0.0	0.0
2019	louisa83	35	Gen3	415.0	410.0	1.0	4.0	0.9879518072289156	0.0024096385542168677	0.00963855421686747
2008	FruLiniz	25	Gen3	50.0	32.0	0.0	18.0	0.64	0.0	0.36
2008	NadiaMi	33	Gen2	2045.0	2032.0	7.0	6.0	0.993643031784841	0.0034229828850855745	0.00293398533007335
2008	Alle	38	Gen2	62.0	62.0	0.0	0.0	1.0	0.0	0.0
2012	MrsKnapa	26	Gen3	320.0	255.0	65.0	0.0	0.796875	0.203125	0.0
2007	MariaE	27	Gen3	32.0	0.0	0.0	32.0	0.0	0.0	1.0
2007	Puman78	28	Gen2	16.0	10.0	0.0	6.0	0.625	0.0	0.375
2007	saggitarius	37	Gen2	15.0	15.0	0.0	0.0	1.0	0.0	0.0
2011	Dalton	25	Gen3	365.0	346.0	0.0	19.0	0.947945205479452	0.0	0.052054794520547946
2007	Chaplin	31	Gen2	17.0	17.0	0.0	0.0	1.0	0.0	0.0
