post_year	username	age	agebin	total	v1abs	v2abs	v3abs	v1rel	v2rel	v3rel
2006	mamma2007	22	20--29	10	10	0	0	1	0	0
2004	mamma30	20	20--29	13	0	0	13	0	0	1
2006	mamma33	29	20--29	30	24	6	0	0.8	0.2	0
2007	mamma33	30	30--39	38	30	5	3	0.7894736842	0.1315789474	0.0789473684
2008	mamma33	31	30--39	11	9	1	1	0.8181818182	0.0909090909	0.0909090909
2011	mamma83	29	20--29	15	0	0	15	0	0	1
2009	Mamma89	22	20--29	27	24	0	3	0.8888888889	0	0.1111111111
2010	Mamma89	23	20--29	11	7	3	1	0.6363636364	0.2727272727	0.0909090909
2010	mammaannika	25	20--29	24	20	4	0	0.8333333333	0.1666666667	0
2011	mammaannika	26	20--29	50	47	3	0	0.94	0.06	0
2011	mammaaug	31	30--39	68	65	0	3	0.9558823529	0	0.0441176471
2009	MammaBecca	29	20--29	27	14	13	0	0.5185185185	0.4814814815	0
2010	MammaBecca	30	30--39	96	58	38	0	0.6041666667	0.3958333333	0
2011	MammaBecca	31	30--39	10	5	5	0	0.5	0.5	0
2012	MammaBecca	32	30--39	18	14	4	0	0.7777777778	0.2222222222	0
2014	MammaBecca	34	30--39	21	17	4	0	0.8095238095	0.1904761905	0
2005	mammacarro	21	20--29	112	7	1	104	0.0625	0.0089285714	0.9285714286
2006	mammacarro	22	20--29	13	3	0	10	0.2307692308	0	0.7692307692
2005	MammaFia	37	30--39	21	14	7	0	0.6666666667	0.3333333333	0
2006	MammaFia	38	30--39	56	46	10	0	0.8214285714	0.1785714286	0
2007	MammaFia	39	30--39	50	43	7	0	0.86	0.14	0
2008	MammaFia	40	40--49	24	22	2	0	0.9166666667	0.0833333333	0
2010	MammaG	42	40--49	205	171	34	0	0.8341463415	0.1658536585	0
2011	MammaG	43	40--49	430	353	77	0	0.8209302326	0.1790697674	0
2010	MammaIna88	23	20--29	10	9	1	0	0.9	0.1	0
2011	MammaIna88	24	20--29	14	11	3	0	0.7857142857	0.2142857143	0
2012	mammamebarn	36	30--39	66	61	5	0	0.9242424242	0.0757575758	0
2013	mammamebarn	37	30--39	195	170	23	2	0.8717948718	0.1179487179	0.0102564103
