year	c_to_n_by_c	c_to_c_by_c	c_to_i_by_c	c_total	c_to_i_by_i	i_to_n_by_i	i_to_i_by_i	i_total	n_to_n
2000	0.9971751412429378	0.002824858757062147	0.0	2832.0	NaN	NaN	NaN	0.0	151276.0
2001	0.9923954372623575	0.0076045627376425855	0.0	263.0	NaN	NaN	NaN	0.0	153669.0
2002	0.9973009446693657	0.002699055330634278	0.0	741.0	NaN	NaN	NaN	0.0	411499.0
2003	1.0	0.0	0.0	1091.0	NaN	NaN	NaN	0.0	625282.0
2004	0.9899394218234798	0.010060578176520205	0.0	65205.0	NaN	NaN	NaN	0.0	2245061.0
2005	0.9433322338320104	0.05666776616798962	0.0	375928.0	NaN	NaN	NaN	0.0	3506468.0
2006	0.9126642549172059	0.08722008391860024	0.00011566116419387382	778135.0	0.050590219224283306	0.9494097807757167	0.0	1779.0	4776258.0
2007	0.9139824254979216	0.08479561856019063	0.001221955941887702	886284.0	0.07810471657291215	0.9218952834270878	0.0	13866.0	7119406.0
2008	0.8975100982283774	0.09056545277582105	0.011924448995801579	1457929.0	0.20529504150774064	0.7888596294415644	0.005845329050694945	84683.0	9838000.0
2009	0.9040099940940182	0.08981280969753834	0.00617719620844346	1909928.0	0.18536324786324787	0.8131284565108094	0.0015082956259426848	63648.0	12391343.0
2010	0.8779687714506608	0.11093721775446354	0.011094010794875686	2767980.0	0.1878613247196579	0.8080214852472455	0.00411719003309658	163461.0	13255617.0
2011	0.8559331836009901	0.10071901863058427	0.04334779776842557	2109542.0	0.1763357174123904	0.8010987718361137	0.022565510751495915	518579.0	12629935.0
2012	0.8470954862229141	0.0542774624738556	0.09862705130323028	1428604.0	0.11503076625402794	0.8361620434964703	0.04880719024950179	1224881.0	11578454.0
2013	0.8184650896442509	0.052779996889316214	0.1287549134664329	1131584.0	0.09125825616099867	0.8360205069102775	0.07272123692872377	1596535.0	9735623.0
2014	0.7317572971553299	0.02418511203735716	0.24405759080731296	673927.0	0.05605861995393348	0.8017230978133059	0.14221828223276067	2934018.0	7185716.0
2015	0.69708757199161	0.013635443802377611	0.28927698420601244	311321.0	0.03127599227772142	0.8081609717929849	0.16056303592929372	2879461.0	5850178.0
2016	0.6917504501560328	0.019303844108242502	0.28894570573572476	312114.0	0.0336577164300816	0.8041105527450647	0.16223173082485365	2679445.0	4702373.0
2017	0.7381079277032376	0.009179391386688331	0.25271268091007404	193259.0	0.020565460687963274	0.8227401216183041	0.15669441769373257	2374807.0	4179366.0
2018	0.6252755259624506	0.010993543183682447	0.363730930853867	218219.0	0.027205808256515335	0.7749879862978671	0.19780620544561753	2917502.0	3925701.0
2019	0.6755335714940002	0.009595126866355226	0.3148713016396446	218340.0	0.023700201704577775	0.7857491285955452	0.19055066969987697	2900777.0	3979781.0
2020	0.6998219731682767	0.007124829109264907	0.2930531977224584	266252.0	0.019972518780710314	0.7905842011658016	0.18944328005348804	3906668.0	5027437.0
2021	0.6507643517256758	0.008254668285391013	0.34098097998893323	242166.0	0.019836820804374506	0.779112073208905	0.20105110598672052	4162663.0	4700857.0
2022	0.6018078771791376	0.010660736064280078	0.3875313867565823	209085.0	0.025893863505557495	0.7361879101890997	0.23791822630534287	3129197.0	2482197.0
