post_year	username	age	agebin	total	v1abs	v2abs	v3abs	v1rel	v2rel	v3rel
2012	1022	44	40--49	47	3	43	1	0.0638297872	0.914893617	0.0212765957
2013	1022	45	40--49	13	2	11	0	0.1538461538	0.8461538462	0
2005	1980 längtar	26	20--29	10	0	10	0	0	1	0
2010	1Barn	42	40--49	40	34	6	0	0.85	0.15	0
2011	3barnsmor	43	40--49	11	0	0	11	0	0	1
2010	3way	22	20--29	81	61	20	0	0.7530864198	0.2469135802	0
2011	737 dagar	27	20--29	11	11	0	0	1	0	0
2015	AAke	30	30--39	10	0	0	10	0	0	1
2017	absalon	49	40--49	12	0	12	0	0	1	0
2012	Acelise	30	30--39	64	1	63	0	0.015625	0.984375	0
2011	Afterlife	32	30--39	10	0	10	0	0	1	0
2012	Afterlife	33	30--39	76	5	71	0	0.0657894737	0.9342105263	0
2017	Afterlife	38	30--39	17	0	17	0	0	1	0
2018	Afterlife	39	30--39	14	1	13	0	0.0714285714	0.9285714286	0
2007	Agapi	21	20--29	55	48	2	5	0.8727272727	0.0363636364	0.0909090909
2008	Agapi	22	20--29	95	83	1	11	0.8736842105	0.0105263158	0.1157894737
2009	Agapi	23	20--29	20	18	1	1	0.9	0.05	0.05
2010	Agapi	24	20--29	17	14	0	3	0.8235294118	0	0.1764705882
2011	Agapi	25	20--29	17	16	0	1	0.9411764706	0	0.0588235294
2012	Agapi	26	20--29	20	19	0	1	0.95	0	0.05
2013	Agapi	27	20--29	65	55	0	10	0.8461538462	0	0.1538461538
2014	Agapi	28	20--29	22	18	0	4	0.8181818182	0	0.1818181818
2008	Agnes mamma	40	40--49	19	0	19	0	0	1	0
2011	agtiwi	33	30--39	12	1	0	11	0.0833333333	0	0.9166666667
2008	Ahdela	31	30--39	13	0	13	0	0	1	0
2004	Aiwendil	18	<20	21	1	0	20	0.0476190476	0	0.9523809524
2014	Aiyana	53	50--59	12	0	11	1	0	0.9166666667	0.0833333333
2015	Aiyana	54	50--59	11	0	11	0	0	1	0
2017	Aiyana	56	50--59	22	0	22	0	0	1	0
2018	Aiyana	57	50--59	31	0	30	1	0	0.9677419355	0.0322580645
2019	Aiyana	58	50--59	23	1	22	0	0.0434782609	0.9565217391	0
2011	Åja81	31	30--39	12	0	0	12	0	0	1
2009	Akilla	28	20--29	13	1	12	0	0.0769230769	0.9230769231	0
2018	Akira Öken	38	30--39	20	1	18	1	0.05	0.9	0.05
2019	Akira Öken	39	30--39	11	1	10	0	0.0909090909	0.9090909091	0
2011	aldrigmer	59	50--59	22	0	22	0	0	1	0
2012	aldrigmer	60	>60	23	0	23	0	0	1	0
2006	Alexandra85	22	20--29	18	7	1	10	0.3888888889	0.0555555556	0.5555555556
2005	alexix	27	20--29	10	2	0	8	0.2	0	0.8
2006	alexix	28	20--29	17	10	0	7	0.5882352941	0	0.4117647059
2005	Alfonsina	29	20--29	52	2	49	1	0.0384615385	0.9423076923	0.0192307692
2006	Alfonsina	30	30--39	15	2	12	1	0.1333333333	0.8	0.0666666667
2009	Alfonsina	33	30--39	15	4	11	0	0.2666666667	0.7333333333	0
2012	Alfonsina	36	30--39	10	1	9	0	0.1	0.9	0
2017	Aliona	49	40--49	23	0	23	0	0	1	0
2018	Aliona	50	50--59	22	1	21	0	0.0454545455	0.9545454545	0
2019	Aliona	51	50--59	18	1	17	0	0.0555555556	0.9444444444	0
2020	Aliona	52	50--59	14	1	13	0	0.0714285714	0.9285714286	0
2021	Aliona	53	50--59	21	1	20	0	0.0476190476	0.9523809524	0
2009	Alisa	30	30--39	14	1	13	0	0.0714285714	0.9285714286	0
2010	Alisa	31	30--39	20	0	19	1	0	0.95	0.05
2012	Alisa	33	30--39	41	4	37	0	0.0975609756	0.9024390244	0
2013	Alisa	34	30--39	11	1	10	0	0.0909090909	0.9090909091	0
2007	allakantralla	33	30--39	32	5	25	2	0.15625	0.78125	0.0625
2008	allakantralla	34	30--39	86	4	79	3	0.0465116279	0.9186046512	0.0348837209
2010	allakantralla	36	30--39	18	0	18	0	0	1	0
2004	Alle	36	30--39	10	2	6	2	0.2	0.6	0.2
2006	Alle	38	30--39	13	0	11	2	0	0.8461538462	0.1538461538
2007	Alle	39	30--39	52	1	48	3	0.0192307692	0.9230769231	0.0576923077
2008	Alle	40	40--49	16	0	16	0	0	1	0
2009	Alle	41	40--49	11	0	11	0	0	1	0
2019	Ällingen	51	50--59	15	0	4	11	0	0.2666666667	0.7333333333
2012	Älskardig	22	20--29	11	7	0	4	0.6363636364	0	0.3636363636
2013	amanda h	26	20--29	10	0	0	10	0	0	1
2014	Amanda84	31	30--39	53	1	52	0	0.0188679245	0.9811320755	0
2015	Amanda84	32	30--39	16	0	16	0	0	1	0
2006	Amandia	26	20--29	24	0	0	24	0	0	1
2011	Ambrooke	23	20--29	11	0	11	0	0	1	0
2011	Ampellilja	23	20--29	18	15	1	2	0.8333333333	0.0555555556	0.1111111111
2012	Ampellilja	24	20--29	20	9	11	0	0.45	0.55	0
2013	Ampellilja	25	20--29	48	26	21	1	0.5416666667	0.4375	0.0208333333
2010	Amy1983	28	20--29	33	1	2	30	0.0303030303	0.0606060606	0.9090909091
2011	Amy1983	29	20--29	49	2	1	46	0.0408163265	0.0204081633	0.9387755102
2012	Amy1983	30	30--39	49	0	0	49	0	0	1
2011	An0nym0us	21	20--29	75	2	38	35	0.0266666667	0.5066666667	0.4666666667
2009	Anatha	32	30--39	91	4	86	1	0.043956044	0.9450549451	0.010989011
2010	Anatha	33	30--39	94	4	89	1	0.0425531915	0.9468085106	0.0106382979
2019	Andiie87	51	50--59	12	0	12	0	0	1	0
2017	AndreaBD	54	50--59	295	10	283	2	0.0338983051	0.9593220339	0.006779661
2018	AndreaBD	55	50--59	448	20	428	0	0.0446428571	0.9553571429	0
2019	AndreaBD	56	50--59	352	13	339	0	0.0369318182	0.9630681818	0
2020	AndreaBD	57	50--59	647	30	616	1	0.0463678516	0.9520865533	0.0015455951
2021	AndreaBD	58	50--59	103	3	100	0	0.0291262136	0.9708737864	0
