verb	signif	freq	max	min	span	s1signif	s1reversed	s1failedmodels	s1asym	s1mid	s1growth	s3signif	s3reversed	s3failedmodels	s3asym	s3mid	s3growth	s5signif	s5reversed	s5failedmodels	s5asym	s5mid	s5growth	agreement
lova	3	17232	0.203	0.07	0.133	0	false	583	0.234	2010	8.19	0	false	568	0.23	2010	8.1	0.006	false	549	0.236	2010	8.82	yes
avse	3	15918	0.392	0.217	0.175	0	false	602	0.389	2002	7.27	0	false	549	0.393	2002	7.74	0	false	557	0.402	2002	8.68	yes
orka	3	163512	0.993	0.985	0.008	0	true	621	0.986	2005	-5.33	0	true	559	0.986	2004	-5.34	0	true	549	0.986	2004	-5.58	yes
tendera	2	43575	0.114	0.042	0.072	0	false	604	0.102	2008	4.87	0.019	false	548	0.101	2008	4.85	0.161	false	513	0.102	2008	5.1	yes
fortsätta	2	179951	0.604	0.491	0.113	0	false	653	0.584	2000	2.42	0.027	false	607	0.585	1999	2.91	0.134	false	607	0.586	1998	3.45	yes
komma	2	3335078	0.67	0.432	0.239	0	false	642	0.644	2003	1.84	0.043	false	592	0.644	2002	2.06	0.24	false	564	0.644	2002	2.33	yes
förmå	2	12829	0.827	0.667	0.159	0	true	619	0.688	2003	-4.82	0.042	true	556	0.685	2002	-5.39	0.168	true	549	0.679	2002	-6.48	yes
låtsas	2	29031	1	0.981	0.019	0.012	true	605	0.986	2005	-0.14	0.029	true	556	0.986	2004	-0.86	0.077	true	539	0.986	2004	-1.26	yes
lyckas	2	309822	0.989	0.978	0.01	NA			0	0	0	0.011	false	656	0.987	2032	-1.43	0.041	false	643	0.987	2034	-1.78	yes
ämna	2	10601	0.914	0.723	0.191	0	true	623	0.752	2005	-2.25	0.018	true	550	0.753	2005	-2.2	0.066	true	578	0.751	2004	-2.75	yes
hota	1	11179	0.283	0.154	0.128	0.001	false	630	0.244	1998	8.22	0.367	false	567	0.249	1997	9.15	NA			0	0	0	yes
planera	1	40545	0.144	0.06	0.084	0	true	638	0.062	2046	8.76	0.197	true	584	0.06	2046	9.09	0.314	true	605	0.063	2045	8.42	yes
riskera	1	64593	0.196	0.094	0.102	0	true	646	0.08	2045	11.4	0.118	true	582	0.081	2045	11.42	0.294	true	630	0.084	2045	11.11	yes
glömma	1	56484	0.785	0.716	0.069	0.006	false	643	0.758	2038	-4.94	0.404	false	593	0.758	2040	-5.27	0.397	false	603	0.758	2041	-5.77	yes
behaga	1	4771	0.914	0.83	0.083	0.01	true	610	0.861	2003	-1.85	0.066	true	539	0.861	2003	-1.97	0.237	true	562	0.861	2002	-2.4	yes
vägra	1	190341	0.831	0.783	0.048	0.001	true	609	0.804	2031	3.87	0.371	true	577	0.805	2031	3.71	0.361	true	609	0.805	2031	3.89	yes
sluta	1	148165	0.913	0.885	0.028	0.011	false	646	0.902	1998	1.6	0.364	false	636	0.902	1998	1.61	0.355	false	645	0.901	1998	1.54	yes
idas	1	4396	0.987	0.935	0.052	0.043	false	653	0.967	2026	-0.66	0.203	false	616	0.967	2028	-1.03	0.184	false	614	0.967	2030	-1.35	yes
slippa	1	132575	0.972	0.959	0.013	0.002	false	692	0.968	1996	1.82	NA			0	0	0	NA			0	0	0	yes
försöka	1	1112479	0.975	0.962	0.013	0.028	false	645	0.971	2001	0.53	0.234	true	569	0.969	2033	5.47	0.125	true	594	0.969	2032	4.49	yes
hinna	1	106570	0.993	0.981	0.012	0.009	true	581	0.985	2003	-5.33	0.268	true	563	0.985	2002	-6.33	0.232	true	526	0.985	2003	-5.16	yes
börja	1	1299462	0.989	0.956	0.033	0.014	false	656	0.987	2025	-0.36	0.16	false	598	0.987	2029	-1.26	0.201	false	607	0.987	2033	-2.07	yes
våga	1	205454	0.994	0.991	0.004	0.186	true	622	0.991	1978	-26.84	0.241	false	653	0.995	2216	-32.21	0.04	false	640	0.993	2069	-6.67	yes
bruka	1	876214	1	0.999	0.001	0.041	true	601	0.999	2005	-3.62	0.365	true	600	0.999	2005	-3.22	0.437	true	544	0.999	2005	-3.15	yes
råka	1	197170	1	0.997	0.003	0	true	595	0.998	2015	-7.49	0.276	false	666	1.001	2187	-27.52	0.367	true	534	0.998	2015	-7.57	yes
förefalla	1	13615	0.967	0.919	0.047	0.072	true	581	0.946	2026	2.81	0.04	true	560	0.946	2027	3.12	0.103	true	544	0.946	2027	2.92	yes
behöva	0	621498	0.999	0.998	0.001	0.166	true	609	0.998	1987	-18.87	0.414	true	561	0.998	1993	-11.27	0.414	true	556	0.998	1993	-10.6	yes
torde	0	58040	1	0.999	0.001	NA			0	0	0	0.281	true	595	1	2007	-0.41	0.245	true	519	1	2008	-1.32	yes
