agebin	total	v1abs	v2abs	v3abs	v1rel	v2rel	v3rel
<20	595.0	65.0	230.0	300.0	0.1092436974789916	0.3865546218487395	0.5042016806722689
20--29	14125.0	1938.0	8928.0	3259.0	0.13720353982300884	0.6320707964601769	0.23072566371681416
30--39	24947.0	1481.0	19044.0	4422.0	0.05936585561390147	0.7633783621277107	0.17725578225838778
40--49	11922.0	792.0	8964.0	2166.0	0.06643180674383492	0.7518872672370408	0.1816809260191243
50--59	4171.0	386.0	3359.0	426.0	0.09254375449532486	0.8053224646367777	0.10213378086789739
>60	854.0	27.0	817.0	10.0	0.03161592505854801	0.9566744730679156	0.0117096018735363
