verb	v2rel_2009	best_model	r2	slope	range	tau
anse	0.9280205656	lin	0.3200550692121411	-0.0009890249018796949	0.037055335999999994	-0.38947368421052636
avse	0.3166666667	lin			0.297648013	
behaga	0.8064097012	lin	0.013790744804702436	0.0007058015839097851	0.13576787490000009	-0.010526315789473686
behöva	0.9987727381	log	0.3114795488630055	0.00028486418353986296	0.001712749399999991	0.3789473684210527
besluta	0.0421245421	lin			0.1212121212	
bruka	0.9996244348	log	0.4773527928984074	0.000273321117529666	0.0014514917999999266	0.3473684210526316
börja	0.9896794828	log	0.831879414819876	0.005350232957883363	0.01690415710000004	0.568421052631579
fortsätta	0.6109474428	log	0.9369011843098793	0.058166404299916166	0.1614699797	0.8210526315789475
förefalla	0.9583333333	lin			0.08333333330000003	
förmå	0.7486187845	lin			0.30762250459999996	
försöka	0.9511181613	log	0.9791024966952505	0.01859311216550267	0.05684667099999996	0.905263157894737
glömma	0.8533181239	lin	0.12615514938324862	-0.001063839544586476	0.057854272199999945	-0.31578947368421056
hinna	0.9910366209	log	0.8196842970082312	0.005263907926548237	0.020247793600000064	0.5894736842105264
hota	0.1172022684	lin			0.21296296299999998	
idas	0.9748322148	lin			0.05555555560000003	
komma	0.6050568684	log	0.936538545774557	0.11556734171469511	0.3435202202	0.7473684210526317
lova	0.1332991541	lin	0.023449455099029463	0.0003863781739097757	0.05532196340000001	0.0736842105263158
lyckas	0.9879840392	log	0.6921546434526726	0.004984017262804294	0.02290498969999999	0.3789473684210527
låtsas	0.9822616408	lin			0.019189602500000014	
orka	0.9903214869	log	0.3631142690622781	0.003128282823482497	0.01911180719999994	0.16842105263157897
planera	0.0752875566	lin	0.17398817419625226	0.0012837379537593992	0.0752855693	0.4421052631578948
riskera	0.0981404959	log	0.4886147033022241	0.02661066288482815	0.1609632446	0.5157894736842106
råka	0.9992008852	log	0.023039160623129922	-0.00010434801781287979	0.0018096037999999481	-0.0477468698458148
slippa	0.9786260014	sqrt	0.005282169742844038	0.0003266372638892057	0.016122460900000024	0.03157894736842106
sluta	0.9348181242	log	0.8409536225118551	0.015195149863936717	0.056939058599999925	0.5894736842105264
tendera	0.0602115541	lin			0.08631823829999999	
våga	0.9955034681	lin	0.013213991517087855	-2.4051961353384815e-05	0.005098807099999991	-0.08421052631578949
vägra	0.8511276099	log	0.7513323296793916	0.024451527284975863	0.08343727169999993	0.6315789473684211
ämna	0.8212290503	lin			0.21394799060000003	
önska	0.8294629898	log	0.2205621371924636	0.018012866668688815	0.13629044060000006	0.20000000000000004
