verb	freq	asym	mid	growth	rp	max-min	max	failed	residuals
planera	46827.0	0.0	0.0	0.0	NA	0.03692	0.10515		
lova	30644.0	0.0	0.0	0.0	NA	0.03647	0.14488		
tendera	11187.0	0.0	0.0	0.0	NA	0.04182	0.10119		
riskera	32748.0	0.0	0.0	0.0	NA	0.04065	0.14132		
fortsätta	137762.0	0.69524	1993.84843	7.63288	0.0	0.12127	0.67653	6388	0.05025352644516978
komma	2519646.0	0.68409	2001.70862	3.48271	0.0	0.21799	0.68617	6505	0.1554100759920961
glömma	113035.0	0.8539	2035.65911	-4.57269	0.0	0.05116	0.85834	6652	0.0813247761054482
vägra	213407.0	0.86902	1992.30644	4.63994	0.0	0.06392	0.87166	6701	0.0659192335686577
anse	17444.0	0.86902	1992.30644	4.63994	0.0002	0.01867	0.92698	6347	0.0659192335686577
sluta	187244.0	0.9347	1992.90335	2.72766	0.0	0.01567	0.93656	7068	0.029630545018023202
slippa	228226.0	0.97618	1994.70434	1.95983	0.0024	0.01064	0.97954	6749	0.03372982602525609
försöka	931759.0	0.97216	1977.93643	8.2738	0.0	0.03451	0.96779	6544	0.012377158663554488
låtsas	9305.0	0.97216	1977.93643	8.2738	0.0	0.0097	0.99003	6388	0.012377158663554488
lyckas	170580.0	0.98935	1988.3925	3.22851	0.0	0.00812	0.9902	7067	0.01164396513445598
hinna	231128.0	0.99149	1988.25552	3.34455	0.0	0.00957	0.99284	7081	0.013669137137189091
börja	1659893.0	0.99169	1988.33098	3.59564	0.0	0.01132	0.99167	7112	0.011858508857078398
orka	241951.0	0.98869	2050.08962	-4.50575	0.014	0.00413	0.99028	6825	0.019347497486667864
våga	172470.0	0.98869	2050.08962	-4.50575	0.2636	0.0016	0.99545	7364	0.019347497486667864
behöva	779085.0	0.9988	1987.2884	2.20426	0.0005	0.00063	0.99897	7702	0.001644349760228092
bruka	1054833.0	0.9996	1989.07147	1.85949	0.0013	0.00037	0.99968	7865	0.0010906339841891821
råka	130313.0	0.99921	2037.3264	-1.93073	0.0104	0.00098	0.99961	7255	0.003710955802078364
