construction	freq, K	slope	r2	max-min	max
hota	11	0.00321	0.51	0.09	0.25
planera	41	0.0031	0.66	0.07	0.13
lova	17	0.00619	0.93	0.12	0.19
tendera	44	0.00318	0.79	0.06	0.1
riskera	65	0.00486	0.77	0.09	0.19
avse	16	0.0073	0.91	0.15	0.37
fortsätta	180	0.00314	0.6	0.09	0.6
komma	3335	0.0064	0.45	0.2	0.67
förmå	13	-0.00632	0.82	0.15	0.82
glömma	56	-0.0013	0.2	0.05	0.78
vägra	190	0.00117	0.48	0.04	0.83
anse	39	-0.00202	0.8	0.04	0.96
sluta	148	0.00032	0.06	0.02	0.91
slippa	133	0.00021	0.21	0.01	0.97
försöka	1112	0.00022	0.48	0.01	0.97
låtsas	29	-0.00014	0.14	0.01	0.99
lyckas	310	-9.0e-05	0.2	0.01	0.99
hinna	107	-0.00028	0.49	0.01	0.99
börja	1299	-0.00034	0.22	0.02	0.99
orka	164	-0.00034	0.88	0.01	0.99
våga	205	-6.0e-05	0.28	0.0	0.99
behöva	621	-2.0e-05	0.24	0.0	1.0
bruka	876	-2.0e-05	0.23	0.0	1.0
råka	197	-7.0e-05	0.6	0.0	1.0
torde	58	-1.0e-05	0.19	0.0	1.0
förefalla	14	0.00071	0.46	0.02	0.96
