unique_id	token_id	word	pos	pos_correct	deprel	deprel_correct	dephead_correct	lemma_correct	comment	maincorpus	subcorpus
77	8	de	PN		SS					familjeliv	FAMILJELIV-MEDLEM-PLANERARBARN
78	31	de	PN		SS					familjeliv	FAMILJELIV-MEDLEM-PLANERARBARN
79	5	de	PN		SS					familjeliv	FAMILJELIV-MEDLEM-VANTARBARN
80	3	de	PN		SS					familjeliv	FAMILJELIV-MEDLEM-VANTARBARN
81	6	de	PN		SS					familjeliv	FAMILJELIV-PAPPAGRUPP
82	9	de	PN		SS					familjeliv	FAMILJELIV-PAPPAGRUPP
83	35	de	PN		SS					familjeliv	FAMILJELIV-PLANERARBARN
84	2	de	PN		SS					familjeliv	FAMILJELIV-PLANERARBARN
85	8	de	PN		SS					familjeliv	FAMILJELIV-SEXSAMLEVNAD
86	1	De	PN		SS					familjeliv	FAMILJELIV-SEXSAMLEVNAD
87	11	de	PN		SS					familjeliv	FAMILJELIV-SVARTATTFABARN
88	19	de	PN		SS					familjeliv	FAMILJELIV-SVARTATTFABARN
89	5	de	PN		SS					flashback	FLASHBACK-DATOR
90	6	de	PN		SS					flashback	FLASHBACK-DATOR
91	7	de	PN		SS					flashback	FLASHBACK-DROGER
92	10	de	PN		SS					flashback	FLASHBACK-DROGER
93	10	de	PN		SS					flashback	FLASHBACK-EKONOMI
94	9	de	PN		SS					flashback	FLASHBACK-EKONOMI
95	12	de	PN		SS					flashback	FLASHBACK-FLASHBACK
96	1	De	PN		SS					flashback	FLASHBACK-FLASHBACK
97	24	de	PN		SS					flashback	FLASHBACK-FORDON
98	8	de	PN		SS					flashback	FLASHBACK-FORDON
99	5	de	PN		SS					flashback	FLASHBACK-HEM
100	16	de	PN		SS					flashback	FLASHBACK-HEM
101	9	de	PN		SS					flashback	FLASHBACK-KULTUR
102	16	de	PN		SS					flashback	FLASHBACK-KULTUR
103	19	de	PN		SS					flashback	FLASHBACK-LIVSSTIL
104	22	de	PN		SS					flashback	FLASHBACK-LIVSSTIL
105	17	de	PN		SS					flashback	FLASHBACK-MAT
106	3	de	PN		SS					flashback	FLASHBACK-MAT
107	30	de	PN		SS					flashback	FLASHBACK-OVRIGT
108	3	de	PN		SS					flashback	FLASHBACK-OVRIGT
109	1	De	PN		SS					flashback	FLASHBACK-POLITIK
110	14	de	PN		SS					flashback	FLASHBACK-POLITIK
111	15	de	PN		SS					flashback	FLASHBACK-RESOR
112	14	de	PN		SS					flashback	FLASHBACK-RESOR
113	13	de	PN		SS					flashback	FLASHBACK-SAMHALLE
114	5	de	PN		SS					flashback	FLASHBACK-SAMHALLE
115	4	de	PN		SS					flashback	FLASHBACK-SEX
116	2	de	PN		SS					flashback	FLASHBACK-SEX
117	9	de	PN		SS					flashback	FLASHBACK-SPORT
118	6	de	PN		SS					flashback	FLASHBACK-SPORT
119	3	de	PN		SS					flashback	FLASHBACK-VETENSKAP
120	1	De	PN		SS					flashback	FLASHBACK-VETENSKAP
121	20	de	PN		SS					gp	GP2001
122	25	de	PN		SS					gp	GP2001
123	6	de	PN		SS					gp	GP2002
124	24	de	PN		SS					gp	GP2002
125	18	de	PN		SS					gp	GP2003
126	29	de	PN		SS					gp	GP2003
127	1	De	PN		SS					gp	GP2004
128	4	de	PN		SS					gp	GP2004
129	1	De	PN		SS					gp	GP2005
130	1	De	PN		SS					gp	GP2005
131	1	De	PN		SS					gp	GP2006
132	1	De	PN		SS					gp	GP2006
133	1	De	PN		SS					gp	GP2007
134	11	de	PN		SS					gp	GP2007
135	18	de	PN		SS					gp	GP2008
136	13	de	PN		SS					gp	GP2008
137	1	De	PN		SS					gp	GP2009
138	19	de	PN		SS					gp	GP2009
139	4	de	PN		SS					gp	GP2010
140	3	de	PN		SS					gp	GP2010
141	3	de	PN		SS					gp	GP2011
142	4	de	PN		SS					gp	GP2011
143	1	De	PN		SS					gp	GP2012
144	9	de	PN		SS					gp	GP2012
145	11	de	PN		SS					gp	GP2013
146	8	de	PN		SS					gp	GP2013
147	1	De	PN		SS					svt	SVT-2004
148	11	de	PN		SS					svt	SVT-2004
149	14	de	PN		SS					svt	SVT-2005
150	17	de	PN		SS					svt	SVT-2005
151	1	De	PN		SS					svt	SVT-2006
152	15	de	PN		SS					svt	SVT-2006
153	10	de	PN		SS					svt	SVT-2007
154	21	de	PN		SS					svt	SVT-2007
155	1	De	PN		SS					svt	SVT-2008
156	4	de	PN		SS					svt	SVT-2008
157	8	de	PN		SS					svt	SVT-2009
158	4	de	PN		SS					svt	SVT-2009
159	14	de	PN		SS					svt	SVT-2010
160	4	de	PN		SS					svt	SVT-2010
161	1	De	PN		SS					svt	SVT-2011
162	5	de	PN		SS					svt	SVT-2011
163	12	de	PN		SS					svt	SVT-2012
164	1	De	PN		SS					svt	SVT-2012
165	1	De	PN		SS					svt	SVT-2013
166	3	de	PN		SS					svt	SVT-2013
167	11	de	PN		SS					svt	SVT-2014
168	18	de	PN		SS					svt	SVT-2014
169	1	De	PN		SS					svt	SVT-2015
170	1	De	PN		SS					svt	SVT-2015
171	5	de	PN		SS					svt	SVT-2016
172	4	de	PN		SS					svt	SVT-2016
173	4	de	PN		SS					svt	SVT-2017
174	9	de	PN		SS					svt	SVT-2017
175	1	De	PN		SS					svt	SVT-2018
176	15	de	PN		SS					svt	SVT-2018
177	8	de	PN		SS					svt	SVT-2019
178	11	de	PN		SS					svt	SVT-2019
179	6	de	PN		SS					svt	SVT-2020
180	6	de	PN		SS					svt	SVT-2020
181	2	de	PN		SS					svt	SVT-2021
182	16	de	PN		SS					svt	SVT-2021
183	4	de	PN		SS					twitter	TWITTER-2015
184	4	de	PN		SS					twitter	TWITTER-2015
185	8	de	PN		SS					twitter	TWITTER-2016
186	20	de	PN		SS					twitter	TWITTER-2016
187	3	de	PN		SS					twitter	TWITTER-2017
188	17	de	PN		SS					twitter	TWITTER-2017
189	10	de	PN		SS					twitter	TWITTER
190	10	de	PN		SS					twitter	TWITTER
