verb	signif	freq	max	min	span	s1signif	s1reversed	s1failedmodels	s1asym	s1mid	s1growth	s3signif	s3reversed	s3failedmodels	s3asym	s3mid	s3growth	s5signif	s5reversed	s5failedmodels	s5asym	s5mid	s5growth	agreement
planera	0	22205	0.138	0.053	0.085	NaN	true	0	0.035	2072	19.54	NaN	true	0	0.022	2083	25.13	NaN	true	0	0.027	2082	24.29	yes
riskera	0	9994	0.196	0.067	0.129	NaN	true	0	0.109	2034	4.01	NaN	true	0	0.109	2034	4.09	NaN	true	0	0.105	2044	6.99	yes
fortsätta	0	62137	0.742	0.53	0.211	NaN	false	0	0.733	1999	6.03	NaN	false	0	0.73	1998	6.07	NaN	false	0	0.74	1997	6.95	yes
komma	0	1238724	0.761	0.393	0.368	NaN	false	0	0.753	2004	3.18	NaN	false	0	0.756	2003	3.48	NaN	false	0	0.76	2003	3.94	yes
glömma	0	66090	0.915	0.831	0.084	NaN	false	0	0.894	1975	9.73	NaN	false	0	0.895	1969	11.47	NaN	false	0	0.948	1917	38.84	yes
vägra	0	99587	0.939	0.78	0.16	NaN	false	0	0.896	1994	5.07	NaN	false	0	0.896	1993	5.44	NaN	false	0	0.898	1991	6.18	yes
sluta	0	93703	0.971	0.921	0.05	NaN	false	0	0.962	1983	6.94	NA			0.0	0	0.0	NaN	false	0	0.961	1982	6.97	yes
slippa	0	129171	0.988	0.968	0.02	NaN	false	0	0.982	1988	3.83	NaN	false	0	0.982	1986	4.26	NaN	false	0	0.983	1983	4.9	yes
försöka	0	418478	0.963	0.918	0.045	NaN	false	0	0.956	1995	2.83	NaN	false	0	0.958	1988	4.52	NaN	false	0	0.959	1982	6.09	yes
lyckas	0	84837	1.0	0.981	0.019	NaN	true	0	0.975	2010	10.87	NaN	true	0	0.978	2013	10.31	NaN	true	0	0.982	2017	8.61	yes
hinna	0	138582	1.0	0.981	0.019	NaN	false	0	0.994	1983	4.5	NaN	false	0	0.996	1962	9.03	NaN	false	0	0.996	1956	10.3	yes
börja	0	964358	0.997	0.975	0.022	NaN	false	0	0.994	1991	3.28	NaN	false	0	0.994	1989	3.77	NaN	false	0	0.994	1985	4.51	yes
orka	0	116575	0.996	0.977	0.019	NaN	false	0	0.99	1995	1.65	NA			0.0	0	0.0	NaN	false	0	0.99	1993	2.04	yes
våga	0	60035	1.0	0.986	0.014	NA			0.0	0	0.0	NaN	false	0	0.997	2251	-40.18	NaN	false	0	0.997	2196	-29.46	yes
behöva	0	349918	1.0	0.997	0.003	NaN	false	0	0.999	1985	2.61	NaN	false	0	0.999	1988	2.21	NA			0.0	0	0.0	yes
bruka	0	558654	1.0	0.998	0.002	NA			0.0	0	0.0	NaN	false	0	1.0	2039	-2.23	NaN	false	0	1.0	2042	-2.67	yes
råka	0	47897	1.0	0.99	0.01	NA			0.0	0	0.0	NaN	false	0	1.0	2028	-1.01	NaN	false	0	1.0	2031	-1.48	yes
