verb	freq	asym	mid	growth	rp	max-min	max	failed	residuals	reversed
planera	46827.0	0.92389	2035.10535	-3.55985	NaN	0.03692	0.93178	0	0.0003959441079810131	true
lova	30644.0	0.88603	2041.34852	-5.64311	NaN	0.03647	0.89159	0	0.00045638631944250053	true
tendera	11187.0	0.93348	2036.54353	-4.24724	NaN	0.04182	0.94063	0	0.00019159405779985223	true
riskera	32748.0	0.89907	2041.9254	-6.32733	NaN	0.04065	0.89933	0	0.0005283153722122722	true
fortsätta	137762.0	0.69524	1993.84843	7.63288	NaN	0.12127	0.67653	0	0.00018857780086749907	false
komma	2519646.0	0.89907	2041.9254	-6.32733	NaN	0.21799	0.53182	0	0.0005283153722122722	true
glömma	113035.0	0.8539	2035.65911	-4.57269	NaN	0.05116	0.85834	0	0.00043387675424316584	false
vägra	213407.0	0.86902	1992.30644	4.63994	NaN	0.06392	0.87166	0	0.0002848692680706456	false
anse	17444.0	0.10153	1991.28324	14.32294	NaN	0.01867	0.09169	0	4.9574733941080386e-05	true
sluta	187244.0	0.10153	1991.28324	14.32294	NaN	0.01567	0.07911	0	4.9574733941080386e-05	true
slippa	228226.0	0.10153	1991.28324	14.32294	NaN	0.01064	0.03109	0	4.9574733941080386e-05	true
försöka	931759.0	0.97216	1977.93643	8.2738	NaN	0.03451	0.96779	0	1.0839135757478876e-05	false
låtsas	9305.0	0.97216	1977.93643	8.2738	NaN	0.0097	0.99003	0	1.0839135757478876e-05	false
lyckas	170580.0	0.98935	1988.3925	3.22851	NaN	0.00812	0.9902	0	1.0652605926405151e-05	false
hinna	231128.0	0.99149	1988.25552	3.34455	NaN	0.00957	0.99284	0	1.754436248470805e-05	false
börja	1659893.0	0.99169	1988.33098	3.59564	NaN	0.01132	0.99167	0	9.813233590280437e-06	false
orka	241951.0	0.98869	2050.08962	-4.50575	NaN	0.00413	0.99028	0	2.547635102028462e-05	false
våga	172470.0	0.98869	2050.08962	-4.50575	NaN	0.0016	0.99545	0	2.547635102028462e-05	false
behöva	779085.0	0.9988	1987.2884	2.20426	NaN	0.00063	0.99897	0	2.4088076248735855e-07	false
bruka	1054833.0	0.9996	1989.07147	1.85949	NaN	0.00037	0.99968	0	7.56736612008774e-08	false
råka	130313.0	0.99921	2037.3264	-1.93073	NaN	0.00098	0.99961	0	9.942688358294673e-07	false
