year	c_to_c	c_to_i	i_to_c	i_to_i	n_to_c	n_to_i
2000	0.0	0.0	0.0	0.0	1.0	1.0
2001	0.0	0.0	0.0	0.0	1.0	0.0
2002	0.0	0.0	0.0	0.0	1.0	2.0
2003	0.0	0.0	0.0	0.0	12.0	2.0
2004	14.0	0.0	0.0	0.0	45.0	5.0
2005	132.0	2.0	0.0	0.0	163.0	11.0
2006	237.0	2.0	0.0	0.0	396.0	25.0
2007	460.0	3.0	1.0	0.0	635.0	15.0
2008	617.0	27.0	15.0	6.0	837.0	46.0
2009	802.0	35.0	20.0	3.0	1332.0	72.0
2010	1751.0	194.0	71.0	24.0	2124.0	284.0
2011	1529.0	423.0	283.0	235.0	1864.0	760.0
2012	504.0	442.0	335.0	524.0	1201.0	1188.0
2013	399.0	443.0	381.0	804.0	985.0	1438.0
2014	183.0	461.0	458.0	2539.0	556.0	2886.0
2015	114.0	311.0	326.0	2941.0	264.0	2631.0
2016	42.0	231.0	235.0	2365.0	208.0	2853.0
2017	6.0	112.0	83.0	1790.0	119.0	2355.0
2018	46.0	163.0	212.0	2589.0	180.0	2941.0
2019	15.0	120.0	130.0	3065.0	141.0	3216.0
2020	18.0	86.0	127.0	3227.0	105.0	3574.0
2021	4.0	157.0	138.0	4343.0	116.0	3841.0
2022	12.0	232.0	201.0	5328.0	135.0	4516.0
