unique_id	token_id	word	pos	pos_correct	deprel	deprel_correct	dephead_correct	lemma_correct	comment	maincorpus	subcorpus
1	10	de	PN		PA					bloggmix	BLOGGMIX1998
2	12	de	PN		PA					bloggmix	BLOGGMIX1999
3	22	de	PN		OO					bloggmix	BLOGGMIX1999
4	21	de	PN		PA					bloggmix	BLOGGMIX2000
5	16	de	PN		IO					bloggmix	BLOGGMIX2000
6	6	de	PN		IO					bloggmix	BLOGGMIX2001
7	14	de	PN		PA					bloggmix	BLOGGMIX2001
8	10	de	PN		PA					bloggmix	BLOGGMIX2002
9	14	de	PN		OO					bloggmix	BLOGGMIX2002
10	8	de	PN		PA					bloggmix	BLOGGMIX2003
11	20	de	PN		PA					bloggmix	BLOGGMIX2003
12	35	de	PN		PA					bloggmix	BLOGGMIX2004
13	6	de	PN		PA					bloggmix	BLOGGMIX2004
14	8	de	PN		PA					bloggmix	BLOGGMIX2005
15	5	de	PN		OO					bloggmix	BLOGGMIX2005
16	17	de	PN		OO					bloggmix	BLOGGMIX2006
17	38	de	PN		OO					bloggmix	BLOGGMIX2006
18	4	de	PN		IO					bloggmix	BLOGGMIX2007
19	45	de	PN		OO					bloggmix	BLOGGMIX2007
20	15	de	PN		PA					bloggmix	BLOGGMIX2008
21	3	de	PN		PA					bloggmix	BLOGGMIX2008
22	19	de	PN		IO					bloggmix	BLOGGMIX2009
23	22	de	PN		OO					bloggmix	BLOGGMIX2009
24	25	de	PN		OO					bloggmix	BLOGGMIX2010
25	11	de	PN		OO					bloggmix	BLOGGMIX2010
26	22	de	PN		OO					bloggmix	BLOGGMIX2011
27	5	de	PN		IO					bloggmix	BLOGGMIX2011
28	11	de	PN		PA					bloggmix	BLOGGMIX2012
29	19	de	PN		PA					bloggmix	BLOGGMIX2012
30	23	de	PN		OO					bloggmix	BLOGGMIX2013
31	6	de	PN		IO					bloggmix	BLOGGMIX2013
32	31	de	PN		IO					bloggmix	BLOGGMIX2014
33	35	de	PN		PA					bloggmix	BLOGGMIX2014
34	42	de	PN		OO					bloggmix	BLOGGMIX2015
35	9	de	PN		IO					bloggmix	BLOGGMIX2015
36	5	de	PN		OO					bloggmix	BLOGGMIX2016
37	8	de	PN		PA					bloggmix	BLOGGMIX2016
38	11	de	PN		PA					bloggmix	BLOGGMIX2017
39	4	de	PN		OO					bloggmix	BLOGGMIX2017
40	9	de	PN		PA					da	DA
41	3	de	PN		PA					da	DA
42	37	de	PN		IO					familjeliv	FAMILJELIV-ADOPTION
43	36	de	PN		PA					familjeliv	FAMILJELIV-ADOPTION
44	8	de	PN		OO					familjeliv	FAMILJELIV-ALLMANNA-EKONOMI
45	5	de	PN		OO					familjeliv	FAMILJELIV-ALLMANNA-EKONOMI
46	24	de	PN		OO					familjeliv	FAMILJELIV-ALLMANNA-FAMILJELIV
47	13	de	PN		OO					familjeliv	FAMILJELIV-ALLMANNA-FAMILJELIV
48	5	de	PN		OO					familjeliv	FAMILJELIV-ALLMANNA-FRITID
49	10	de	PN		PA					familjeliv	FAMILJELIV-ALLMANNA-FRITID
50	5	de	PN		OO					familjeliv	FAMILJELIV-ALLMANNA-HUSDJUR
51	9	de	PN		OO					familjeliv	FAMILJELIV-ALLMANNA-HUSDJUR
