verb	signif	freq	max	min	span	s1signif	s1reversed	s1failedmodels	s1asym	s1mid	s1growth	s3signif	s3reversed	s3failedmodels	s3asym	s3mid	s3growth	s5signif	s5reversed	s5failedmodels	s5asym	s5mid	s5growth	agreement
planera	3	22205	0.138	0.053	0.085	0.017	true	636	0.035	2072	19.54	0.011	true	586	0.022	2083	25.13	0.002	true	626	0.027	2082	24.29	yes
riskera	1	9994	0.196	0.067	0.129	0.083	true	642	0.109	2034	4.01	0.009	true	598	0.109	2034	4.09	0.063	true	599	0.105	2044	6.99	yes
fortsätta	3	62137	0.742	0.53	0.211	0.0	false	628	0.733	1999	6.03	0.004	false	552	0.73	1998	6.07	0.02	false	569	0.74	1997	6.95	yes
komma	3	1238724	0.761	0.393	0.368	0.0	false	669	0.753	2004	3.18	0.0	false	556	0.756	2003	3.48	0.0	false	544	0.76	2003	3.94	yes
glömma	3	66090	0.915	0.831	0.084	0.0	false	602	0.894	1975	9.73	0.003	false	599	0.895	1969	11.47	0.027	false	632	0.948	1917	38.84	yes
vägra	3	99587	0.939	0.78	0.16	0.0	false	662	0.896	1994	5.07	0.0	false	576	0.896	1993	5.44	0.002	false	572	0.898	1991	6.18	yes
sluta	2	93703	0.971	0.921	0.05	0.0	false	660	0.962	1983	6.94	NA			0.0	0	0.0	0.036	false	597	0.961	1982	6.97	yes
slippa	2	129171	0.988	0.968	0.02	0.0	false	669	0.982	1988	3.83	0.01	false	615	0.982	1986	4.26	0.164	false	607	0.983	1983	4.9	yes
försöka	3	418478	0.963	0.918	0.045	0.0	false	662	0.956	1995	2.83	0.002	false	561	0.958	1988	4.52	0.016	false	617	0.959	1982	6.09	yes
lyckas	1	84837	1.0	0.981	0.019	0.002	true	611	0.975	2010	10.87	0.238	true	546	0.978	2013	10.31	0.362	true	523	0.982	2017	8.61	yes
hinna	0	138582	1.0	0.981	0.019	0.069	false	607	0.994	1983	4.5	0.097	false	633	0.996	1962	9.03	0.146	false	628	0.996	1956	10.3	yes
börja	3	964358	0.997	0.975	0.022	0.0	false	709	0.994	1991	3.28	0.0	false	591	0.994	1989	3.77	0.002	false	615	0.994	1985	4.51	yes
orka	0	116575	0.996	0.977	0.019	0.211	false	644	0.99	1995	1.65	NA			0.0	0	0.0	0.293	false	596	0.99	1993	2.04	yes
våga	2	60035	1.0	0.986	0.014	NA			0.0	0	0.0	0.041	false	633	0.997	2251	-40.18	0.045	false	631	0.997	2196	-29.46	yes
behöva	0	349918	1.0	0.997	0.003	0.171	false	725	0.999	1985	2.61	0.183	false	694	0.999	1988	2.21	NA			0.0	0	0.0	yes
bruka	1	558654	1.0	0.998	0.002	NA			0.0	0	0.0	0.037	false	700	1.0	2039	-2.23	0.174	false	672	1.0	2042	-2.67	yes
råka	0	47897	1.0	0.99	0.01	NA			0.0	0	0.0	0.131	false	634	1.0	2028	-1.01	0.221	false	628	1.0	2031	-1.48	yes
