verb1	verb2	cosine_distance	levenshtein_distance
komma	försöka	0.26187857409834947	0.1428571428571429
komma	fortsätta	0.36301630279316754	0.2222222222222222
komma	sluta	0.3639008376245394	0.19999999999999996
komma	planera	0.48837787756941897	0.1428571428571429
komma	slippa	0.35643208621183275	0.16666666666666663
komma	glömma	0.3376047984895716	0.5
komma	lova	0.38242395196338963	0.4
komma	riskera	0.3963700183637423	0.1428571428571429
komma	vägra	0.3997378879117558	0.19999999999999996
komma	behaga	0.5639744770534632	0.16666666666666663
försöka	fortsätta	0.2514077412627165	0.4444444444444444
försöka	sluta	0.23715032978022366	0.1428571428571429
försöka	planera	0.4685730957414205	0.1428571428571429
försöka	slippa	0.23954938078012722	0.1428571428571429
försöka	glömma	0.36208365375124996	0.1428571428571429
försöka	lova	0.3996379632428503	0.1428571428571429
försöka	riskera	0.2927028119261099	0.1428571428571429
försöka	vägra	0.30878973295883594	0.1428571428571429
försöka	behaga	0.5040677403131786	0.1428571428571429
fortsätta	sluta	0.22939851290814728	0.33333333333333337
fortsätta	planera	0.49421329143866644	0.11111111111111116
fortsätta	slippa	0.4216171815367519	0.11111111111111116
fortsätta	glömma	0.44582767912287935	0.11111111111111116
fortsätta	lova	0.41125527891792035	0.2222222222222222
fortsätta	riskera	0.3538367320198218	0.33333333333333337
fortsätta	vägra	0.3620756916010831	0.2222222222222222
fortsätta	behaga	0.554158066492523	0.11111111111111116
sluta	planera	0.5469075032873885	0.2857142857142857
sluta	slippa	0.27587738025121045	0.5
sluta	glömma	0.3417796645046668	0.33333333333333337
sluta	lova	0.3253397573114821	0.4
sluta	riskera	0.27860848834022556	0.2857142857142857
sluta	vägra	0.24268578550315467	0.19999999999999996
sluta	behaga	0.4856565421985828	0.16666666666666663
planera	slippa	0.5080577702761452	0.2857142857142857
planera	glömma	0.4656449412252269	0.2857142857142857
planera	lova	0.5653868286772029	0.2857142857142857
planera	riskera	0.5508324675693623	0.4285714285714286
planera	vägra	0.6595715707495493	0.2857142857142857
planera	behaga	0.6784596835237691	0.1428571428571429
slippa	glömma	0.3634963490854173	0.33333333333333337
slippa	lova	0.4184648390516881	0.33333333333333337
slippa	riskera	0.18200715316039606	0.1428571428571429
slippa	vägra	0.2828053821418596	0.16666666666666663
slippa	behaga	0.5452517779373507	0.16666666666666663
glömma	lova	0.3070221878113987	0.33333333333333337
glömma	riskera	0.3195177492939638	0.1428571428571429
glömma	vägra	0.4392660605366244	0.16666666666666663
glömma	behaga	0.5185329794660439	0.16666666666666663
lova	riskera	0.4488339220851608	0.1428571428571429
lova	vägra	0.48927240290969043	0.19999999999999996
lova	behaga	0.4925227706552485	0.16666666666666663
riskera	vägra	0.2703751547434595	0.2857142857142857
riskera	behaga	0.5303967215207723	0.1428571428571429
vägra	behaga	0.45311460293065087	0.16666666666666663
