verb	freq	logresiduals	linresiduals	best
hota	11179.0	0.006799883882658482	0.007477824088844512	log
planera	40545.0	0.006799883882658482	0.0037653757271060586	lin
lova	17232.0	0.0018397350977935613	0.002139756766019565	log
tendera	43575.0	0.001186713952734894	0.002029014757949038	log
riskera	64593.0	0.001186713952734894	0.005383214112073014	log
avse	15918.0	0.0019129416641012966	0.004039676894465154	log
fortsätta	179951.0	0.0015818710056946807	0.005069121368824572	log
komma	3335078.0	0.008713357275574908	0.03830303812361313	log
förmå	12829.0	0.008713357275574908	0.006723971102089825	lin
glömma	56484.0	0.004073333440217206	0.005017517556790263	log
vägra	190341.0	0.004073333440217206	0.001144357634985598	lin
anse	39483.0	0.00030443580280798663	0.0008074403931588462	log
sluta	148165.0	0.0008490626893886071	0.0011752175305327285	log
slippa	132575.0	0.0008490626893886071	0.00012596310328370043	lin
försöka	1112479.0	0.0008490626893886071	3.870446083920987e-05	lin
låtsas	29031.0	0.0008490626893886071	9.678101548353464e-05	lin
lyckas	309822.0	6.378549741331127e-06	2.3509010910231307e-05	log
hinna	106570.0	6.378549741331127e-06	6.27717294213466e-05	log
börja	1299462.0	5.882114289781937e-05	0.00031044623636382237	log
orka	163512.0	5.882114289781937e-05	1.1858672901484896e-05	lin
våga	205454.0	6.7319391836589216e-06	6.745601271318991e-06	log
behöva	621498.0	6.7319391836589216e-06	8.480831251909035e-07	lin
bruka	876214.0	6.7319391836589216e-06	6.203848858969627e-07	lin
råka	197170.0	2.328862494364864e-06	2.3877181389513675e-06	log
torde	58040.0	2.328862494364864e-06	3.766499184082983e-07	lin
förefalla	13615.0	2.328862494364864e-06	0.0004572755001083605	log
