period	username	age	agebin	total	v1abs	v2abs	v1rel	v2rel
2010	Tecken	40	Gen2	12.0	11.0	1.0	0.9166666666666666	0.08333333333333333
2008	5barnsmamman	29	Gen2	11.0	6.0	5.0	0.5454545454545454	0.45454545454545453
2010	Butterscotch	35	Gen2	14.0	1.0	13.0	0.07142857142857142	0.9285714285714286
2009	Argo	39	Gen2	27.0	9.0	18.0	0.3333333333333333	0.6666666666666666
2004	morotsland	23	Gen3	13.0	8.0	5.0	0.6153846153846154	0.38461538461538464
2010	Teza73	36	Gen2	1.0	0.0	1.0	0.0	1.0
2010	mamita64	45	Gen1	62.0	9.0	53.0	0.14516129032258066	0.8548387096774194
2010	Argo	40	Gen2	38.0	6.0	32.0	0.15789473684210525	0.8421052631578947
2007	kjempejente	35	Gen2	23.0	23.0	0.0	1.0	0.0
2010	MammaG	40	Gen2	39.0	15.0	24.0	0.38461538461538464	0.6153846153846154
2007	Baronessan	32	Gen2	4.0	3.0	1.0	0.75	0.25
2018	fornminne	41	Gen2	11.0	7.0	4.0	0.6363636363636364	0.36363636363636365
2007	wildrose71	36	Gen2	4.0	1.0	3.0	0.25	0.75
2012	astro	34	Gen2	10.0	4.0	6.0	0.4	0.6
2008	Rimfolina	28	Gen3	1.0	1.0	0.0	1.0	0.0
2008	Pallas	34	Gen2	33.0	28.0	5.0	0.8484848484848485	0.15151515151515152
2008	Jonna79	28	Gen3	2.0	1.0	1.0	0.5	0.5
2010	pingstlilja	34	Gen2	5.0	1.0	4.0	0.2	0.8
2005	cii	19	Gen3	1.0	0.0	1.0	0.0	1.0
2009	Superizza	21	Gen3	1.0	0.0	1.0	0.0	1.0
2020	MrsPJ	36	Gen3	3.0	3.0	0.0	1.0	0.0
2010	Lilla Morran	26	Gen3	1.0	1.0	0.0	1.0	0.0
2005	Kewo	35	Gen2	3.0	1.0	2.0	0.3333333333333333	0.6666666666666666
2007	Missnööjd	32	Gen2	3.0	2.0	1.0	0.6666666666666666	0.3333333333333333
2007	Flissi	37	Gen2	4.0	1.0	3.0	0.25	0.75
2008	Smulu	29	Gen2	4.0	2.0	2.0	0.5	0.5
2017	Trillian80	31	Gen3	1.0	0.0	1.0	0.0	1.0
2009	TigerLinn	23	Gen3	10.0	2.0	8.0	0.2	0.8
2010	riboflavin	25	Gen3	13.0	6.0	7.0	0.46153846153846156	0.5384615384615384
2011	Dorian Ertymexx	38	Gen2	107.0	9.0	98.0	0.08411214953271028	0.9158878504672897
2008	Smurfan JM	22	Gen3	3.0	0.0	3.0	0.0	1.0
2012	ialia	28	Gen3	1.0	0.0	1.0	0.0	1.0
2008	Kloss	38	Gen2	17.0	1.0	16.0	0.058823529411764705	0.9411764705882353
2007	TigerLily	33	Gen2	7.0	1.0	6.0	0.14285714285714285	0.8571428571428571
2010	Rondo	40	Gen2	1.0	0.0	1.0	0.0	1.0
2007	Miss Cee	26	Gen3	13.0	8.0	5.0	0.6153846153846154	0.38461538461538464
2021	nnnnnnnn	51	Gen2	5.0	1.0	4.0	0.2	0.8
2008	annmin	47	Gen1	4.0	1.0	3.0	0.25	0.75
2008	Meline	38	Gen2	7.0	0.0	7.0	0.0	1.0
2005	Alfonsina	27	Gen2	10.0	8.0	2.0	0.8	0.2
2014	Erizajo	29	Gen3	5.0	2.0	3.0	0.4	0.6
2008	Urpan	27	Gen3	1.0	1.0	0.0	1.0	0.0
2009	glidan	37	Gen2	1.0	1.0	0.0	1.0	0.0
2015	Tecum	58	Gen1	10.0	2.0	8.0	0.2	0.8
2012	Erik76	35	Gen2	2.0	1.0	1.0	0.5	0.5
