username	datapoints_t	change	innov_start	innov_end	datapoints_i	datapoints_e
Strix m/94	31	1	0	0.6666666667	14	17
micro113	28	1	0	1	14	14
Japhy	28	1	0	1	13	15
bombacci	28	1	0	1	14	14
TheLucky	27	1	0	1	15	12
Drullknull	27	1	0	1	13	14
WordWarrior	26	1	0	0.75	13	13
Ankdammsman	25	1	0	1	10	15
CrispyKreem	25	1	0	0.5	13	12
Amor	25	1	0	1	13	12
Herostratos	24	1	0	1	13	11
mangne	24	1	0	0.8461538462	12	12
RedX	23	1	0	1	10	13
-Info-	23	1	0	1	9	14
longbow4y	23	1	0	1	11	12
Mad monk	23	1	0	1	10	13
Siegfrid	23	1	0	1	9	14
Drozd	23	0.9411764706	0.0588235294	1	13	10
Enoch.Thulin	23	0.1111111111	0.8888888889	1	11	12
Vintergrisen	22	1	0	1	10	12
Regulus	22	1	0	0	9	13
frange	22	1	0	0.6666666667	11	11
Hovslättsmannen	22	1	0	1	12	10
HusvagnSvensson	22	1	0	1	8	14
spoiler	21	1	0.75	1	12	9
Gefundenes F	21	1	0	1	9	12
S-hund temporär	21	1	0	0.2	13	8
Nostradumbass	21	1	0	1	9	12
Ola Schubert	21	1	0.3333333333	1	10	11
Kulturmarxist	21	0.3333333333	0.6666666667	1	9	12
Ratad	21	0	1	1	9	12
T-80U	20	1	1	1	8	12
skogshuggar3n	20	1	0	1	10	10
infidel	20	1	0	1	10	10
Knullkungen	20	1	0	1	11	9
volvo 240	20	1	0	1	7	13
Golonka	20	1	0	1	12	8
Lobengula	20	1	0	1	9	11
Pojken med guldbyxorna	20	0	1	1	7	13
Tinuviel	20	0	1	1	8	12
Europe	19	1	0	1	8	11
Bluebeast72	19	1	0	1	7	12
pe11e	19	1	0	1	11	8
Rektangel	19	1	0	1	10	9
Hegamon	19	1	0	1	9	10
jugbandblues	19	1	0	1	9	10
revodneb	19	1	0	0.75	8	11
Tammer	19	1	0	1	7	12
freeriderXII	19	1	0	1	7	12
Eoppoyz	19	1	0.3333333333	1	7	12
ChristianX	19	1	0	1	8	11
Fnysington	19	1	0	1	9	10
Hiitsme	19	0.8571428571	0.1428571429	1	7	12
Nebeltag	19	0.5	1	1	10	9
Wayahead	19	0.3333333333	1	1	9	10
Pansarvecket	19	0.3333333333	1	1	8	11
Herr Lindholm	19	0.3333333333	0	0	7	12
Pripps3.5	19	0.2307692308	0.7692307692	1	10	9
Fri	19	0.1666666667	0.8333333333	1	8	11
Rad-i-Kalle	19	0.0476190476	1	1	10	9
VitruvianskeMannen	19	0	1	1	7	12
mattep74	18	1	0	1	7	11
Genderbender	18	1	0.2	0	9	9
M Nordström	18	1	0	1	9	9
Varangian	18	1	0	1	8	10
sommarlov	18	1	0	0.5	9	9
NurseRatched	18	1	0	0.975	8	10
Batuta	18	1	0	1	8	10
Meiji	18	1	0	1	6	12
Bergakungen	18	1	1	1	6	12
Sun Ruler	18	1	0	1	9	9
EliasAlucard	18	1	0	1	7	11
grelin1999	18	0.3181818182	1	1	9	9
HerrGickhan	18	0.25	0.75	1	7	11
Sir Dwain	18	0.0909090909	0.9090909091	1	7	11
AutDisceAutDiscede	18	0	1	1	10	8
AlwaysAllIn	18	0	1	1	10	8
Kämpendahl	18	0	1	1	7	11
Tangentinkontinens	18	0	1	1	7	11
Zaedrews	18	0	1	1	7	11
different_trip	17	1	0	1	10	7
BigFatCone	17	1	0	1	6	11
Carl Serung	17	1	0	1	7	10
pollenper	17	1	0	1	8	9
Suecote	17	1	0	1	8	9
Sinestro	17	1	0	1	9	8
Konrad	17	1	0	1	8	9
Gabriel Knight	17	1	0	1	7	10
8711	17	1	0	0	8	9
Ondahamstern	17	1	0	1	8	9
ImMcGyverLOL	17	1	0	1	8	9
lillskrot	17	1	0	1	7	10
Rasande-Rose	17	0.8333333333	0.1666666667	1	9	8
Skogsvatte	17	0.6666666667	0.3333333333	1	8	9
HepCat-X	17	0.625	0.3571428571	0.5	8	9
baggebo1	17	0.5	0.5	1	7	10
Redoxreaktion	17	0.5	0.5	1	8	9
Aegishjalmr	17	0.2222222222	0.7777777778	1	8	9
Mertillen	17	0	1	1	7	10
Sonnenwende	17	0	1	1	7	10
mr.gegge	17	0	1	1	9	8
trickydick	17	0	1	1	7	10
OliverCromwell	17	0	1	1	8	9
Karman	17	0	1	1	3	14
LeifD2	17	0	1	1	9	8
Ubbe Cykelkedja	17	0	1	1	6	11
LuluBrooksie	17	0	1	1	8	9
Eerieye	17	0	1	1	6	11
GoggeGogelius	16	1	0	1	9	7
apanola II	16	1	0	1	9	7
OstermalmWeeknd	16	1	1	1	9	7
Jermuk	16	1	0	1	6	10
Ezzelino	16	1	0	1	11	5
rusellpeters	16	1	1	1	9	7
Troian	16	1	0	1	8	8
Fred Friendly	16	1	0	1	7	9
Hs187	16	1	0	1	7	9
StuG	16	1	0.1428571429	1	5	11
Svithjod	16	1	0	1	9	7
Fula Gubben	16	1	0	1	7	9
Favoritgame	16	1	0	1	5	11
Jecke	16	1	0	1	5	11
BaalZeBub	16	0.8333333333	0.1666666667	1	7	9
Nix-registret	16	0.6666666667	0.3333333333	0.5	6	10
Kinuski	16	0.5	1	1	6	10
slipZen	16	0.2666666667	0	0.25	7	9
killing.fields	16	0.2	1	0.8	8	8
Iradeorum	16	0.2	1	1	8	8
ShariaInstructor	16	0.1428571429	1	1	8	8
YP4XQ	16	0.0833333333	1	1	8	8
Merapi	16	0.03125	1	1	8	8
ENTP	16	0	1	1	8	8
Trolltestet	16	0	1	1	8	8
KlartSur	16	0	1	1	8	8
priamos2014	16	0	1	1	7	9
Merwinna	16	0	1	1	8	8
climasol	16	0	1	1	7	9
ekerilar	16	0	1	1	7	9
Erk Swede	16	0	0	0	5	11
Magnet83	15	1	0	0.6666666667	11	4
RosaRosaRosaRosa	15	1	0	1	8	7
Imiron	15	1	0	1	9	6
orrtupp	15	1	0	0.6666666667	8	7
Bud Fox	15	1	0	1	5	10
Zloth	15	1	0	1	8	7
UT64	15	1	0	1	5	10
Das Auto	15	1	0	1	7	8
Arbetarbroder	15	1	0	1	6	9
nedboy	15	1	0	1	6	9
censuria	15	1	0	1	6	9
borriz	15	1	0	1	5	10
2006	15	1	0	1	6	9
Gorm Den Gamle	15	1	0	1	7	8
Kloss	15	1	0	1	3	12
Ördög	15	0.8	0.5	0.6666666667	5	10
MoLoK	15	0.8	0.5555555556	1	6	9
stevenstills	15	0.4444444444	0.5555555556	1	8	7
hasseochtage	15	0.3333333333	0.6666666667	1	6	9
biomatec	15	0.2857142857	1	0.875	7	8
redlineoffside	15	0	1	1	7	8
AuticaMinore	15	0	1	1	8	7
Vimes76	15	0	1	1	6	9
ForumApache	15	0	1	1	7	8
rex144	15	0	1	1	4	11
MrSkargard	15	0	1	1	6	9
oyto	15	0	1	1	3	12
urverksapelsin	15	0	1	1	7	8
HenrikLarsson99	15	0	1	1	7	8
rotebro-conny	15	0	1	1	7	8
GreffueAnthonius	15	0	1	1	7	8
vf	15	0	1	1	2	13
Bullfetta	15	0	1	1	6	9
Ken Dryden	14	1	0	1	6	8
adolf512	14	1	0.5	0	6	8
Endevil	14	1	1	1	7	7
PH1	14	1	0	1	8	6
Vresrosen	14	1	0	1	4	10
