username	datapoints_t	change	innov_start	innov_end	datapoints_i	datapoints_e
NirvanA	14	1	1	0	5	9
MeMajk	14	1	0	1	5	9
Arkiater	14	1	0	1	6	8
mikaels	14	1	0	1	6	8
Haubits77B	14	1	1	1	7	7
NeutronStar	14	1	0	1	10	4
Rakii	14	1	0	1	8	6
NyanNyan	14	1	0	1	7	7
papercut-ninja	14	1	1	1	5	9
Studsboll	14	1	0	1	3	11
BehindRayban	14	1	0	1	8	6
Clodius	14	1	0	1	4	10
Rostiga.Sheriffbri...	14	1	0	1	7	7
Coffe_K4n0n	14	1	0	1	6	8
Magban	14	1	0	1	7	7
Methos	14	1	0	1	3	11
Valpen_	14	1	0	1	5	9
glimmande	14	0.875	0	0.875	7	7
Mikojan	14	0.8	0.5	0.75	5	9
Avsiktaren	14	0.75	0	0.75	5	9
Custom_made	14	0.6666666667	1	1	6	8
hakro807	14	0.6666666667	0.3333333333	1	5	9
15minFame	14	0.625	0	0.625	6	8
endagitaget	14	0.5	0	0.5	10	4
Prepper	14	0.3333333333	1	1	7	7
MrMario	14	0.3333333333	1	0.6666666667	7	7
Passepartout	14	0.3333333333	0.6666666667	1	7	7
vasadueller	14	0.25	1	1	6	8
Empress	14	0.2142857143	0	0	5	9
MrStreamer	14	0.2	1	0.8	7	7
sherm	14	0.15	1	1	6	8
makrillitomatsas	14	0.0769230769	1	1	7	7
arbetet	14	0.0769230769	1	1	6	8
MagisterBister	14	0	1	1	5	9
Kolgrill-ftw	14	0	1	1	7	7
Kid-Stardust	14	0	1	1	7	7
Naknekejsaren	14	0	1	1	7	7
Linnaeuss	14	0	1	1	8	6
staticage	14	0	1	1	7	7
DrSvenne	14	0	1	1	9	5
Dofterna	14	0	1	1	6	8
psak	14	0	1	1	3	11
KjelleBenchpress	14	0	1	1	8	6
Bajsolle2	14	0	1	1	6	8
SugaredThoughts	14	0	1	1	3	11
Nordanvindarna	14	0	1	1	5	9
Piggekott	14	0	1	1	7	7
Deliberately	14	0	1	1	7	7
Gregor-Samsa	14	0	1	1	5	9
HRT	14	0	1	1	3	11
Ruskigbuss	14	0	1	1	1	13
Winston Smith	14	0	0	0	2	12
Pope666	13	1	0	1	7	6
Hackebeilchen	13	1	0	1	7	6
Vedklyven	13	1	0	1	5	8
Ormen Långe	13	1	0	1	5	8
Pröpper	13	1	0	1	9	4
Hurt-Åke	13	1	0	1	5	8
DenLede	13	1	0	1	6	7
Allaballawalla	13	1	0	1	3	10
NoTruce	13	1	0	1	3	10
griffen	13	1	0	1	6	7
Månsan	13	1	0	1	2	11
Lord_Stalin	13	1	0	1	4	9
Condottieri	13	1	0	0	5	8
Cineasten	13	1	0	1	4	9
Vågskålen	13	1	0	1	5	8
Tjennstroum	13	1	0	1	6	7
okok1	13	1	0	1	3	10
Pust	13	0.7777777778	0.2222222222	1	4	9
NinoRojo	13	0.75	0	0.3333333333	6	7
Divination	13	0.7142857143	0.2857142857	1	6	7
Pansarhyena	13	0.6666666667	0.3333333333	1	5	8
KamratBlue	13	0.5	0.5	1	6	7
experten10	13	0.5	1	0.5	4	9
PingPongZong	13	0.5	1	0.5	4	9
OY	13	0.5	1	1	6	7
nantale	13	0.5	0.5	1	5	8
Patrik2108	13	0.3333333333	1	0.6666666667	6	7
Avva66	13	0.3333333333	1	0.6666666667	4	9
Professor.Wer	13	0.2727272727	0.9285714286	1	7	6
BAB7	13	0.2	1	1	7	6
Bonzo666	13	0.1111111111	0	0	7	6
JohNils	13	0	1	1	8	5
hvita.nhegrer	13	0	1	1	6	7
Sam.Boyd	13	0	1	1	6	7
Varglig	13	0	1	1	6	7
PK-befriad	13	0	1	1	5	8
Enzyme	13	0	1	1	6	7
Sotern	13	0	1	1	6	7
Dornier	13	0	1	1	5	8
JBernard	13	0	1	1	6	7
HanSomForsvann	13	0	1	1	5	8
Runningonempty	13	0	1	1	6	7
kraftfoder	13	0	1	1	6	7
Spersson	13	0	1	1	3	10
Statistenidittliv	13	0	1	1	4	9
GlennvonGoteborg	13	0	1	1	2	11
Pazzamo	13	0	1	1	5	8
Pingubengt	13	0	1	1	3	10
RMgX	13	0	1	1	6	7
T.H.F.C.	13	0	1	1	4	9
bergsturk	13	0	1	1	3	10
MeanME	13	0	1	1	6	7
negrofoben	13	0	1	1	5	8
JustZlatan	13	0	1	1	4	9
Babianen	13	0	0	0	3	10
bernad_law	13	0	1	1	3	10
humanlife	13	0	0	0	1	12
utred	12	1	0	1	5	7
Kurt1	12	1	0	1	5	7
medelklassman	12	1	0	1	8	4
karanan	12	1	0	1	4	8
kakburk	12	1	0	1	6	6
GaussBonnet	12	1	0	1	5	7
scrollock	12	1	0	1	4	8
fluff995	12	1	0	1	7	5
henriko	12	1	0	1	5	7
Vimur	12	1	0	1	8	4
MrWin	12	1	0	1	9	3
tuffkatt	12	1	0	1	8	4
-DaRude-	12	1	0	0.3333333333	6	6
von Hindenburg	12	1	0	1	3	9
Hamilkar	12	1	0	1	6	6
blown	12	1	0	1	6	6
SkepticalHippo	12	1	0.5	0	5	7
Starvid	12	1	0	1	4	8
martinator	12	1	0	1	2	10
Kaita	12	1	0	1	6	6
Mikeyjames	12	1	0	1	5	7
Bananrepublikan	12	1	1	0	5	7
FlamingBacon	12	1	0	0.8	5	7
BigOrangeBunny	12	1	0	1	7	5
Olepeter	12	1	0	1	4	8
gulasnubben	12	1	0	1	6	6
sinewave	12	1	1	1	6	6
fernebo	12	1	0	1	5	7
Gertrud1	12	1	1	1	5	7
Stig-Britt	12	1	0	1	6	6
swimp78	12	1	0	1	5	7
Överliggaren	12	1	0	1	5	7
IvanLendl	12	1	0	0	6	6
Taiga	12	1	0	1	6	6
Varnagel	12	0.9047619048	0	0.9047619048	6	6
Edirtrm	12	0.8888888889	0.6923076923	1	7	5
sjelvefan	12	0.6666666667	1	1	5	7
avec	12	0.5	0.5	1	4	8
Vekruset	12	0.5	0.5	1	5	7
JohanSverkersson	12	0.3333333333	1	1	7	5
Kongruensbojd	12	0.3333333333	0.75	0.6666666667	4	8
Kratatch	12	0.3333333333	0.8	1	6	6
Trollfeeder	12	0.25	1	1	5	7
lingonfett	12	0.0952380952	1	1	5	7
argaangelica	12	0	1	1	6	6
nsbm	12	0	1	1	6	6
InnesI	12	0	1	1	3	9
BaronVonHelsing	12	0	1	1	5	7
Erik Öst	12	0	1	1	6	6
UndeadNinja	12	0	1	1	6	6
Tanus	12	0	1	1	6	6
araka	12	0	1	1	4	8
dack	12	0	1	1	6	6
godboy	12	0	1	1	5	7
Ottokar	12	0	1	1	6	6
HipToBeSquare	12	0	1	1	4	8
KaktusFlaktus	12	0	1	1	3	9
fredag2010	12	0	1	1	6	6
Manskahahusvagn	12	0	1	1	6	6
RogerRoger	12	0	1	1	5	7
brimfull	12	0	1	1	5	7
ninjutsu	12	0	1	1	6	6
101000111	12	0	1	1	5	7
VitMan40Plus	12	0	1	1	6	6
tryggtochbra	12	0	1	1	6	6
Simora	12	0	1	1	3	9
Ree81	12	0	0	0	4	8
D_V_S	12	0	1	1	4	8
The13	12	0	1	1	5	7
Niggers	12	0	1	1	2	10
LBeria	12	0	1	1	4	8
Madagascar	12	0	1	1	1	11
Beatriceaurore	12	0	1	1	4	8
Returpapper	12	0	1	1	4	8
kroppskultur	12	0	0	0	2	10
blobben!!!	11	1	0	1	6	5
Christopher.	11	1	0	1	2	9
Carlbom	11	1	0	1	4	7
Barbe	11	1	1	1	4	7
Gynekologstol	11	1	1	0	3	8
Hlewagastir	11	1	1	0	6	5
Lantbruk	11	1	0	1	6	5
Mafia	11	1	0	1	6	5
BushwickBill	11	1	0	1	4	7
526	11	1	0	1	4	7
Arthur Dent	11	1	0	1	3	8
sno	11	1	0	1	3	8
1SHOT1KILL	11	1	0	1	3	8
AgentJoyBoy	11	1	0	1	6	5
Blundetto	11	1	0	1	4	7
Ferdawoon	11	1	0	1	8	3
Bajsfacisten	11	1	0	1	6	5
sm910dif	11	1	0	1	7	4
knullklasson	11	1	0	1	5	6
Oddball	11	1	0	1	7	4
Livsmissbrukare	11	1	0	1	5	6
Cognitive Dissident	11	1	0	1	4	7
Gullegubben	11	1	1	0.5	4	7
Vindhler	11	1	0	1	6	5
farbror Sven	11	1	0	1	4	7
Aristotélēs	11	1	0	1	6	5
Hårboll	11	1	0	1	6	5
tclaesson	11	1	0	1	5	6
Grävulen	11	1	0	1	5	6
johannes	11	1	0	1	5	6
Drapåtrissor	11	1	1	1	4	7
goseigen	11	1	0	1	2	9
Three47	11	0.8888888889	1	0.5	3	8
proconsul	11	0.8	0.2	1	3	8
Ghibellino	11	0.75	0	0.75	3	8
AbortRetryIgnore	11	0.7142857143	0	0	5	6
Saito	11	0.6666666667	0.3333333333	1	5	6
NSO	11	0.6666666667	0.3333333333	1	5	6
Virek	11	0.6	0.4	1	4	7
Straybullet	11	0.553125	0.4	0.8571428571	5	6
asdfghjklzxcvbnm	11	0.5	0.5	1	5	6
SvenskOpposition	11	0.5	1	1	6	5
Disciplina	11	0.5	1	1	5	6
Finisterre	11	0.5	0.5	1	4	7
Antivalent	11	0.5	1	1	6	5
P4n0pl147h305	11	0.5	0.5	1	5	6
in84ever	11	0.5	0.5	1	4	7
RingRing2014	11	0.5	0.5	1	6	5
pungspark63	11	0.5	0.5	1	6	5
Visf	11	0.5	0	0	4	7
peheis666	11	0.3333333333	0.6666666667	1	5	6
sjalvebastedrang	11	0.3333333333	1	0.6666666667	5	6
Tom.Of.Finland	11	0.2857142857	1	0.7142857143	2	9
Worldwatcher	11	0.25	0.75	1	5	6
Utflyttad	11	0.1666666667	0	0	5	6
oldtimedrunk	11	0.1428571429	1	1	6	5
fasligt	11	0.125	1	0.875	5	6
Thelonegunman	11	0.125	0.875	1	6	5
Gulblendkarringen	11	0.0476190476	0.9523809524	1	6	5
C0w	11	0	1	1	5	6
VarmaDrycker	11	0	1	1	4	7
Ganonito	11	0	1	1	5	6
PatricHbg	11	0	1	1	4	7
HejaFinland	11	0	1	1	5	6
skillnad	11	0	1	1	3	8
intermittentexplos...	11	0	1	1	4	7
Flor-Ida	11	0	1	1	5	6
Arkhamist	11	0	1	1	4	7
ingetbranick	11	0	1	1	7	4
wwr	11	0	1	1	5	6
Gurglaren	11	0	1	1	4	7
Julskinkato	11	0	1	1	6	5
stone_sleeper	11	0	1	1	3	8
Riddarhuset	11	0	1	1	4	7
bulletproofsoul	11	0	1	1	7	4
Blalotus	11	0	1	1	5	6
Onanikrem	11	0	1	1	3	8
OvissFramtid	11	0	1	1	6	5
Slocum	11	0	1	1	7	4
jnilsson	11	0	1	1	5	6
Dr.skalmanski	11	0	1	1	5	6
lemonzhello	11	0	1	1	5	6
FBerntsson	11	0	1	1	5	6
hex27	11	0	1	1	4	7
Vindpinad	11	0	1	1	6	5
Fear2be	11	0	1	1	5	6
Lund-NoGo-zone	11	0	1	1	5	6
beardbraid	11	0	1	1	5	6
Epimanes	11	0	1	1	3	8
Azdz	11	0	1	1	4	7
Readyfreddie	11	0	1	1	4	7
konstapel	11	0	1	1	6	5
mikael2	11	0	1	1	3	8
Haverism	11	0	1	1	5	6
Mjäll	11	0	1	1	4	7
DIde	11	0	1	1	5	6
markus120	11	0	0	0	3	8
retepm.	11	0	0	0	4	7
ValdtaktsSemiten	11	0	1	1	6	5
mofasti	11	0	1	1	8	3
Politice-Rectam	11	0	1	1	5	6
Felstavaren	11	0	1	1	6	5
HBOLL	11	0	1	1	5	6
Mextreme	11	0	1	1	5	6
KarlKaviar	11	0	1	1	3	8
Stone	11	0	1	1	3	8
Napoleon.Snowball	11	0	1	1	5	6
Macbajs	11	0	1	1	4	7
Bogomil	11	0	1	1	2	9
vorki	11	0	1	1	5	6
fitz-hume	11	0	1	1	3	8
priz	11	0	1	1	3	8
skunkjobb	11	0	1	1	5	6
SnakePlisssken	11	0	1	1	3	8
tras	11	0	0	0	6	5
Snapcount	11	0	1	1	1	10
Clay Allison	11	0	1	1	3	8
blomvattnare	11	0	1	1	1	10
Tennant	11	0	0	0	1	10
Lucas49	11	0	0	0	1	10
skunkensune	10	1	0	1	2	8
Giant Squid	10	1	0	1	2	8
Raglefant	10	1	1	1	7	3
MASSAGATTI	10	1	0	1	2	8
jamesbonde	10	1	0	1	5	5
Pentyl	10	1	1	1	5	5
Herr.Dittling	10	1	1	0	2	8
Laszlo Kovacs	10	1	0	1	4	6
ArneIII	10	1	0	1	5	5
Honey.B.Blue	10	1	1	1	5	5
Lao Tzu	10	1	0	1	6	4
Lantarbetaren	10	1	0	1	2	8
Skamander	10	1	0	1	6	4
RiverStyx	10	1	1	1	3	7
NS_14	10	1	0	1	5	5
Saccard	10	1	0	1	6	4
-Wasteland-	10	1	0	1	6	4
KaptenFantastisk	10	1	0	0	6	4
Spengler	10	1	0	1	4	6
fetjävel	10	1	0	1	4	6
Nalin_Pekgul	10	1	0	1	3	7
mr.arne	10	1	0	1	3	7
lampros	10	1	0.1111111111	1	4	6
Trapizo	10	1	0	1	5	5
P-Orridge	10	1	0	1	5	5
Cruachan	10	1	0	1	4	6
Golachab	10	1	0	1	5	5
Paradocs	10	1	0	1	6	4
Sven-Gustaf	10	1	0	1	4	6
KlokOchSnygg	10	1	0	1	3	7
Arcane	10	1	0	1	7	3
TorkelSnorkel	10	1	0	1	3	7
TransitGloria	10	1	1	0	6	4
Aake	10	1	0	0.3333333333	5	5
BWisser	10	1	0	1	3	7
santos_deville	10	1	0	1	2	8
HugoStieglitz	10	0.9090909091	0	0.3333333333	5	5
William Haines	10	0.8888888889	0	0	5	5
yokisuci	10	0.7777777778	0.3333333333	0.7777777778	4	6
Artavazd	10	0.6666666667	0.3333333333	1	5	5
Pung	10	0.6	0.4	1	6	4
GoUoD	10	0.5	1	1	4	6
Reda	10	0.5	0.5	1	5	5
Andraandningen	10	0.5	0	0.5	4	6
gurkmajja	10	0.5	0.9523809524	1	3	7
i.b.m	10	0.5	0	0.5	2	8
ZiggeZiggarett	10	0.4285714286	1	0.5714285714	5	5
Flickfotograf	10	0.3333333333	1	0.6666666667	4	6
mahutma_homo	10	0.3333333333	0.6666666667	1	5	5
wazzobazzo	10	0.3333333333	0.6666666667	1	4	6
mästerkatten	10	0.3333333333	0	0	5	5
lupac	10	0.25	1	1	4	6
fryskyl	10	0.2222222222	0.9230769231	1	5	5
Daniel-Malmo	10	0.125	0.875	1	4	6
crawly	10	0.1	0.9	1	5	5
grungewhore	10	0.0869565217	1	0.9130434783	5	5
TantRossin	10	0	1	1	5	5
Charlemange	10	0	1	1	5	5
Incendio	10	0	1	1	4	6
WhiskeyTango84	10	0	1	1	5	5
Framtyr	10	0	1	1	3	7
PooSausage	10	0	1	1	5	5
pjabas	10	0	1	1	2	8
LordBrettSinclair	10	0	1	1	6	4
simson12	10	0	1	1	4	6
Pecka-	10	0	1	1	4	6
TheJacket	10	0	1	1	5	5
EricBlair	10	0	1	1	5	5
AndersM79	10	0	1	1	4	6
Prora	10	0	1	1	4	6
HobbyHitler	10	0	1	1	6	4
kentuckyfry	10	0	1	1	4	6
goderian2	10	0	1	1	5	5
barfotalasse	10	0	1	1	6	4
nerdnerd	10	0	1	1	3	7
53280	10	0	1	1	2	8
Jack-Ryan	10	0	1	1	5	5
mrmoonlights	10	0	1	1	4	6
LeeVan	10	0	1	1	8	2
I-van-Toer	10	0	1	1	6	4
countolaf	10	0	1	1	5	5
Tumidanda	10	0	1	1	5	5
Sverigegrabben	10	0	1	1	5	5
oshin.cantwell	10	0	1	1	4	6
Edgerton	10	0	1	1	5	5
mendokse	10	0	1	1	4	6
Zurfarn08	10	0	1	1	3	7
Egnatankar	10	0	1	1	4	6
IceEyes	10	0	1	1	3	7
Revolutions	10	0	1	1	3	7
jack.daniels	10	0	1	1	6	4
trollmongot	10	0	1	1	3	7
Daniel501	10	0	1	1	5	5
Manprinsen	10	0	1	1	5	5
Pluppiplupp	10	0	1	1	5	5
Steinarr	10	0	1	1	5	5
Offervilja	10	0	1	1	4	6
Mulla Krekar	10	0	1	1	6	4
Darwin	10	0	1	1	4	6
Baiser	10	0	1	1	3	7
praktjakt	10	0	1	1	6	4
ReiseReise	10	0	1	1	4	6
Skunken666	10	0	1	1	6	4
Bara-Robin	10	0	1	1	4	6
Flashshit	10	0	1	1	6	4
Blot-Sven	10	0	1	1	4	6
irrbloss	10	0	1	1	6	4
nidbild	10	0	1	1	5	5
IMBILDEN	10	0	1	1	4	6
happilappi	10	0	1	1	4	6
Xelious	10	0	1	1	3	7
oLf	10	0	1	1	2	8
senhackaren	10	0	0	0	2	8
ThisIsTheZodiac	10	0	0	0	3	7
ambiscko	10	0	0	0	7	3
RadioDDR1	10	0	1	1	5	5
Lookalike	10	0	1	1	2	8
eternussermo	10	0	1	1	2	8
Prodelin	10	0	1	1	2	8
svartekaptenen	10	0	1	1	2	8
HalfRunar	10	0	1	1	4	6
Cauvie	10	0	1	1	4	6
TheStriptease	10	0	1	1	5	5
impasto	10	0	1	1	5	5
estone	10	0	1	1	3	7
rikastistorstan	10	0	1	1	4	6
MAD	10	0	1	1	3	7
susanlynette	10	0	0	0	2	8
johanbtk	10	0	0	0	5	5
D Roger.	10	0	0	0	5	5
Prax^	10	0	1	1	1	9
Kennethkvarting	10	0	1	1	3	7
ganglere2	10	0	0	0	1	9
Denom	10	0	1	1	1	9
HC47	10	0	0	0	1	9
Richenbacker	10	0	1	1	1	9
menelik	10	0	0.1	0.1	1	9
brianmolko	10	0	1	1	1	9
mishima	10	0	1	1	1	9
Nord88	9	1	0	1	4	5
zorigo	9	1	0	1	3	6
Onkel Kostia	9	1	1	1	4	5
densistasovjet	9	1	0	1	3	6
Kirk.Douglas	9	1	0	1	5	4
NietzschesHorse	9	1	0	1	5	4
Gromph	9	1	0	1	4	5
El Capitano	9	1	0	1	5	4
BurkHans	9	1	0	1	6	3
ManyMen	9	1	0	1	5	4
Flu	9	1	0	1	5	4
Otrolig	9	1	0	1	4	5
sephine	9	1	0	1	4	5
snillet_1	9	1	0	1	3	6
Cimmerian	9	1	0	1	2	7
gavlip	9	1	0	1	4	5
Doktor Pork	9	1	0	1	5	4
Z.Z.	9	1	0	0	5	4
duqu	9	1	0	1	5	4
Sinkomies	9	1	0	0	3	6
.-.-.	9	1	0	1	4	5
Carlstad	9	1	0	0	4	5
Witko	9	1	0	1	4	5
Uncle Duke	9	1	0	1	4	5
johanjosefsson	9	1	0	1	4	5
TobiasBeecher	9	1	0	1	4	5
skalman1973	9	1	0	1	3	6
Mentat57	9	1	1	0.5	4	5
fiftyforfifty	9	1	0	1	2	7
Kenty-59	9	1	0	1	4	5
Caesar Johansen	9	1	0	1	4	5
Dr Scriptum	9	1	0	1	5	4
vargvid	9	1	0	1	3	6
hoaz	9	0.8	1	1	3	6
Perlmutter	9	0.75	0.25	1	4	5
servus	9	0.75	0	0.5	4	5
Skattebrott	9	0.7222222222	0.3333333333	0.3333333333	5	4
nordicwrath	9	0.6666666667	1	1	4	5
neuron-drone	9	0.6666666667	0	0.1034482759	4	5
Nyfikenpaallt	9	0.5	1	1	4	5
Rasseltass	9	0.5	1	1	3	6
hushlittledarling	9	0.5	0.5	1	4	5
Intelligens	9	0.5	0.5	1	5	4
SingMeToSleep	9	0.5	1	1	5	4
belzebubb	9	0.5	0	0	5	4
Gift44	9	0.5	0	0.5	3	6
dumboear	9	0.5	0	0.5	5	4
thewellovedone	9	0.3333333333	0.6666666667	1	5	4
Kent-Herbert	9	0.3333333333	0.6666666667	1	3	6
unsung	9	0.3333333333	0	0	3	6
Lawnmoverman2011	9	0.25	0.75	1	6	3
OberynMartell	9	0.25	0.75	1	4	5
Hamsterboll	9	0.2	1	0.8	3	6
Guitarsmoke	9	0.2	0.9	1	4	5
cutesnowblock	9	0.2	0.8	1	2	7
femtaliess	9	0.0833333333	1	0.9166666667	5	4
HelgeBuk	9	0	1	1	3	6
nbsp	9	0	1	1	4	5
JordenIsPlatt	9	0	1	1	3	6
BorgeH	9	0	1	1	4	5
Silver.Swe.	9	0	1	1	5	4
Snobird	9	0	1	1	5	4
persona.von.grata	9	0	1	1	4	5
BoulevardAlruna	9	0	1	1	4	5
Raven2.0	9	0	1	1	4	5
JeffDavis	9	0	1	1	3	6
fittslem	9	0	1	1	4	5
dialektiker	9	0	1	1	5	4
mr.demon	9	0	1	1	4	5
ABljuger	9	0	1	1	5	4
justina	9	0	1	1	5	4
MidlifeMommy	9	0	1	1	5	4
Bavaro	9	0	1	1	4	5
Reverend.Camden	9	0	1	1	4	5
Dolche	9	0	1	1	3	6
Wotan	9	0	1	1	4	5
