verb	signif	freq	max	min	span	s1signif	s1reversed	s1failedmodels	s1asym	s1mid	s1growth	s3signif	s3reversed	s3failedmodels	s3asym	s3mid	s3growth	s5signif	s5reversed	s5failedmodels	s5asym	s5mid	s5growth
planera	0	24622	0.176	0.055	0.121	0.08	true	79	0.92	2026	-1.13	0.28	true	61	0.92	2027	-1.33	NA			0.0	0	0.0
lova	1	15674	0.187	0.083	0.104	0.0	true	59	0.891	2028	-1.78	0.1	true	63	0.894	2034	-3.74	0.07	true	52	0.894	2036	-4.31
tendera	0	7907	0.133	0.051	0.081	NA			0.0	0	0.0	0.28	true	64	0.93	2033	-3.1	0.14	true	60	0.93	2034	-3.43
riskera	1	22754	0.156	0.069	0.088	NA			0.0	0	0.0	0.02	true	67	0.903	2042	-6.74	0.07	true	69	0.906	2045	-7.64
fortsätta	3	75625	0.686	0.543	0.143	0.0	false	63	0.696	1992	9.05	0.0	false	66	0.698	1991	9.74	0.0	false	56	0.71	1988	11.63
komma	3	1280922	0.689	0.439	0.25	0.0	false	68	0.663	2002	3.33	0.0	false	59	0.665	2001	3.68	0.0	false	51	0.669	2000	4.25
glömma	1	46945	0.86	0.762	0.098	0.0	false	70	0.832	2028	-2.13	0.1	false	58	0.834	2031	-3.04	0.17	false	63	0.835	2034	-3.97
vägra	0	113820	0.879	0.819	0.059	NA			0.0	0	0.0	0.06	false	61	0.868	1986	6.56	0.11	false	62	0.869	1984	7.23
anse	0	13290	0.929	0.897	0.032	0.18	false	65	0.939	2182	-46.14	0.11	true	63	0.116	1972	41.04	0.06	true	54	0.117	1976	39.32
sluta	1	93541	0.937	0.912	0.025	NA			0.0	0	0.0	0.04	false	50	0.932	1978	6.47	NA			0.0	0	0.0
slippa	0	99055	0.981	0.965	0.016	0.15	false	68	0.974	1994	2.02	0.44	false	56	0.974	1995	1.89	0.39	false	61	0.974	1995	1.84
försöka	3	513281	0.971	0.926	0.045	0.0	false	67	0.97	1987	5.45	0.0	false	51	0.971	1984	6.4	0.0	false	61	0.973	1980	7.45
lyckas	3	85743	0.994	0.974	0.02	0.0	false	69	0.989	1996	1.76	0.01	false	50	0.989	1992	2.7	0.02	false	67	0.989	1989	3.27
hinna	1	92546	0.994	0.963	0.031	0.04	false	65	0.991	1991	3.2	0.08	false	61	0.991	1994	2.66	0.07	false	67	0.991	1992	3.07
börja	1	695535	0.993	0.981	0.012	0.0	false	69	0.991	1986	3.85	NA			0.0	0	0.0	0.07	false	56	0.991	1985	4.1
orka	0	125376	0.992	0.98	0.011	NA			0.0	0	0.0	0.17	false	53	0.988	2045	-3.67	NA			0.0	0	0.0
våga	0	112435	0.998	0.991	0.008	0.12	false	68	0.995	1986	3.07	NA			0.0	0	0.0	NA			0.0	0	0.0
behöva	0	429167	1.0	0.997	0.003	NA			0.0	0	0.0	NA			0.0	0	0.0	0.09	false	58	0.999	1978	3.52
bruka	1	496179	1.0	0.999	0.001	0.02	true	64	0.0	2022	-1.14	0.3	true	51	0.0	2022	-1.39	NA			0.0	0	0.0
råka	0	82416	1.0	0.997	0.003	NA			0.0	0	0.0	NA			0.0	0	0.0	0.23	false	72	0.999	1973	4.15
