year	speaker	innovativity	exposure_to_c	exposure_to_i
2020	DeeSchool		0.0	0.0
2021	DeeSchool		0.0	0.0
2022	DeeSchool		0.0	0.0
2000	kraftfoder		0.0	0.0
2001	kraftfoder		0.0	0.0
2002	kraftfoder		0.0	0.0
2003	kraftfoder		0.0	0.0
2004	kraftfoder		0.0	0.0
2005	kraftfoder		0.0	0.0
2006	kraftfoder		0.0	0.0
2007	kraftfoder		0.0	0.0
2008	kraftfoder		0.0	0.0
2009	kraftfoder		0.0	0.0
2010	kraftfoder		0.0	0.0
2011	kraftfoder		0.0	0.0
2012	kraftfoder		0.0	0.0
2013	kraftfoder		0.0	0.0
2014	kraftfoder		0.0	0.0
2015	kraftfoder		0.0	0.0
2016	kraftfoder		0.0	0.0
2017	kraftfoder		0.0	0.0
2018	kraftfoder		0.0	0.0
2019	kraftfoder	1.0	0.0	0.0
2020	kraftfoder		0.0	0.0
2021	kraftfoder		0.0	0.0
2022	kraftfoder	1.0	0.0	0.0
2000	Gynekologstol		0.0	0.0
2001	Gynekologstol		0.0	0.0
2002	Gynekologstol		0.0	0.0
2003	Gynekologstol		0.0	0.0
2004	Gynekologstol		0.0	0.0
2005	Gynekologstol		0.0	0.0
2006	Gynekologstol		0.0	0.0
2007	Gynekologstol		0.0	0.0
2008	Gynekologstol		0.0	0.0
2009	Gynekologstol		0.0	0.0
2010	Gynekologstol		0.0	0.0
2011	Gynekologstol		0.0	0.0
2012	Gynekologstol		0.0	0.0
2013	Gynekologstol		0.0	0.0
2014	Gynekologstol		0.0	0.0
2015	Gynekologstol		0.0	0.0
2016	Gynekologstol		0.0	0.0
2017	Gynekologstol		0.0	0.0
2018	Gynekologstol		0.0	0.0
2019	Gynekologstol	1.0	0.0	0.0
2020	Gynekologstol		0.0	0.0
2021	Gynekologstol		0.0	0.0
2022	Gynekologstol		0.0	0.0
2000	Belavia		0.0	0.0
2001	Belavia		0.0	0.0
2002	Belavia		0.0	0.0
2003	Belavia		0.0	0.0
2004	Belavia		0.0	0.0
2005	Belavia		0.0	0.0
2006	Belavia		0.0	0.0
2007	Belavia		0.0	0.0
2008	Belavia		0.0	0.0
2009	Belavia		0.0	0.0
2010	Belavia		0.0	0.0
2011	Belavia		0.0	0.0
2012	Belavia		0.0	0.0
2013	Belavia		0.0	0.0
2014	Belavia		0.0	0.0
2015	Belavia		0.0	0.0
2016	Belavia		0.0	0.0
2017	Belavia		0.0	0.0
2018	Belavia		0.0	0.0
2019	Belavia	1.0	0.0	0.0
2020	Belavia		0.0	0.0
2021	Belavia		0.0	0.0
2022	Belavia		0.0	0.0
2000	AutDisceAutDiscede		0.0	0.0
2001	AutDisceAutDiscede		0.0	0.0
2002	AutDisceAutDiscede		0.0	0.0
2003	AutDisceAutDiscede		0.0	0.0
2004	AutDisceAutDiscede		0.0	0.0
2005	AutDisceAutDiscede		0.0	0.0
2006	AutDisceAutDiscede		0.0	0.0
2007	AutDisceAutDiscede		0.0	0.0
2008	AutDisceAutDiscede		0.0	0.0
2009	AutDisceAutDiscede		0.0	0.0
2010	AutDisceAutDiscede		0.0	0.0
2011	AutDisceAutDiscede		0.0	0.0
2012	AutDisceAutDiscede		0.0	0.0
2013	AutDisceAutDiscede		0.0	0.0
2014	AutDisceAutDiscede		0.0	0.0
2015	AutDisceAutDiscede		0.0	0.0
2016	AutDisceAutDiscede		0.0	0.0
2017	AutDisceAutDiscede		0.0	0.0
2018	AutDisceAutDiscede		0.0	0.0
2019	AutDisceAutDiscede	1.0	0.0	0.0
2020	AutDisceAutDiscede		0.0	0.0
2021	AutDisceAutDiscede		0.0	0.0
2022	AutDisceAutDiscede		0.0	0.0
2000	bern77		0.0	0.0
2001	bern77		0.0	0.0
2002	bern77		0.0	0.0
2003	bern77		0.0	0.0
2004	bern77		0.0	0.0
2005	bern77		0.0	0.0
2006	bern77		0.0	0.0
2007	bern77		0.0	0.0
2008	bern77		0.0	0.0
2009	bern77		0.0	0.0
2010	bern77		0.0	0.0
2011	bern77		0.0	0.0
2012	bern77		0.0	0.0
2013	bern77		0.0	0.0
2014	bern77		0.0	0.0
2015	bern77		0.0	0.0
2016	bern77		0.0	0.0
2017	bern77		0.0	0.0
2018	bern77		0.0	0.0
2019	bern77	1.0	0.0	0.0
2020	bern77		0.0	0.0
2021	bern77		0.0	0.0
2022	bern77		0.0	0.0
2000	X-front		0.0	0.0
2001	X-front		0.0	0.0
2002	X-front		0.0	0.0
2003	X-front		0.0	0.0
2004	X-front		0.0	0.0
2005	X-front		0.0	0.0
2006	X-front		0.0	0.0
2007	X-front		0.0	0.0
2008	X-front		0.0	0.0
2009	X-front		0.0	0.0
2010	X-front		0.0	0.0
2011	X-front		0.0	0.0
2012	X-front		0.0	0.0
2013	X-front		0.0	0.0
2014	X-front		0.0	0.0
2015	X-front		0.0	0.0
2016	X-front		0.0	0.0
2017	X-front		0.0	0.0
2018	X-front		0.0	0.0
2019	X-front	1.0	0.0	0.0
2020	X-front		0.0	0.0
