verb	v2rel_2009	best_model	r2	slope		
anse	0.921384149	lin	0.9198106093	-0.0009897884	2	down
avse	0.2585711251	log	0.8164133285	0.0713676106	2	up
behaga	0.7939726825	log	0.020874975	-0.0031650298	1	
behöva	0.9987997954	log	0.6526109113	0.0002544237	0	
besluta	0.0374709691	lin	0.0318647807	-0.0003817809	1	
bruka	0.9996558965	log	0.6659435005	0.0002044513	0	
börja	0.9889260422	log	0.9051629973	0.0050506281	2	up
fortsätta	0.6115709485	sqrt	0.9741132222	0.0437635255	2	up
förmå	0.7221755475	lin	0.8391712497	-0.0101207825	2	down
försöka	0.9505133937	log	0.979641185	0.0164742419	2	up
glömma	0.8583470654	lin	0.3153382387	-0.0011416556	1	
hinna	0.9900339696	log	0.9420471084	0.0046681084	0	
hota	0.1413075694	log	0.5873955072	0.0208199645	1	
idas	0.9730555818	log	0.1584875768	-0.0020874091	1	
komma	0.6045427892	log	0.9386311826	0.1038822353	2	up
lova	0.1220685601	lin	0.3847975207	0.0006186142	1	
lyckas	0.9885728486	log	0.8386160978	0.0040533772	2	up
låtsas	0.9815660602	lin	0.0328401117	8.80E-005	1	
orka	0.9893149725	log	0.4366936613	0.0019901092	1	
planera	0.0682551812	lin	0.6104489011	0.0010080727	1	
riskera	0.102722828	lin	0.8602710309	0.0026841017	2	up
råka	0.9990931685	log	0.0284086117	-5.62E-005	0	
slippa	0.9772112763	log	0.2506891207	0.001395946	1	
sluta	0.9347685348	log	0.8941093223	0.0127985342	2	up
tendera	0.0662326296	lin	0.0889667183	0.0006190742	1	
våga	0.9950213677	log	0.0368216241	9.11E-005	0	
vägra	0.8497242293	log	0.9189207326	0.024001709	2	up
önska	0.8193326113	log	0.5378499468	0.0122298479	1	
förefalla					1	
ämna					1	
