corpus	firstyear	lastyear
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
familjeliv-all	2003	2021
