verb	freq	slope	unpredictability	r2	p	max
besluta	9937.0	0.001382819968658071	12	0.20529326713371945	0.03914153927548604	0.1159020148
hota	15788.0	0.004285878520909183	10	0.7107208240901494	1.6048588863844236e-06	0.24217560216666667
planera	87372.0	0.0027954471980953036	8	0.6858285868717715	3.570914111831969e-06	0.12673547633333335
lova	47876.0	0.0046969225800433815	6	0.9107127490646184	2.0307376401797874e-11	0.1935826282
tendera	54762.0	0.002651225545714338	6	0.8083685502694027	3.031776990171719e-08	0.09929399506666665
riskera	97341.0	0.004703119936753375	6	0.8037074692126029	3.81911825556711e-08	0.18658530396666664
avse	18904.0	0.007493940370562894	5	0.9018380549222985	5.0178971441334366e-11	0.37298664266666665
fortsätta	317713.0	0.0020371747445887046	7	0.3848923113316053	0.0026949358450939	0.6112614378333333
komma	5854724.0	0.00741322236134196	5	0.5386550277477896	0.00015244935693774247	0.6641750294666666
förmå	16262.0	-0.0060834686058875015	6	0.8572835852308376	1.7964202677552265e-09	0.8171191553499999
glömma	169519.0	-0.005851078481775039	3	0.9237942017528064	4.47980187544597e-12	0.8467619708333333
behaga	21204.0	0.002568916675368046	12	0.4565093392871809	0.0007751757416708075	0.8680810458
vägra	403748.0	0.0005339640552813579	8	0.08921615503937905	0.18843480916194577	0.8431780177333333
anse	56927.0	-0.0011709483367532802	9	0.6091211749566535	2.9952982143330782e-05	0.9461853216666666
sluta	335409.0	-0.0008642052012987384	11	0.4309114709054827	0.0012293029320877937	0.9272458384333334
idas	8550.0	-0.0005994843593939734	9	0.25539450833712296	0.019442553912436458	0.9815644961666666
slippa	360801.0	-0.0001662545651515405	9	0.10538196200494059	0.1510715292957343	0.9754520167333333
försöka	2044238.0	0.0014375830562337623	2	0.873825416940047	5.526250653184414e-10	0.9731977586666666
låtsas	38336.0	2.1978994458888774e-05	12	0.005187722549052988	0.7563661680936803	0.98990734985
lyckas	480402.0	-4.369682640704862e-06	8	0.000279648159433377	0.9426455597144547	0.9880735041666667
hinna	337698.0	-2.3702220000002663e-05	10	0.005112761438862348	0.7580818591038432	0.9901432542
börja	2959355.0	-0.0001718503461039097	11	0.0470923980174743	0.3447161743652465	0.9896640663999999
orka	405463.0	-0.00015414255740262117	8	0.4914450638505431	0.00039986067267193956	0.9896658569666666
våga	377924.0	-9.387934480519812e-05	8	0.6424417649318616	1.2555603639261187e-05	0.9944495782999999
behöva	1400583.0	-8.605991861479195e-06	9	0.08005241184042511	0.2139542418467454	0.9988422729333332
bruka	1931047.0	-8.139603419926418e-06	9	0.11954131701148352	0.12473702572059496	0.9996060979333334
råka	327483.0	-5.3891856060627716e-05	7	0.48822301423862907	0.0004257596964192979	0.9994304081666666
torde	64339.0	-1.1279771212129943e-05	6	0.2276077547946416	0.02875243565764374	1.0
förefalla	14736.0	0.0008293674485714164	8	0.6227229624249688	2.1192165296536905e-05	0.9601161721
