agebin	total	v1abs	v2abs	v3abs	v1rel	v2rel	v3rel
<20	1912.0	1212.0	29.0	671.0	0.6338912133891214	0.015167364016736401	0.35094142259414224
20--29	49646.0	39546.0	1221.0	8879.0	0.7965596422672522	0.02459412641501833	0.17884623131772953
30--39	80533.0	68734.0	1129.0	10670.0	0.8534886319893709	0.01401909776116623	0.13249227024946295
40--49	41759.0	36994.0	198.0	4567.0	0.8858928614190953	0.004741492851840322	0.10936564572906439
50--59	14394.0	13423.0	74.0	897.0	0.9325413366680562	0.005141030985132695	0.06231763234681117
>60	3636.0	3601.0	24.0	11.0	0.9903740374037404	0.006600660066006601	0.003025302530253025
