ID	Verb	Category_SAG	Att_present_SAG	Comment_SAG	Category_Lagervall	Att_present_Lagervall	Att_omission_Lagervall	Category_Bylin	Att_present_Bylin	Att_omission_Bylin	Category_Mjöberg	Att-present_Mjöberg	Category_Own	Variation_reported	Sample_Narrow_1	Sample_Narrow_2	Att_present_Familjeliv_2009	Att_Familjeliv_trend	Familjeliv_data
ID112	unna ngn	Indirekt_objekt	Yes								ingen	Yes_but_omission_possible	Intervening_element	Yes	Exclude	Exclude			
ID122	uppmana ngn										ingen	Yes_but_omission_possible	Intervening_element	Yes	Exclude	Exclude			
ID96	utfästa sig	Reflexivt	Yes										Intervening_element	No	Exclude	Exclude			
ID79	vädja till ngn	Indirekt_objekt_adverbial	Yes										Intervening_element	No	Exclude	Exclude			
ID70	vägra ngn	Indirekt_objekt	Yes										Intervening_element	No	Exclude	Exclude			
ID98	vänja sig												Intervening_element	No	Exclude	Exclude			
ID51	vara på (god) väg	Aktionell	Yes										Intervening_element	No	Exclude	Exclude			
ID52	vara på håret	Aktionell	Yes										Intervening_element	No	Exclude	Exclude			
ID53	vara på vippen	Aktionell	Yes										Intervening_element	No	Exclude	Exclude			
ID56	vara tvungen	Deontisk	Yes										Intervening_element	No	Exclude	Exclude			
ID166	veta										ingen	Yes_but_omission_possible	Other	Yes	Exclude	Exclude			
