verb	freq	jaggedness
råka	129308	2.476749518
lova	30545	2.336335313
bruka	1049629	2.252211262
våga	171107	2.206998764
planera	46610	2.121158095
orka	240888	2.10122642
glömma	112680	2.064306435
slippa	227375	2.030636603
låtsas	9079	1.982175644
behöva	770875	1.87780518
riskera	32256	1.873564206
tendera	11012	1.825177415
lyckas	169289	1.756556343
hinna	230378	1.59755355
anse	17296	1.579189571
sluta	245858	1.388374014
vägra	212118	1.346204352
börja	1652378	1.314908983
komma	2676420	1.187394583
fortsätta	136437	1.165953197
försöka	924745	1.078027169
