verb	freq	slope	abs_slope	r2	max-min	max		
komma	5854724	0.00741	0.00741	0.53866	0.21595	0.66418	0.961018498190103	134.952766531714
förmå	16262	-0.00608	0.00608	0.85728	0.14909	0.81712		
glömma	169519	-0.00585	0.00585	0.92379	0.11755	0.84676		
lova	47876	0.0047	0.0047	0.91071	0.09209	0.19358		
riskera	97341	0.0047	0.0047	0.80371	0.08543	0.18659		
planera	87372	0.0028	0.0028	0.68583	0.06152	0.12674		
tendera	54762	0.00265	0.00265	0.80837	0.04914	0.09929		
fortsätta	317713	0.00204	0.00204	0.38489	0.07603	0.61126		
försöka	2044238	0.00144	0.00144	0.87383	0.03182	0.9732		694.444444444445
anse	56927	-0.00117	0.00117	0.60912	0.0263	0.94619		
sluta	335409	-0.00086	0.00086	0.43091	0.02253	0.92725		
vägra	403748	0.00053	0.00053	0.08922	0.04423	0.84318		
börja	2959355	-0.00017	0.00017	0.04709	0.01896	0.98966		
slippa	360801	-0.00017	0.00017	0.10538	0.00922	0.97545		
orka	405463	-0.00015	0.00015	0.49145	0.00433	0.98967		
våga	377924	-0.00009	0.00009	0.64244	0.00244	0.99445		
råka	327483	-0.00005	0.00005	0.48822	0.00155	0.99943		
låtsas	38336	0.00002	0.00002	0.00519	0.00777	0.98991		
hinna	337698	-0.00002	0.00002	0.00511	0.00658	0.99014		
behöva	1400583	-0.00001	0.00001	0.08005	0.0006	0.99884		
bruka	1931047	-0.00001	0.00001	0.11954	0.0005	0.99961		
torde	64339	-0.00001	0.00001	0.22761	0.00048	1		
lyckas	480402	0	0	0.00028	0.00517	0.98807		
