verb	freq	slope	unpredictability	r2	p	max
planera	46827.0	0.0013974762901754645	8	0.3862495347956521	0.0034433226556362115	0.1197300737
lova	30644.0	0.0015486743017418853	8	0.5698745201490996	0.0001195515033413104	0.15209512025
tendera	11187.0	0.0016992287269424152	7	0.553794988197662	0.00016837357476331727	0.10537374616666667
riskera	32748.0	0.0018246120115915534	8	0.5785433302757964	9.88985598006985e-05	0.141975832
fortsätta	137762.0	0.006700530545175522	5	0.8937904423834292	3.3541506335881913e-10	0.6767334916333333
komma	2519646.0	0.010356133723533865	6	0.6729948649128624	9.445624060632897e-06	0.6945674879333333
glömma	113035.0	-0.0022254726924186355	6	0.5840510556313006	8.75030892454946e-05	0.8591167885666667
vägra	213407.0	0.0029834700466792015	6	0.7354834360870222	1.3475561085110044e-06	0.873216947
anse	17444.0	-0.0010646962659273292	8	0.8261866617747444	2.924275180361473e-08	0.9308059385
sluta	187244.0	0.0005576127845238271	6	0.34913279417948495	0.006081203008006878	0.93890039
slippa	228226.0	6.833452032581602e-05	9	0.011897684092066579	0.647120897599075	0.9799406949000001
försöka	931759.0	0.00184260206974939	1	0.8896132708986076	4.756287231575792e-10	0.9680746017999999
låtsas	9305.0	0.0003177185302882346	9	0.27663467931240165	0.01721933183308293	0.9905152134666667
lyckas	170580.0	0.00031428769914787594	5	0.5157593796542717	0.00036226171030446824	0.9905332017666667
hinna	231128.0	0.0003183041330325787	7	0.3740214031314643	0.00416573115584207	0.9933859454666667
börja	1659893.0	0.0004940329108521249	7	0.5705238269857869	0.0001178800480088282	0.9919897780666668
orka	241951.0	-6.219834904760755e-05	11	0.050031427051406396	0.34313398688920804	0.9904442810666666
våga	172470.0	2.110585000001615e-05	10	0.053403633406364726	0.3269450366535931	0.9955279936666667
behöva	779085.0	1.866894413533286e-05	6	0.2225620750837095	0.03572718099584248	0.9991956685666668
bruka	1054833.0	8.897085250623174e-06	6	0.15897338800075533	0.08162273403377554	0.9997144453666668
råka	130313.0	-1.3451291779447617e-05	8	0.03957609687539548	0.4004365607856717	0.9997122578
torde	6299.0	-4.255772834137772e-17	0	0.5049457177321978	0.10036562194732904	1.0
