verb	freq	logresiduals	linresiduals	best
planera	46827.0		0.0020636422311838707	lin
lova	30644.0		0.0012038094815152833	lin
tendera	11187.0		0.0015470728027775944	lin
riskera	32748.0		0.0016127971387903536	lin
fortsätta	137762.0	0.0004261574802569364	0.003547871825097984	log
komma	2519646.0	0.0015833901396677264	0.03465451033433361	log
glömma	113035.0	0.0009730631039997256	0.0023456078037019483	log
vägra	213407.0	0.0004944384470818054	0.002128849625439376	log
anse	17444.0	0.0004944384470818054	0.00015859081409022217	lin
sluta	187244.0	0.00016990483779638442	0.00038546844856569406	log
slippa	228226.0	0.00015520786748881207	0.0002578941136589963	log
försöka	931759.0	2.213630781377135e-05	0.0002801562828747737	log
låtsas	9305.0	2.213630781377135e-05	0.0001755326042978187	log
lyckas	170580.0	2.1404825618257233e-05	6.167234964727937e-05	log
hinna	231128.0	2.1404825618257233e-05	0.00011276367728508376	log
börja	1659893.0	1.2440960916351055e-05	0.00012217959900394251	log
orka	241951.0	4.2861577706115295e-05	4.884787857052267e-05	log
våga	172470.0	3.4838597267874997e-06	5.25075031372192e-06	log
behöva	779085.0	5.702670352284122e-07	8.096097286852704e-07	log
bruka	1054833.0	1.6361646406032295e-07	2.7848541652012275e-07	log
råka	130313.0	2.413716177632233e-06	2.919978352506364e-06	log
