verb	freq	logresiduals	linresiduals	best
planera	46827.0	0.0	0.00098	0.0	0.02646
lova	30644.0	0.0	0.00065	0.0	0.01788
tendera	11187.0	0.0	0.00074	0.0	0.0178
riskera	32748.0	0.0	0.00107	0.0	0.02642
fortsätta	137762.0	0.00019	0.00243	0.00155	0.02007
komma	2519646.0	0.00173	0.02647	0.00795	0.12143
glömma	113035.0	0.00043	0.00137	0.00848	0.0267
vägra	213407.0	0.00028	0.00151	0.00446	0.02357
anse	17444.0	0.00028	6.0e-05	0.01526	0.0032
sluta	187244.0	6.0e-05	0.00023	0.00387	0.01486
slippa	228226.0	8.0e-05	0.00017	0.00793	0.01576
försöka	931759.0	1.0e-05	0.00019	0.00031	0.00558
låtsas	9305.0	1.0e-05	0.00011	0.00112	0.01097
lyckas	170580.0	1.0e-05	4.0e-05	0.00131	0.00464
hinna	231128.0	2.0e-05	7.0e-05	0.00183	0.007
börja	1659893.0	1.0e-05	9.0e-05	0.00087	0.0083
orka	241951.0	3.0e-05	3.0e-05	0.00617	0.00755
våga	172470.0	3.0e-05	0.0	0.01593	0.00246
behöva	779085.0	0.0	0.0	0.00038	0.0006
bruka	1054833.0	0.0	0.0	0.0002	0.00045
råka	130313.0	0.0	0.0	0.00101	0.0014
