agebin	total	v1abs	v2abs	v1rel	v2rel
<20	3226.0	2074.0	1152.0	0.6429014259144451	0.35709857408555484
20--29	84602.0	69659.0	14943.0	0.8233729699061488	0.17662703009385122
30--39	143816.0	124961.0	18855.0	0.8688949769149469	0.13110502308505312
40--49	75193.0	66860.0	8333.0	0.8891785139574162	0.11082148604258375
50--59	24177.0	22497.0	1680.0	0.9305124705298424	0.06948752947015759
>60	6478.0	6455.0	23.0	0.9964495214572399	0.0035504785427601113
