period	v1ipm	v1abs
2004	0	0
2005	6.362390877422177	21
2006	4.554049496765547	19
2007	4.879210623234222	27
2008	4.28929612650564	33
2009	5.304150723649797	47
2010	6.482107560041534	64
2011	5.682379840717532	53
2012	6.705312315112799	64
2013	6.804266117283058	95
2014	6.593178846444989	106
2015	5.519384494903422	106
2016	5.844577856265907	127
2017	5.617276893326779	119
2018	6.005004453800206	113
2019	5.362580189041896	98
2020	6.177551824979848	99
2021	5.674613016427337	85
2022	7.236618548397246	69
