verb	prolific_speakers	total_prolific	microave_v2rel_prolific	total	microave_v2rel
komma	2426.0	69568.0	0.6187183762649494	86311.0	0.6119266373926846
anse	5.0	108.0	0.9907407407407407	547.0	0.9341864716636198
avse	0.0	0.0	NaN	57.0	0.2807017543859649
behaga	0.0	0.0	NaN	657.0	0.8188736681887366
behöva	606.0	12862.0	0.9992225159384233	25866.0	0.9991494626150158
besluta	0.0	0.0	NaN	119.0	0.025210084033613446
bruka	1077.0	24101.0	0.9997510476743704	38987.0	0.9997691538205042
börja	1837.0	44999.0	0.9920664903664526	62654.0	0.9909024164458774
fortsätta	39.0	610.0	0.5918032786885246	4443.0	0.5982444294395679
förefalla	0.0	0.0	NaN	15.0	1.0
förmå	0.0	0.0	NaN	71.0	0.6338028169014085
försöka	785.0	15837.0	0.9625560396539748	30164.0	0.9521946691420236
glömma	16.0	204.0	0.8333333333333334	4026.0	0.8564331843020367
hinna	123.0	1826.0	0.9978094194961665	9078.0	0.9917382683410443
hota	0.0	0.0	NaN	84.0	0.10714285714285714
idas	1.0	13.0	1.0	157.0	0.9936305732484076
lova	2.0	27.0	0.2962962962962963	939.0	0.1288604898828541
lyckas	67.0	1174.0	0.9974446337308348	6264.0	0.9904214559386973
låtsas	1.0	11.0	1.0	182.0	0.989010989010989
orka	102.0	1594.0	0.993099121706399	8290.0	0.9914354644149578
planera	2.0	45.0	0.0	1603.0	0.07111665626949469
riskera	11.0	227.0	0.09251101321585903	1023.0	0.09775171065493646
råka	38.0	960.0	1.0	4238.0	1.0
slippa	125.0	2039.0	0.9818538499264345	8760.0	0.9786529680365297
sluta	77.0	1189.0	0.960470984020185	6460.0	0.9404024767801857
tendera	4.0	67.0	0.014925373134328358	345.0	0.028985507246376812
våga	37.0	665.0	1.0	5037.0	0.9960293825689894
vägra	97.0	1563.0	0.8483685220729367	6864.0	0.8358100233100233
ämna	0.0	0.0	NaN	34.0	0.8823529411764706
önska	1.0	13.0	1.0	330.0	0.8939393939393939
