period	v1ipm	v1abs
2000	0	0
2001	545.2562704471102	2
2002	152.29972586049345	2
2003	65.78298194257145	2
2004	34.44527793512041	9
2005	25.985937022317334	17
2006	35.41424484877675	40
2007	28.749879304751975	53
2008	28.57894311754851	69
2009	45.929108107053835	146
2010	43.55286642639083	158
2011	47.81191176407307	200
2012	52.37761813172423	201
2013	61.639275588901945	206
2014	63.73495425405755	178
2015	58.011944164628005	129
2016	65.48066482919903	98
2017	75.91157819371995	95
2018	71.57792267394909	85
2019	46.686195532771876	51
2020	27.619350116691752	26
2021	34.641160874788284	28
