year	v2rel	total
2003	NA	0.0
2004	NA	0.0
2005	NA	0.0
2006	NA	0.0
2007	NA	0.0
2008	NA	0.0
2009	NA	0.0
2010	NA	0.0
2011	0.7368421052631579	19.0
2012	0.6875	16.0
2013	0.5714285714285714	14.0
2014	0.7619047619047619	21.0
2015	0.6	20.0
2016	1.0	17.0
2017	0.875	16.0
2018	0.8571428571428571	7.0
2019	1.0	6.0
2020	1.0	13.0
2021	1.0	5.0
2022	NA	0.0
